scenario,CAGR_IS,CAGR_OOS,CAGR_FULL,Sharpe_OOS,MaxDD_FULL,W5Y_FULL,dCAGR_IS_bps,dCAGR_OOS_bps,dCAGR_FULL_bps,dSharpe_OOS_bps
D_baseline (current),0.2389,0.1479,0.2297,0.6498,-0.4640,0.0236,0.0000,0.0000,0.0000,0.0000
D1: Gold TER=0.95%,0.2379,0.1469,0.2287,0.6468,-0.4649,0.0227,-10.6000,-9.4000,-10.5000,-30.6000
D2: TMF TER=0.95%,0.2388,0.1478,0.2296,0.6496,-0.4641,0.0235,-0.9000,-0.8000,-0.9000,-2.7000
D3: TMF TER=1.06%,0.2386,0.1476,0.2294,0.6488,-0.4643,0.0233,-3.5000,-3.1000,-3.5000,-10.2000
D4: Gold+TMF realistic,0.2375,0.1466,0.2283,0.6458,-0.4652,0.0223,-14.1000,-12.5000,-14.0000,-40.8000
D5: Delay=1 (T+1),0.2594,0.1128,0.2445,0.5343,-0.4673,0.0323,204.4000,-350.5000,147.9000,-1155.3000
D6: Delay=3 (T+3),0.2402,0.1516,0.2312,0.6604,-0.4238,0.0164,12.6000,37.1000,15.0000,105.9000
D7: Swap+25bps (0.75%),0.2347,0.1440,0.2256,0.6371,-0.4664,0.0201,-41.9000,-39.0000,-41.6000,-127.1000
D8: Swap+50bps (1.00%),0.2306,0.1401,0.2214,0.6244,-0.4688,0.0166,-83.7000,-77.8000,-83.1000,-254.3000
D9: ALL realistic,0.2579,0.1116,0.2431,0.5302,-0.4685,0.0312,190.1000,-362.6000,133.8000,-1196.1000
