Year,MomDecel+Ens2(S+T) (%),Ens2(S+T) Th20% (%),DD+VT Th15% (%),DD-Only (%),B&H 3x (%),B&H 1x (%)
1974,-47.08,-47.08,-47.08,-47.08,-77.01,-35.35
1975,17.73,16.63,8.82,8.82,104.22,29.76
1976,42.78,38.73,93.25,93.25,93.25,26.10
1977,3.84,3.13,20.19,20.19,20.19,7.33
1978,38.47,44.14,27.17,27.17,33.99,12.31
1979,4.38,9.27,53.25,50.54,99.85,28.11
1980,45.88,40.05,29.79,27.76,118.35,33.88
1981,-10.03,-16.53,-34.57,-34.57,-14.60,-3.21
1982,82.04,74.27,84.28,84.28,56.44,18.67
1983,60.30,90.02,64.72,64.72,62.58,19.87
1984,-6.81,-4.75,-4.25,-0.90,-34.74,-11.31
1985,52.72,55.30,112.38,119.62,119.62,31.49
1986,22.91,34.34,17.43,18.05,18.05,7.36
1987,2.49,-13.73,-26.65,-28.45,-32.34,-5.25
1988,-6.97,-4.15,-6.06,-6.06,46.89,15.40
1989,35.42,40.29,63.18,63.18,63.18,19.24
1990,-19.62,-20.75,-42.87,-44.34,-49.39,-17.81
1991,72.99,80.48,116.06,115.25,255.13,56.86
1992,36.65,26.34,43.58,44.07,44.07,15.45
1993,24.25,10.17,42.43,42.93,42.93,14.75
1994,-6.77,-3.29,-12.68,-14.19,-14.19,-3.20
1995,112.24,90.41,148.89,155.51,155.51,39.92
1996,55.58,41.99,54.68,69.23,69.23,22.71
1997,94.56,105.04,56.48,59.39,59.39,21.64
1998,52.67,59.49,39.87,43.45,116.05,39.63
1999,200.86,180.39,344.22,401.96,401.96,85.59
2000,-14.10,-6.68,-13.70,-48.03,-89.30,-39.29
2001,0.00,0.00,0.00,0.00,-72.04,-21.05
2002,0.00,0.00,0.00,0.00,-77.77,-31.53
2003,120.72,151.75,185.33,191.21,186.66,50.01
2004,-0.33,8.45,-14.59,-14.66,15.71,8.59
2005,11.88,0.90,-2.07,-2.07,-2.07,1.37
2006,50.66,31.84,21.91,21.91,21.91,9.52
2007,-6.40,1.98,18.60,19.10,19.10,9.81
2008,-14.30,-19.38,-29.84,-33.73,-87.70,-40.54
2009,38.96,45.04,47.26,47.26,130.99,43.89
2010,28.99,20.74,54.04,39.99,39.99,16.91
2011,-27.22,-14.71,-27.47,-35.20,-23.18,-1.80
2012,47.88,46.62,43.50,43.50,43.50,15.91
2013,67.47,99.01,148.97,148.97,148.97,38.32
2014,12.53,9.93,35.21,35.21,35.21,13.40
2015,1.19,-1.52,1.83,6.88,6.88,5.73
2016,3.01,-2.89,-7.37,-7.74,13.34,7.50
2017,48.00,53.77,101.99,101.99,101.99,28.24
2018,-10.51,-13.59,-25.25,-26.11,-23.37,-3.88
2019,37.99,31.56,57.62,57.79,126.04,35.23
2020,64.46,59.90,97.13,58.57,94.75,43.64
2021,7.58,5.08,13.61,15.07,15.07,6.70
