CAGR,Sharpe,MaxDD,Vol,PosDay_pct,n_days,Trades_yr,strategy,window_id,start_date,end_date,short_flag
-0.116885,-0.354037,-0.283683,0.258046,0.513944,252,35.000000,B4-klo0,1977,1977-01-03,1977-12-30,False
1.502223,3.005549,-0.322824,0.324468,0.645418,252,25.000000,B4-klo0,1978,1978-01-03,1978-12-29,False
0.207254,0.699222,-0.448736,0.382696,0.611111,253,16.932806,B4-klo0,1979,1979-01-02,1979-12-31,False
0.815712,1.739258,-0.462363,0.388105,0.583333,253,14.940711,B4-klo0,1980,1980-01-02,1980-12-31,False
-0.386274,-1.742890,-0.432116,0.261187,0.515873,253,25.897233,B4-klo0,1981,1981-01-02,1981-12-31,False
0.995329,2.051318,-0.211873,0.371496,0.567460,253,4.980237,B4-klo0,1982,1982-01-04,1982-12-31,False
0.080619,0.412167,-0.386843,0.305077,0.559524,253,11.952569,B4-klo0,1983,1983-01-03,1983-12-30,False
-0.169378,-0.623880,-0.284192,0.250164,0.428571,253,7.968379,B4-klo0,1984,1984-01-03,1984-12-31,False
1.729928,3.250870,-0.288094,0.327043,0.585657,252,22.000000,B4-klo0,1985,1985-01-02,1985-12-31,False
0.536270,1.251281,-0.423914,0.415463,0.567460,253,22.909091,B4-klo0,1986,1986-01-02,1986-12-31,False
0.689895,1.700661,-0.294308,0.345251,0.567460,253,29.881423,B4-klo0,1987,1987-01-02,1987-12-31,False
-0.258702,-1.023163,-0.331865,0.260120,0.484127,253,12.948617,B4-klo0,1988,1988-01-04,1988-12-30,False
0.629597,1.536120,-0.231698,0.363321,0.605578,252,15.000000,B4-klo0,1989,1989-01-03,1989-12-29,False
-0.400975,-1.117804,-0.519823,0.390334,0.496032,253,18.924901,B4-klo0,1990,1990-01-02,1990-12-31,False
0.812222,1.471551,-0.357020,0.487913,0.575397,253,23.905138,B4-klo0,1991,1991-01-02,1991-12-31,False
0.616493,1.464042,-0.286925,0.377913,0.525692,254,29.763780,B4-klo0,1992,1992-01-02,1992-12-31,False
-0.009546,0.144149,-0.287106,0.339525,0.579365,253,39.841897,B4-klo0,1993,1993-01-04,1993-12-31,False
-0.085951,-0.085840,-0.346572,0.345613,0.505976,252,30.000000,B4-klo0,1994,1994-01-03,1994-12-30,False
1.667122,3.047773,-0.147613,0.343012,0.613546,252,25.000000,B4-klo0,1995,1995-01-03,1995-12-29,False
0.472397,1.077010,-0.320114,0.458024,0.577075,254,34.724409,B4-klo0,1996,1996-01-02,1996-12-31,False
0.672287,1.784625,-0.241798,0.317807,0.563492,253,17.928854,B4-klo0,1997,1997-01-02,1997-12-31,False
0.925785,1.852795,-0.258900,0.397981,0.561753,252,29.000000,B4-klo0,1998,1998-01-02,1998-12-31,False
0.885843,1.922628,-0.258213,0.366690,0.549801,252,45.000000,B4-klo0,1999,1999-01-04,1999-12-31,False
-0.134765,-0.466570,-0.230305,0.241851,0.517928,252,15.000000,B4-klo0,2000,2000-01-03,2000-12-29,False
-0.068766,-0.321641,-0.135566,0.175094,0.497976,248,0.000000,B4-klo0,2001,2001-01-02,2001-12-31,False
0.164229,1.103244,-0.109787,0.148351,0.557769,252,0.000000,B4-klo0,2002,2002-01-02,2002-12-31,False
1.051504,1.762402,-0.237796,0.473573,0.521912,252,32.000000,B4-klo0,2003,2003-01-02,2003-12-31,False
0.143841,0.546601,-0.390301,0.375773,0.557769,252,35.000000,B4-klo0,2004,2004-01-02,2004-12-31,False
-0.135567,-0.124304,-0.389258,0.430264,0.521912,252,30.000000,B4-klo0,2005,2005-01-03,2005-12-30,False
0.520979,1.242714,-0.212114,0.405315,0.572000,251,28.111554,B4-klo0,2006,2006-01-03,2006-12-29,False
0.261245,0.786355,-0.241046,0.401730,0.600000,251,48.191235,B4-klo0,2007,2007-01-03,2007-12-31,False
0.215463,1.006883,-0.170120,0.218177,0.527778,253,1.992095,B4-klo0,2008,2008-01-02,2008-12-31,False
0.522709,1.244461,-0.191264,0.406284,0.557769,252,14.000000,B4-klo0,2009,2009-01-02,2009-12-31,False
1.046806,1.727308,-0.240895,0.485016,0.621514,252,28.000000,B4-klo0,2010,2010-01-04,2010-12-31,False
-0.055297,0.029088,-0.271865,0.366550,0.549801,252,58.000000,B4-klo0,2011,2011-01-03,2011-12-30,False
0.463585,1.130731,-0.301104,0.413042,0.489960,250,31.248000,B4-klo0,2012,2012-01-03,2012-12-31,False
0.380758,0.970049,-0.193442,0.430641,0.525896,252,45.000000,B4-klo0,2013,2013-01-02,2013-12-31,False
0.170657,0.677848,-0.165019,0.300172,0.549801,252,47.000000,B4-klo0,2014,2014-01-02,2014-12-31,False
-0.322307,-0.906216,-0.407710,0.359162,0.462151,252,55.000000,B4-klo0,2015,2015-01-02,2015-12-31,False
-0.076673,0.124267,-0.380740,0.531965,0.545817,252,29.000000,B4-klo0,2016,2016-01-04,2016-12-30,False
0.957755,2.085562,-0.196414,0.354201,0.600000,251,62.247012,B4-klo0,2017,2017-01-03,2017-12-29,False
-0.096779,-0.049794,-0.373905,0.399444,0.548000,251,37.147410,B4-klo0,2018,2018-01-02,2018-12-31,False
0.664338,1.305638,-0.340707,0.483449,0.561753,252,32.000000,B4-klo0,2019,2019-01-02,2019-12-31,False
0.804549,1.755934,-0.228532,0.379527,0.583333,253,29.881423,B4-klo0,2020,2020-01-02,2020-12-31,False
0.284418,0.890164,-0.250221,0.351529,0.525896,252,36.000000,B4-klo0,2021,2021-01-04,2021-12-31,False
-0.258701,-1.616610,-0.327540,0.176276,0.468000,251,6.023904,B4-klo0,2022,2022-01-03,2022-12-30,False
0.936704,1.526118,-0.381992,0.525417,0.550201,250,30.240000,B4-klo0,2023,2023-01-03,2023-12-29,False
0.559558,1.100236,-0.271272,0.544370,0.565737,252,45.000000,B4-klo0,2024,2024-01-02,2024-12-31,False
0.569303,1.278017,-0.230737,0.425248,0.566265,250,45.360000,B4-klo0,2025,2025-01-02,2025-12-31,False
-0.273918,-0.749084,-0.175332,0.352964,0.438596,58,26.068966,B4-klo0,2026,2026-01-02,2026-03-26,True
-0.116885,-0.354037,-0.283683,0.258046,0.513944,252,35.000000,A1-alpha2,1977,1977-01-03,1977-12-30,False
1.502223,3.005549,-0.322824,0.324468,0.645418,252,25.000000,A1-alpha2,1978,1978-01-03,1978-12-29,False
0.215584,0.717090,-0.448736,0.382901,0.611111,253,16.932806,A1-alpha2,1979,1979-01-02,1979-12-31,False
0.948209,1.837973,-0.466592,0.410849,0.583333,253,14.940711,A1-alpha2,1980,1980-01-02,1980-12-31,False
-0.380202,-1.673279,-0.427826,0.265449,0.515873,253,25.897233,A1-alpha2,1981,1981-01-02,1981-12-31,False
1.039283,2.121487,-0.211225,0.369148,0.575397,253,4.980237,A1-alpha2,1982,1982-01-04,1982-12-31,False
