strategy,verdict,n_windows,mean_CAGR,median_CAGR,std_CAGR,min_CAGR,max_CAGR,P05_CAGR,P25_CAGR,P75_CAGR,P95_CAGR,WFA_CI95_lo,WFA_CI95_hi,t_stat,t_pvalue,mean_Sharpe,std_Sharpe,mean_CAGR_IS,mean_CAGR_postIS,WFA_WFE,n_windows_IS,n_windows_postIS,mean_Trades_yr,crit_alpha,crit_beta
B4-klo0,PASS,49,0.415935,0.463585,0.526975,-0.400975,1.729928,-0.296865,-0.068766,0.804549,1.321935,0.264570,0.567300,5.525017,0.000001,0.862692,1.142863,0.412754,0.451716,1.094395,45,4,27.774340,True,True
A1-alpha2,PASS,49,0.424576,0.392107,0.534542,-0.411892,1.665232,-0.327584,-0.062531,0.786817,1.395819,0.271037,0.578114,5.559952,0.000001,0.870449,1.143328,0.419935,0.476785,1.135378,45,4,27.774340,True,True
A1-alpha3,PASS,49,0.428145,0.412857,0.534567,-0.418590,1.657724,-0.338080,-0.076713,0.850715,1.381112,0.274599,0.581690,5.606425,0.000000,0.871505,1.142232,0.423658,0.478615,1.129718,45,4,27.774340,True,True
A1-alpha5,PASS,49,0.432988,0.446309,0.536959,-0.424504,1.648304,-0.347241,-0.078440,0.850781,1.371860,0.278755,0.587220,5.644595,0.000000,0.871323,1.146882,0.428428,0.484280,1.130365,45,4,27.774340,True,True
A1-alpha8,PASS,49,0.435568,0.442838,0.538953,-0.435596,1.639818,-0.355110,-0.076879,0.845414,1.374382,0.280763,0.590374,5.657218,0.000000,0.868464,1.153296,0.430836,0.488808,1.134558,45,4,27.774340,True,True
A2-lmax6vs2,PASS,49,0.406336,0.378846,0.504487,-0.394493,1.595846,-0.287358,-0.061186,0.742006,1.293285,0.261430,0.551242,5.638101,0.000000,0.884552,1.156999,0.401963,0.455527,1.133254,45,4,27.774340,True,True
A2B-rolling,PASS,49,0.395525,0.378846,0.488315,-0.387868,1.486854,-0.287497,-0.035433,0.720429,1.293285,0.255264,0.535785,5.669846,0.000000,0.892936,1.161022,0.390972,0.446735,1.142625,45,4,27.774340,True,True
A3-vov,PASS,49,0.417007,0.396494,0.528854,-0.403751,1.739548,-0.298104,-0.072933,0.799302,1.358649,0.265103,0.568912,5.519578,0.000001,0.865223,1.147453,0.412573,0.466895,1.131668,45,4,30.060752,True,True
C2-adaptive,PASS,49,0.436462,0.415451,0.546956,-0.458531,1.714451,-0.305004,-0.062286,0.808481,1.418300,0.279358,0.593566,5.585889,0.000001,0.876403,1.147466,0.429186,0.518321,1.207684,45,4,51.800541,True,True
C3-yz,PASS,49,0.407201,0.431302,0.508470,-0.357615,1.796312,-0.313728,-0.000627,0.698069,1.259711,0.261151,0.553250,5.605846,0.000000,0.878884,1.121636,0.403905,0.444282,1.099968,45,4,27.774340,True,True
D5-vz060-lmax45,PASS,49,0.352801,0.321097,0.401915,-0.321891,1.211905,-0.255010,0.008530,0.638035,1.001774,0.237358,0.468245,6.144600,0.000000,0.958717,1.137078,0.348405,0.402256,1.154563,45,4,27.774340,True,True
D5-vz060-lmax50,PASS,49,0.373119,0.348275,0.428356,-0.344150,1.204083,-0.265017,0.000470,0.679830,1.092876,0.250080,0.496157,6.097338,0.000000,0.942415,1.134322,0.367558,0.435679,1.185334,45,4,27.774340,True,True
D5-vz065-lmax45,PASS,49,0.351220,0.312025,0.402480,-0.322324,1.249499,-0.247299,0.002685,0.629750,0.993293,0.235614,0.466826,6.108477,0.000000,0.955128,1.139818,0.344663,0.424989,1.233058,45,4,27.774340,True,True
D5-vz070-lmax50,PASS,49,0.367901,0.351032,0.428064,-0.346243,1.220097,-0.253017,-0.004815,0.684221,1.086238,0.244946,0.490855,6.016173,0.000000,0.933559,1.157442,0.362550,0.428100,1.180804,45,4,27.774340,True,True
