CAGR,Sharpe,MaxDD,Vol,PosDay_pct,n_days,Trades_yr,strategy,window_id,start_date,end_date,short_flag
-0.189895,-0.689061,-0.309793,0.258159,0.505976,252,35.000000,g3-E4-RegimeKLT,1977,1977-01-03,1977-12-30,False
1.327872,2.785593,-0.326635,0.323910,0.637450,252,25.000000,g3-E4-RegimeKLT,1978,1978-01-03,1978-12-29,False
0.136565,0.540961,-0.454785,0.382705,0.595238,253,16.932806,g3-E4-RegimeKLT,1979,1979-01-02,1979-12-31,False
0.742277,1.634981,-0.464558,0.387258,0.579365,253,14.940711,g3-E4-RegimeKLT,1980,1980-01-02,1980-12-31,False
-0.394508,-1.837466,-0.437831,0.255868,0.507937,253,25.897233,g3-E4-RegimeKLT,1981,1981-01-02,1981-12-31,False
0.932872,1.963823,-0.217829,0.371819,0.567460,253,4.980237,g3-E4-RegimeKLT,1982,1982-01-04,1982-12-31,False
0.052505,0.325444,-0.387037,0.296628,0.551587,253,11.952569,g3-E4-RegimeKLT,1983,1983-01-03,1983-12-30,False
-0.213128,-0.834787,-0.300402,0.251548,0.424603,253,7.968379,g3-E4-RegimeKLT,1984,1984-01-03,1984-12-31,False
1.517266,3.004858,-0.298493,0.326573,0.585657,252,22.000000,g3-E4-RegimeKLT,1985,1985-01-02,1985-12-31,False
0.407200,1.035089,-0.440990,0.418212,0.563492,253,22.909091,g3-E4-RegimeKLT,1986,1986-01-02,1986-12-31,False
0.622899,1.610611,-0.289836,0.337629,0.559524,253,29.881423,g3-E4-RegimeKLT,1987,1987-01-02,1987-12-31,False
-0.289229,-1.179039,-0.358338,0.261228,0.480159,253,12.948617,g3-E4-RegimeKLT,1988,1988-01-04,1988-12-30,False
0.496106,1.289080,-0.248851,0.367547,0.593625,252,15.000000,g3-E4-RegimeKLT,1989,1989-01-03,1989-12-29,False
-0.437685,-1.277382,-0.528746,0.390944,0.492063,253,18.924901,g3-E4-RegimeKLT,1990,1990-01-02,1990-12-31,False
0.708288,1.356658,-0.368865,0.483886,0.563492,253,23.905138,g3-E4-RegimeKLT,1991,1991-01-02,1991-12-31,False
0.523078,1.313466,-0.307312,0.374809,0.521739,254,29.763780,g3-E4-RegimeKLT,1992,1992-01-02,1992-12-31,False
-0.066098,-0.054867,-0.285984,0.317589,0.567460,253,39.841897,g3-E4-RegimeKLT,1993,1993-01-04,1993-12-31,False
-0.140783,-0.280817,-0.345415,0.337352,0.501992,252,30.000000,g3-E4-RegimeKLT,1994,1994-01-03,1994-12-30,False
1.483816,2.853918,-0.154495,0.340923,0.609562,252,25.000000,g3-E4-RegimeKLT,1995,1995-01-03,1995-12-29,False
0.395850,0.972757,-0.311301,0.446672,0.577075,254,34.724409,g3-E4-RegimeKLT,1996,1996-01-02,1996-12-31,False
0.579523,1.704472,-0.218774,0.294997,0.559524,253,17.928854,g3-E4-RegimeKLT,1997,1997-01-02,1997-12-31,False
0.866149,1.814986,-0.255223,0.386439,0.557769,252,29.000000,g3-E4-RegimeKLT,1998,1998-01-02,1998-12-31,False
0.777429,1.880420,-0.257371,0.337726,0.545817,252,45.000000,g3-E4-RegimeKLT,1999,1999-01-04,1999-12-31,False
-0.100545,-0.373327,-0.198873,0.216837,0.513944,252,15.000000,g3-E4-RegimeKLT,2000,2000-01-03,2000-12-29,False
-0.071826,-0.343442,-0.132260,0.174093,0.485830,248,0.000000,g3-E4-RegimeKLT,2001,2001-01-02,2001-12-31,False
0.141768,0.980872,-0.107691,0.146657,0.553785,252,0.000000,g3-E4-RegimeKLT,2002,2002-01-02,2002-12-31,False
1.089184,1.753266,-0.244388,0.491307,0.517928,252,32.000000,g3-E4-RegimeKLT,2003,2003-01-02,2003-12-31,False
0.101140,0.443503,-0.409329,0.384744,0.545817,252,35.000000,g3-E4-RegimeKLT,2004,2004-01-02,2004-12-31,False
-0.201234,-0.311730,-0.404241,0.428288,0.513944,252,30.000000,g3-E4-RegimeKLT,2005,2005-01-03,2005-12-30,False
0.433006,1.102156,-0.226225,0.401088,0.564000,251,28.111554,g3-E4-RegimeKLT,2006,2006-01-03,2006-12-29,False
0.219662,0.709256,-0.240334,0.392353,0.588000,251,48.191235,g3-E4-RegimeKLT,2007,2007-01-03,2007-12-31,False
0.212405,0.993106,-0.172494,0.218787,0.531746,253,1.992095,g3-E4-RegimeKLT,2008,2008-01-02,2008-12-31,False
0.474221,1.156362,-0.193994,0.410693,0.557769,252,14.000000,g3-E4-RegimeKLT,2009,2009-01-02,2009-12-31,False
0.940860,1.606557,-0.244792,0.489607,0.617530,252,28.000000,g3-E4-RegimeKLT,2010,2010-01-04,2010-12-31,False
-0.083172,-0.053817,-0.275353,0.365792,0.545817,252,58.000000,g3-E4-RegimeKLT,2011,2011-01-03,2011-12-30,False
0.316930,0.916674,-0.303577,0.379611,0.493976,250,31.248000,g3-E4-RegimeKLT,2012,2012-01-03,2012-12-31,False
0.266033,0.778871,-0.195803,0.416905,0.521912,252,45.000000,g3-E4-RegimeKLT,2013,2013-01-02,2013-12-31,False
