strategy,verdict,n_windows,mean_CAGR,median_CAGR,std_CAGR,min_CAGR,max_CAGR,P05_CAGR,P25_CAGR,P75_CAGR,P95_CAGR,WFA_CI95_lo,WFA_CI95_hi,t_stat,t_pvalue,mean_Sharpe,std_Sharpe,mean_CAGR_IS,mean_CAGR_postIS,WFA_WFE,n_windows_IS,n_windows_postIS,mean_Trades_yr,crit_alpha,crit_beta
g3-E4-RegimeKLT,PASS,49,0.345646,0.316930,0.492528,-0.437685,1.517266,-0.326242,-0.083172,0.708288,1.232397,0.204176,0.487117,4.912460,0.000005,0.734503,1.135477,0.341435,0.393017,1.151072,45,4,27.774340,True,True
g3-REF-N750,PASS,49,0.341919,0.297775,0.497202,-0.419971,1.546399,-0.319007,-0.061980,0.556042,1.271580,0.199106,0.484732,4.813803,0.000008,0.738159,1.147871,0.337568,0.390860,1.157869,45,4,27.774340,True,True
g7-F10-eps015,PASS,49,0.359370,0.313732,0.505444,-0.492790,1.513076,-0.338269,-0.101040,0.741647,1.266336,0.214189,0.504550,4.976984,0.000004,0.740661,1.133789,0.352415,0.437605,1.241731,45,4,52.086096,True,True
g7-REF-F8R5-eps0,PASS,49,0.359412,0.313732,0.505474,-0.492480,1.512500,-0.338557,-0.100922,0.741647,1.266336,0.214223,0.504601,4.977276,0.000004,0.740828,1.133741,0.352473,0.437479,1.241170,45,4,53.126274,True,True
g8-REF-E4,PASS,49,0.345646,0.316930,0.492528,-0.437685,1.517266,-0.326242,-0.083172,0.708288,1.232397,0.204176,0.487117,4.912460,0.000005,0.734503,1.135477,0.341435,0.393017,1.151072,45,4,27.774340,True,True
g8-E4-lmax5,PASS,49,0.315489,0.280366,0.404466,-0.372500,1.130223,-0.265500,-0.041329,0.596807,0.988984,0.199312,0.431665,5.460085,0.000001,0.809244,1.142363,0.311135,0.364471,1.171427,45,4,27.774340,True,True
g8-F10-eps015-lmax5,PASS,49,0.325967,0.327390,0.413983,-0.420327,1.126552,-0.258200,-0.024972,0.644217,0.964926,0.207057,0.444877,5.511739,0.000001,0.810216,1.140644,0.318704,0.407669,1.279146,45,4,52.086096,True,True
g10-vz065-lmax5,PASS,49,0.318586,0.275426,0.404897,-0.371015,1.150995,-0.269085,-0.042493,0.580991,0.986394,0.202286,0.434886,5.507826,0.000001,0.814671,1.122356,0.311634,0.396800,1.273289,45,4,27.774340,True,True
g10-vz065-lmax5p5,PASS,49,0.328894,0.282973,0.426118,-0.396000,1.180750,-0.284495,-0.050554,0.623750,1.068402,0.206499,0.451289,5.402864,0.000001,0.793937,1.120020,0.321944,0.407087,1.264465,45,4,27.774340,True,True
g10-vz065-lmax6,PASS,49,0.337144,0.286418,0.448402,-0.410121,1.291186,-0.296869,-0.073503,0.672680,1.103809,0.208348,0.465940,5.263159,0.000002,0.774252,1.118218,0.330125,0.416118,1.260488,45,4,27.774340,True,True
g10-vz065-lmax7,PASS,49,0.349654,0.325386,0.492702,-0.436408,1.517775,-0.326706,-0.084670,0.730266,1.240546,0.208134,0.491175,4.967667,0.000004,0.742357,1.113835,0.342237,0.433094,1.265479,45,4,27.774340,True,True
g11-B4-klo0,PASS,49,0.343766,0.373080,0.489757,-0.434626,1.508302,-0.327459,-0.086980,0.689909,1.185085,0.203091,0.484441,4.913379,0.000005,0.730517,1.128895,0.340578,0.379631,1.114667,45,4,27.774340,True,True
g11-A1-alpha2,PASS,49,0.351986,0.334512,0.497090,-0.444799,1.500782,-0.352114,-0.087088,0.727387,1.254079,0.209205,0.494766,4.956647,0.000005,0.737922,1.130742,0.347562,0.401751,1.155912,45,4,27.774340,True,True
g11-A1-alpha3,PASS,49,0.354837,0.349163,0.497512,-0.451098,1.494166,-0.357412,-0.097728,0.720806,1.240716,0.211935,0.497739,4.992557,0.000004,0.739141,1.129714,0.350514,0.403471,1.151085,45,4,27.774340,True,True
g11-A1-alpha5,PASS,49,0.358927,0.384558,0.500283,-0.456518,1.485853,-0.365820,-0.110970,0.712449,1.232475,0.215229,0.502625,5.022139,0.000004,0.739198,1.134488,0.354502,0.408715,1.152930,45,4,27.774340,True,True
g11-A1-alpha8,PASS,49,0.361110,0.388535,0.502530,-0.461185,1.478153,-0.373180,-0.123285,0.706719,1.221296,0.216766,0.505453,5.030088,0.000004,0.736521,1.140907,0.356504,0.412924,1.158260,45,4,27.774340,True,True
g11-A2-lmax6vs2,PASS,49,0.339781,0.287065,0.470803,-0.426292,1.401817,-0.304773,-0.089983,0.696554,1.166199,0.204551,0.475012,5.051935,0.000003,0.753658,1.143100,0.335749,0.385141,1.147110,45,4,27.774340,True,True
g11-A2B-rolling,PASS,49,0.332055,0.287065,0.456655,-0.419934,1.327614,-0.304752,-0.078611,0.617907,1.166199,0.200889,0.463222,5.090027,0.000003,0.763385,1.146695,0.327974,0.377967,1.152429,45,4,27.774340,True,True
g11-A3-vov,PASS,49,0.345293,0.316930,0.491200,-0.437278,1.517266,-0.326540,-0.089751,0.708288,1.219225,0.204204,0.486382,4.920703,0.000005,0.732921,1.134095,0.341059,0.392924,1.152069,45,4,30.060752,True,True
g11-C2-adaptive,PASS,49,0.359601,0.313732,0.505498,-0.492177,1.513076,-0.338120,-0.101040,0.741647,1.266336,0.214405,0.504797,4.979661,0.000004,0.741274,1.133489,0.352667,0.437605,1.240844,45,4,51.800541,True,True
g11-C3-yz,PASS,49,0.336311,0.337134,0.471949,-0.386982,1.559395,-0.336808,-0.020506,0.580154,1.130440,0.200751,0.471870,4.988203,0.000004,0.745712,1.110434,0.333169,0.371653,1.115506,45,4,27.774340,True,True
g11-D5-vz060-lmax45,PASS,49,0.305992,0.267519,0.381649,-0.346111,1.123719,-0.265989,-0.024863,0.558452,0.926070,0.196370,0.415614,5.612339,0.000000,0.838681,1.122185,0.302558,0.344626,1.139042,45,4,27.774340,True,True
g11-D5-vz060-lmax50,PASS,49,0.320149,0.283596,0.404741,-0.370512,1.115592,-0.280889,-0.033193,0.579393,0.983883,0.203894,0.436404,5.536986,0.000001,0.818337,1.119530,0.315605,0.371265,1.176357,45,4,27.774340,True,True
g11-D5-vz065-lmax45,PASS,49,0.304609,0.250860,0.382042,-0.346539,1.159258,-0.257758,-0.030303,0.560669,0.926033,0.194874,0.414344,5.581224,0.000001,0.834992,1.124728,0.299094,0.366653,1.225879,45,4,27.774340,True,True
g11-D5-vz070-lmax50,PASS,49,0.315489,0.280366,0.404466,-0.372500,1.130223,-0.265500,-0.041329,0.596807,0.988984,0.199312,0.431665,5.460085,0.000001,0.809244,1.142363,0.311135,0.364471,1.171427,45,4,27.774340,True,True
