CAGR,Sharpe,MaxDD,Vol,PosDay_pct,n_days,Trades_yr,strategy,window_id,start_date,end_date,short_flag
-0.189895,-0.689061,-0.309793,0.258159,0.505976,252,35.000000,g16-S2-VZG-alone-lmax7,1977,1977-01-03,1977-12-30,False
1.327872,2.785593,-0.326635,0.323910,0.637450,252,25.000000,g16-S2-VZG-alone-lmax7,1978,1978-01-03,1978-12-29,False
0.150129,0.571655,-0.454785,0.383585,0.595238,253,16.932806,g16-S2-VZG-alone-lmax7,1979,1979-01-02,1979-12-31,False
0.960372,1.593225,-0.539075,0.506320,0.587302,253,14.940711,g16-S2-VZG-alone-lmax7,1980,1980-01-02,1980-12-31,False
-0.432566,-1.652808,-0.462095,0.313520,0.527778,253,25.897233,g16-S2-VZG-alone-lmax7,1981,1981-01-02,1981-12-31,False
1.033566,2.174237,-0.175694,0.356975,0.571429,253,4.980237,g16-S2-VZG-alone-lmax7,1982,1982-01-04,1982-12-31,False
0.567077,1.366629,-0.410653,0.385358,0.551587,253,11.952569,g16-S2-VZG-alone-lmax7,1983,1983-01-03,1983-12-30,False
-0.124731,-0.666404,-0.181746,0.177642,0.468254,253,7.968379,g16-S2-VZG-alone-lmax7,1984,1984-01-03,1984-12-31,False
1.079507,2.350323,-0.337167,0.337209,0.573705,252,22.000000,g16-S2-VZG-alone-lmax7,1985,1985-01-02,1985-12-31,False
0.457758,1.173497,-0.374739,0.388838,0.563492,253,22.909091,g16-S2-VZG-alone-lmax7,1986,1986-01-02,1986-12-31,False
0.263577,0.776345,-0.409895,0.415114,0.531746,253,29.881423,g16-S2-VZG-alone-lmax7,1987,1987-01-02,1987-12-31,False
-0.285561,-1.328031,-0.337813,0.233274,0.492063,253,12.948617,g16-S2-VZG-alone-lmax7,1988,1988-01-04,1988-12-30,False
0.365090,1.069819,-0.283872,0.351097,0.577689,252,15.000000,g16-S2-VZG-alone-lmax7,1989,1989-01-03,1989-12-29,False
-0.253420,-0.752607,-0.359076,0.320745,0.519841,253,18.924901,g16-S2-VZG-alone-lmax7,1990,1990-01-02,1990-12-31,False
0.715080,1.334017,-0.374367,0.501737,0.559524,253,23.905138,g16-S2-VZG-alone-lmax7,1991,1991-01-02,1991-12-31,False
0.516328,1.202788,-0.380969,0.420601,0.517787,254,29.763780,g16-S2-VZG-alone-lmax7,1992,1992-01-02,1992-12-31,False
-0.154146,-0.142876,-0.412610,0.447881,0.583333,253,39.841897,g16-S2-VZG-alone-lmax7,1993,1993-01-04,1993-12-31,False
-0.229354,-0.506024,-0.412858,0.375345,0.501992,252,30.000000,g16-S2-VZG-alone-lmax7,1994,1994-01-03,1994-12-30,False
1.561994,2.569874,-0.151165,0.399274,0.605578,252,25.000000,g16-S2-VZG-alone-lmax7,1995,1995-01-03,1995-12-29,False
0.392550,0.926878,-0.354509,0.486586,0.573123,254,34.724409,g16-S2-VZG-alone-lmax7,1996,1996-01-02,1996-12-31,False
0.926618,1.850842,-0.270444,0.399073,0.547619,253,17.928854,g16-S2-VZG-alone-lmax7,1997,1997-01-02,1997-12-31,False
0.926785,1.580263,-0.313445,0.495489,0.545817,252,29.000000,g16-S2-VZG-alone-lmax7,1998,1998-01-02,1998-12-31,False
1.392453,1.962019,-0.375253,0.514484,0.553785,252,45.000000,g16-S2-VZG-alone-lmax7,1999,1999-01-04,1999-12-31,False
-0.132931,-0.355229,-0.234530,0.282091,0.513944,252,15.000000,g16-S2-VZG-alone-lmax7,2000,2000-01-03,2000-12-29,False
-0.005985,0.041490,-0.113378,0.159794,0.514170,248,0.000000,g16-S2-VZG-alone-lmax7,2001,2001-01-02,2001-12-31,False
0.264708,1.631108,-0.088261,0.151641,0.557769,252,0.000000,g16-S2-VZG-alone-lmax7,2002,2002-01-02,2002-12-31,False
0.889906,1.660463,-0.248431,0.444872,0.529880,252,32.000000,g16-S2-VZG-alone-lmax7,2003,2003-01-02,2003-12-31,False
0.141644,0.548894,-0.372367,0.360338,0.549801,252,35.000000,g16-S2-VZG-alone-lmax7,2004,2004-01-02,2004-12-31,False
-0.207210,-0.311860,-0.394707,0.438532,0.501992,252,30.000000,g16-S2-VZG-alone-lmax7,2005,2005-01-03,2005-12-30,False
0.415057,0.995712,-0.291328,0.453766,0.576000,251,28.111554,g16-S2-VZG-alone-lmax7,2006,2006-01-03,2006-12-29,False
0.262217,0.747870,-0.239015,0.453189,0.588000,251,48.191235,g16-S2-VZG-alone-lmax7,2007,2007-01-03,2007-12-31,False
0.196989,0.925505,-0.162055,0.221551,0.527778,253,1.992095,g16-S2-VZG-alone-lmax7,2008,2008-01-02,2008-12-31,False
0.319322,0.901025,-0.193994,0.397319,0.541833,252,14.000000,g16-S2-VZG-alone-lmax7,2009,2009-01-02,2009-12-31,False
0.956936,1.705721,-0.227717,0.456665,0.601594,252,28.000000,g16-S2-VZG-alone-lmax7,2010,2010-01-04,2010-12-31,False
-0.145552,-0.220577,-0.283010,0.381928,0.553785,252,58.000000,g16-S2-VZG-alone-lmax7,2011,2011-01-03,2011-12-30,False
0.323251,0.820900,-0.378046,0.485289,0.485944,250,31.248000,g16-S2-VZG-alone-lmax7,2012,2012-01-03,2012-12-31,False
0.420986,0.973781,-0.233214,0.484687,0.545817,252,45.000000,g16-S2-VZG-alone-lmax7,2013,2013-01-02,2013-12-31,False
0.012721,0.219410,-0.197224,0.364453,0.561753,252,47.000000,g16-S2-VZG-alone-lmax7,2014,2014-01-02,2014-12-31,False
-0.427261,-1.067438,-0.490146,0.434306,0.486056,252,55.000000,g16-S2-VZG-alone-lmax7,2015,2015-01-02,2015-12-31,False
-0.198809,-0.148792,-0.429446,0.527499,0.541833,252,29.000000,g16-S2-VZG-alone-lmax7,2016,2016-01-04,2016-12-30,False
0.603924,1.569116,-0.236824,0.339784,0.588000,251,62.247012,g16-S2-VZG-alone-lmax7,2017,2017-01-03,2017-12-29,False
-0.191597,-0.310033,-0.434184,0.409254,0.560000,251,37.147410,g16-S2-VZG-alone-lmax7,2018,2018-01-02,2018-12-31,False
0.433222,0.973182,-0.416521,0.507450,0.545817,252,32.000000,g16-S2-VZG-alone-lmax7,2019,2019-01-02,2019-12-31,False
0.996008,1.664688,-0.305830,0.492779,0.591270,253,29.881423,g16-S2-VZG-alone-lmax7,2020,2020-01-02,2020-12-31,False
0.503870,1.101399,-0.314000,0.474341,0.573705,252,36.000000,g16-S2-VZG-alone-lmax7,2021,2021-01-04,2021-12-31,False
-0.309031,-2.128625,-0.371958,0.167616,0.456000,251,6.023904,g16-S2-VZG-alone-lmax7,2022,2022-01-03,2022-12-30,False
0.630650,1.237616,-0.388814,0.495818,0.538153,250,30.240000,g16-S2-VZG-alone-lmax7,2023,2023-01-03,2023-12-29,False
0.315329,0.800063,-0.319300,0.512975,0.541833,252,45.000000,g16-S2-VZG-alone-lmax7,2024,2024-01-02,2024-12-31,False
0.565344,1.143761,-0.228644,0.509203,0.582329,250,45.360000,g16-S2-VZG-alone-lmax7,2025,2025-01-02,2025-12-31,False
-0.599562,-1.544768,-0.270784,0.515718,0.491228,58,26.068966,g16-S2-VZG-alone-lmax7,2026,2026-01-02,2026-03-26,True
-0.104884,-0.498840,-0.227132,0.187626,0.494024,252,35.000000,g16-S2-VZG-alone-lmax5,1977,1977-01-03,1977-12-30,False
0.859828,2.640400,-0.274921,0.247879,0.633466,252,25.000000,g16-S2-VZG-alone-lmax5,1978,1978-01-03,1978-12-29,False
0.199473,0.790110,-0.356217,0.284635,0.587302,253,16.932806,g16-S2-VZG-alone-lmax5,1979,1979-01-02,1979-12-31,False
0.777545,1.611281,-0.457537,0.411768,0.575397,253,14.940711,g16-S2-VZG-alone-lmax5,1980,1980-01-02,1980-12-31,False
-0.388236,-1.683716,-0.419899,0.270612,0.531746,253,25.897233,g16-S2-VZG-alone-lmax5,1981,1981-01-02,1981-12-31,False
0.890967,2.109354,-0.171576,0.329047,0.571429,253,4.980237,g16-S2-VZG-alone-lmax5,1982,1982-01-04,1982-12-31,False
0.448792,1.398501,-0.337926,0.298394,0.547619,253,11.952569,g16-S2-VZG-alone-lmax5,1983,1983-01-03,1983-12-30,False
-0.111760,-0.755583,-0.142703,0.143956,0.468254,253,7.968379,g16-S2-VZG-alone-lmax5,1984,1984-01-03,1984-12-31,False
0.814832,2.531637,-0.252646,0.248773,0.585657,252,22.000000,g16-S2-VZG-alone-lmax5,1985,1985-01-02,1985-12-31,False
0.415710,1.329245,-0.270958,0.296180,0.571429,253,22.909091,g16-S2-VZG-alone-lmax5,1986,1986-01-02,1986-12-31,False
0.208359,0.739659,-0.359755,0.332034,0.535714,253,29.881423,g16-S2-VZG-alone-lmax5,1987,1987-01-02,1987-12-31,False
-0.225557,-1.282447,-0.272326,0.186383,0.488095,253,12.948617,g16-S2-VZG-alone-lmax5,1988,1988-01-04,1988-12-30,False
0.323321,1.225355,-0.200552,0.256913,0.573705,252,15.000000,g16-S2-VZG-alone-lmax5,1989,1989-01-03,1989-12-29,False
-0.196267,-0.766955,-0.281177,0.246200,0.515873,253,18.924901,g16-S2-VZG-alone-lmax5,1990,1990-01-02,1990-12-31,False
0.711213,1.511016,-0.307616,0.414018,0.567460,253,23.905138,g16-S2-VZG-alone-lmax5,1991,1991-01-02,1991-12-31,False
0.440551,1.241298,-0.295428,0.342224,0.517787,254,29.763780,g16-S2-VZG-alone-lmax5,1992,1992-01-02,1992-12-31,False
-0.066574,-0.043945,-0.302915,0.327312,0.583333,253,39.841897,g16-S2-VZG-alone-lmax5,1993,1993-01-04,1993-12-31,False
-0.168950,-0.521862,-0.330696,0.280132,0.498008,252,30.000000,g16-S2-VZG-alone-lmax5,1994,1994-01-03,1994-12-30,False
1.112056,2.552914,-0.151165,0.313860,0.609562,252,25.000000,g16-S2-VZG-alone-lmax5,1995,1995-01-03,1995-12-29,False
0.307872,0.919531,-0.276634,0.366016,0.573123,254,34.724409,g16-S2-VZG-alone-lmax5,1996,1996-01-02,1996-12-31,False
0.825709,1.974176,-0.223101,0.334679,0.547619,253,17.928854,g16-S2-VZG-alone-lmax5,1997,1997-01-02,1997-12-31,False
0.952952,1.785813,-0.282878,0.428299,0.545817,252,29.000000,g16-S2-VZG-alone-lmax5,1998,1998-01-02,1998-12-31,False
1.392453,1.962019,-0.375253,0.514484,0.553785,252,45.000000,g16-S2-VZG-alone-lmax5,1999,1999-01-04,1999-12-31,False
-0.132931,-0.355229,-0.234530,0.282091,0.513944,252,15.000000,g16-S2-VZG-alone-lmax5,2000,2000-01-03,2000-12-29,False
-0.005985,0.041490,-0.113378,0.159794,0.514170,248,0.000000,g16-S2-VZG-alone-lmax5,2001,2001-01-02,2001-12-31,False
0.264708,1.631108,-0.088261,0.151641,0.557769,252,0.000000,g16-S2-VZG-alone-lmax5,2002,2002-01-02,2002-12-31,False
0.927625,1.748837,-0.218708,0.429798,0.529880,252,32.000000,g16-S2-VZG-alone-lmax5,2003,2003-01-02,2003-12-31,False
0.106284,0.475156,-0.353396,0.323299,0.549801,252,35.000000,g16-S2-VZG-alone-lmax5,2004,2004-01-02,2004-12-31,False
-0.081258,-0.086386,-0.318141,0.335236,0.521912,252,30.000000,g16-S2-VZG-alone-lmax5,2005,2005-01-03,2005-12-30,False
0.363864,1.037416,-0.263510,0.364285,0.576000,251,28.111554,g16-S2-VZG-alone-lmax5,2006,2006-01-03,2006-12-29,False
0.274204,0.851744,-0.170170,0.364741,0.584000,251,48.191235,g16-S2-VZG-alone-lmax5,2007,2007-01-03,2007-12-31,False
0.196989,0.925505,-0.162055,0.221551,0.527778,253,1.992095,g16-S2-VZG-alone-lmax5,2008,2008-01-02,2008-12-31,False
0.349527,0.977885,-0.177591,0.383817,0.541833,252,14.000000,g16-S2-VZG-alone-lmax5,2009,2009-01-02,2009-12-31,False
0.900520,1.838726,-0.189552,0.392774,0.601594,252,28.000000,g16-S2-VZG-alone-lmax5,2010,2010-01-04,2010-12-31,False
-0.117466,-0.209118,-0.230600,0.332814,0.549801,252,58.000000,g16-S2-VZG-alone-lmax5,2011,2011-01-03,2011-12-30,False
0.277177,0.828700,-0.304838,0.385820,0.477912,250,31.248000,g16-S2-VZG-alone-lmax5,2012,2012-01-03,2012-12-31,False
0.457122,1.210854,-0.200214,0.369013,0.537849,252,45.000000,g16-S2-VZG-alone-lmax5,2013,2013-01-02,2013-12-31,False
0.065896,0.373534,-0.139837,0.269437,0.573705,252,47.000000,g16-S2-VZG-alone-lmax5,2014,2014-01-02,2014-12-31,False
-0.321994,-0.891963,-0.399008,0.362957,0.482072,252,55.000000,g16-S2-VZG-alone-lmax5,2015,2015-01-02,2015-12-31,False
-0.050500,0.076190,-0.291470,0.403392,0.533865,252,29.000000,g16-S2-VZG-alone-lmax5,2016,2016-01-04,2016-12-30,False
0.452627,1.655573,-0.172068,0.244812,0.584000,251,62.247012,g16-S2-VZG-alone-lmax5,2017,2017-01-03,2017-12-29,False
-0.095213,-0.159843,-0.318218,0.313994,0.564000,251,37.147410,g16-S2-VZG-alone-lmax5,2018,2018-01-02,2018-12-31,False
0.520830,1.275378,-0.290105,0.391024,0.553785,252,32.000000,g16-S2-VZG-alone-lmax5,2019,2019-01-02,2019-12-31,False
0.892590,1.624188,-0.287638,0.462835,0.591270,253,29.881423,g16-S2-VZG-alone-lmax5,2020,2020-01-02,2020-12-31,False
0.356426,0.966771,-0.308435,0.400024,0.565737,252,36.000000,g16-S2-VZG-alone-lmax5,2021,2021-01-04,2021-12-31,False
-0.309031,-2.128625,-0.371958,0.167616,0.456000,251,6.023904,g16-S2-VZG-alone-lmax5,2022,2022-01-03,2022-12-30,False
0.560992,1.186825,-0.382505,0.469097,0.538153,250,30.240000,g16-S2-VZG-alone-lmax5,2023,2023-01-03,2023-12-29,False
0.368447,0.951853,-0.223355,0.429033,0.541833,252,45.000000,g16-S2-VZG-alone-lmax5,2024,2024-01-02,2024-12-31,False
0.483828,1.131535,-0.228644,0.434589,0.586345,250,45.360000,g16-S2-VZG-alone-lmax5,2025,2025-01-02,2025-12-31,False
-0.575187,-1.751159,-0.248086,0.441396,0.491228,58,26.068966,g16-S2-VZG-alone-lmax5,2026,2026-01-02,2026-03-26,True
