strategy,case,yr_cost,CAGR_OOS_geo,CAGR_50yr,MaxDD,Sharpe_OOS,Worst10Y,P10_5Y
E4 Regime k_lt,measured (GMO 2026/4),0.016963,0.132982,0.190484,-0.409412,0.492837,0.082829,0.038384
E4 Regime k_lt,optimistic,0.025444,0.125590,0.183072,-0.420210,0.474488,0.075510,0.031030
E4 Regime k_lt,moderate,0.042407,0.110790,0.168233,-0.441512,0.437790,0.060861,0.016309
E4 Regime k_lt,conservative (base),0.084814,0.073689,0.131037,-0.493634,0.346045,0.024158,-0.020584
F10 eps015,measured (GMO 2026/4),0.031914,0.109977,0.176724,-0.379403,0.425264,0.082227,0.055019
F10 eps015,optimistic,0.047871,0.096002,0.162918,-0.394676,0.392356,0.068106,0.040907
F10 eps015,moderate,0.079784,0.067986,0.135259,-0.452565,0.326539,0.039788,0.012601
F10 eps015,conservative (base),0.159568,-0.002475,0.065796,-0.581588,0.161996,-0.031521,-0.058703
D5 vz065 lmax5p5,measured (GMO 2026/4),0.015829,0.113531,0.188653,-0.375096,0.440268,0.102918,0.057477
D5 vz065 lmax5p5,optimistic,0.023743,0.106528,0.181800,-0.381643,0.424361,0.096144,0.050651
D5 vz065 lmax5p5,moderate,0.039572,0.092500,0.168083,-0.394739,0.392549,0.082586,0.036987
D5 vz065 lmax5p5,conservative (base),0.079145,0.057309,0.133719,-0.427478,0.313019,0.048639,0.002754
DH Dyn 2x3x [A],large-NAV (cap eff.),0.005000,0.094218,0.187488,-0.257137,0.491083,0.104217,0.086691
DH Dyn 2x3x [A],moderate (base),0.010000,0.089979,0.183255,-0.261273,0.473921,0.099951,0.082495
DH Dyn 2x3x [A],small-NAV (no cap),0.020000,0.081498,0.174784,-0.269546,0.439595,0.091417,0.074102
