年,E4 Regime k_lt [measured (GMO 2026/4)],E4 Regime k_lt [optimistic],E4 Regime k_lt [moderate],E4 Regime k_lt [conservative (base)],F10 eps015 [measured (GMO 2026/4)],F10 eps015 [optimistic],F10 eps015 [moderate],F10 eps015 [conservative (base)],D5 vz065 lmax5p5 [measured (GMO 2026/4)],D5 vz065 lmax5p5 [optimistic],D5 vz065 lmax5p5 [moderate],D5 vz065 lmax5p5 [conservative (base)],DH Dyn 2x3x [A] [large-NAV (cap eff.)],DH Dyn 2x3x [A] [moderate (base)],DH Dyn 2x3x [A] [small-NAV (no cap)]
1974,,,,,,,,,,,,,0.081863,0.077727,0.069454
1975,,,,,,,,,,,,,-0.045137,-0.049273,-0.057546
1976,,,,,,,,,,,,,0.367863,0.363727,0.355454
1977,-0.177034,-0.184051,-0.198084,-0.233168,-0.111403,-0.124604,-0.151007,-0.217014,-0.122096,-0.128643,-0.141739,-0.174478,0.000863,-0.003273,-0.011546
1978,1.078966,1.071949,1.057916,1.022832,0.705597,0.692396,0.665993,0.599986,0.783904,0.777357,0.764261,0.731522,0.401863,0.397727,0.389454
1979,0.093966,0.086949,0.072916,0.037832,0.173597,0.160396,0.133993,0.067986,0.129904,0.123357,0.110261,0.077522,0.312863,0.308727,0.300454
1980,0.594966,0.587949,0.573916,0.538832,0.487597,0.474396,0.447993,0.381986,0.529904,0.523357,0.510261,0.477522,0.361863,0.357727,0.349454
1981,-0.346034,-0.353051,-0.367084,-0.402168,-0.306403,-0.319604,-0.346007,-0.412014,-0.291096,-0.297643,-0.310739,-0.343478,-0.257137,-0.261273,-0.269546
1982,0.751966,0.744949,0.730916,0.695832,0.674597,0.661396,0.634993,0.568986,0.718904,0.712357,0.699261,0.666522,0.720863,0.716727,0.708454
1983,0.023966,0.016949,0.002916,-0.032168,0.076597,0.063396,0.036993,-0.029014,0.069904,0.063357,0.050261,0.017522,0.136863,0.132727,0.124454
1984,-0.196034,-0.203051,-0.217084,-0.252168,-0.171403,-0.184604,-0.211007,-0.277014,-0.132096,-0.138643,-0.151739,-0.184478,-0.084137,-0.088273,-0.096546
1985,1.235966,1.228949,1.214916,1.179832,0.806597,0.793396,0.766993,0.700986,0.935904,0.929357,0.916261,0.883522,0.485863,0.481727,0.473454
1986,0.316966,0.309949,0.295916,0.260832,0.258597,0.245396,0.218993,0.152986,0.289904,0.283357,0.270261,0.237522,0.281863,0.277727,0.269454
1987,0.495966,0.488949,0.474916,0.439832,0.471597,0.458396,0.431993,0.365986,0.459904,0.453357,0.440261,0.407522,0.156863,0.152727,0.144454
1988,-0.259034,-0.266051,-0.280084,-0.315168,-0.244403,-0.257604,-0.284007,-0.350014,-0.214096,-0.220643,-0.233739,-0.266478,-0.135137,-0.139273,-0.147546
1989,0.390966,0.383949,0.369916,0.334832,0.355597,0.342396,0.315993,0.249986,0.355904,0.349357,0.336261,0.303522,0.208863,0.204727,0.196454
1990,-0.382034,-0.389051,-0.403084,-0.438168,-0.379403,-0.392604,-0.419007,-0.485014,-0.346096,-0.352643,-0.365739,-0.398478,-0.121137,-0.125273,-0.133546
1991,0.566966,0.559949,0.545916,0.510832,0.644597,0.631396,0.604993,0.538986,0.628904,0.622357,0.609261,0.576522,0.433863,0.429727,0.421454
1992,0.412966,0.405949,0.391916,0.356832,0.361597,0.348396,0.321993,0.255986,0.319904,0.313357,0.300261,0.267522,0.250863,0.246727,0.238454
1993,-0.074034,-0.081051,-0.095084,-0.130168,-0.028403,-0.041604,-0.068007,-0.134014,-0.036096,-0.042643,-0.055739,-0.088478,0.051863,0.047727,0.039454
1994,-0.136034,-0.143051,-0.157084,-0.192168,-0.112403,-0.125604,-0.152007,-0.218014,-0.106096,-0.112643,-0.125739,-0.158478,-0.089137,-0.093273,-0.101546
1995,1.207966,1.200949,1.186916,1.151832,0.853597,0.840396,0.813993,0.747986,0.957904,0.951357,0.938261,0.905522,0.628863,0.624727,0.616454
1996,0.307966,0.300949,0.286916,0.251832,0.286597,0.273396,0.246993,0.180986,0.270904,0.264357,0.251261,0.218522,0.153863,0.149727,0.141454
1997,0.459966,0.452949,0.438916,0.403832,0.399597,0.386396,0.359993,0.293986,0.408904,0.402357,0.389261,0.356522,0.423863,0.419727,0.411454
1998,0.696966,0.689949,0.675916,0.640832,0.582597,0.569396,0.542993,0.476986,0.672904,0.666357,0.653261,0.620522,0.642863,0.638727,0.630454
1999,0.623966,0.616949,0.602916,0.567832,0.661597,0.648396,0.621993,0.555986,0.602904,0.596357,0.583261,0.550522,0.980863,0.976727,0.968454
2000,-0.103034,-0.110051,-0.124084,-0.159168,-0.129403,-0.142604,-0.169007,-0.235014,-0.101096,-0.107643,-0.120739,-0.153478,0.004863,0.000727,-0.007546
2001,-0.079034,-0.086051,-0.100084,-0.135168,-0.091403,-0.104604,-0.131007,-0.197014,-0.073096,-0.079643,-0.092739,-0.125478,0.007863,0.003727,-0.004546
2002,0.097966,0.090949,0.076916,0.041832,0.085597,0.072396,0.045993,-0.020014,0.076904,0.070357,0.057261,0.024522,0.213863,0.209727,0.201454
2003,0.881966,0.874949,0.860916,0.825832,0.900597,0.887396,0.860993,0.794986,0.919904,0.913357,0.900261,0.867522,0.576863,0.572727,0.564454
2004,0.063966,0.056949,0.042916,0.007832,-0.029403,-0.042604,-0.069007,-0.135014,0.042904,0.036357,0.023261,-0.009478,0.088863,0.084727,0.076454
2005,-0.186034,-0.193051,-0.207084,-0.242168,-0.125403,-0.138604,-0.165007,-0.231014,-0.115096,-0.121643,-0.134739,-0.167478,0.001863,-0.002273,-0.010546
2006,0.338966,0.331949,0.317916,0.282832,0.367597,0.354396,0.327993,0.261986,0.322904,0.316357,0.303261,0.270522,0.284863,0.280727,0.272454
2007,0.161966,0.154949,0.140916,0.105832,0.185597,0.172396,0.145993,0.079986,0.184904,0.178357,0.165261,0.132522,0.187863,0.183727,0.175454
2008,0.155966,0.148949,0.134916,0.099832,0.136597,0.123396,0.096993,0.030986,0.157904,0.151357,0.138261,0.105522,0.173863,0.169727,0.161454
2009,0.372966,0.365949,0.351916,0.316832,0.499597,0.486396,0.459993,0.393986,0.379904,0.373357,0.360261,0.327522,0.199863,0.195727,0.187454
2010,0.758966,0.751949,0.737916,0.702832,0.543597,0.530396,0.503993,0.437986,0.734904,0.728357,0.715261,0.682522,0.529863,0.525727,0.517454
2011,-0.088034,-0.095051,-0.109084,-0.144168,-0.153403,-0.166604,-0.193007,-0.259014,-0.078096,-0.084643,-0.097739,-0.130478,-0.021137,-0.025273,-0.033546
2012,0.242966,0.235949,0.221916,0.186832,0.152597,0.139396,0.112993,0.046986,0.172904,0.166357,0.153261,0.120522,0.229863,0.225727,0.217454
2013,0.200966,0.193949,0.179916,0.144832,0.238597,0.225396,0.198993,0.132986,0.215904,0.209357,0.196261,0.163522,0.267863,0.263727,0.255454
2014,0.054966,0.047949,0.033916,-0.001168,0.004597,-0.008604,-0.035007,-0.101014,0.032904,0.026357,0.013261,-0.019478,0.108863,0.104727,0.096454
2015,-0.310034,-0.317051,-0.331084,-0.366168,-0.242403,-0.255604,-0.282007,-0.348014,-0.265096,-0.271643,-0.284739,-0.317478,-0.163137,-0.167273,-0.175546
2016,-0.144034,-0.151051,-0.165084,-0.200168,0.022597,0.009396,-0.017007,-0.083014,-0.036096,-0.042643,-0.055739,-0.088478,0.050863,0.046727,0.038454
2017,0.622966,0.615949,0.601916,0.566832,0.501597,0.488396,0.461993,0.395986,0.497904,0.491357,0.478261,0.445522,0.289863,0.285727,0.277454
2018,-0.125034,-0.132051,-0.146084,-0.181168,-0.052403,-0.065604,-0.092007,-0.158014,-0.060096,-0.066643,-0.079739,-0.112478,0.002863,-0.001273,-0.009546
2019,0.430966,0.423949,0.409916,0.374832,0.467597,0.454396,0.427993,0.361986,0.468904,0.462357,0.449261,0.416522,0.368863,0.364727,0.356454
2020,0.605966,0.598949,0.584916,0.549832,0.592597,0.579396,0.552993,0.486986,0.593904,0.587357,0.574261,0.541522,0.692863,0.688727,0.680454
2021,0.187966,0.180949,0.166916,0.131832,0.109597,0.096396,0.069993,0.003986,0.188904,0.182357,0.169261,0.136522,0.199863,0.195727,0.187454
2022,-0.236034,-0.243051,-0.257084,-0.292168,-0.246403,-0.259604,-0.286007,-0.352014,-0.236096,-0.242643,-0.255739,-0.288478,-0.252137,-0.256273,-0.264546
2023,0.694966,0.687949,0.673916,0.638832,0.666597,0.653396,0.626993,0.560986,0.689904,0.683357,0.670261,0.637522,0.336863,0.332727,0.324454
2024,0.387966,0.380949,0.366916,0.331832,0.551597,0.538396,0.511993,0.445986,0.420904,0.414357,0.401261,0.368522,0.197863,0.193727,0.185454
2025,0.375966,0.368949,0.354916,0.319832,0.250597,0.237396,0.210993,0.144986,0.398904,0.392357,0.379261,0.346522,0.328863,0.324727,0.316454
2026,-0.280034,-0.287051,-0.301084,-0.336168,-0.308403,-0.321604,-0.348007,-0.414014,-0.375096,-0.381643,-0.394739,-0.427478,-0.101137,-0.105273,-0.113546
