strategy,case,is_cfd,spread_rt,CAGR_IS,CAGR_OOS,IS_OOS_gap,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Trades_yr,WFA_WFE,WFA_CI95_lo,yr_cost_approx
E4 Regime k_lt,measured (GMO 2026/4),True,0.000200,0.207549,0.186010,0.021538,0.760321,-0.622493,0.106419,0.051204,91.634376,1.150671,0.196966,0.005720
E4 Regime k_lt,optimistic,True,0.000300,0.204513,0.183162,0.021350,0.752770,-0.623687,0.102392,0.046508,91.634376,1.150476,0.193378,0.008580
E4 Regime k_lt,moderate,True,0.000500,0.198467,0.177490,0.020977,0.737673,-0.626064,0.094381,0.037176,91.634376,1.150094,0.186235,0.014300
E4 Regime k_lt,conservative (base),True,0.001000,0.183509,0.163448,0.020061,0.699966,-0.632648,0.074603,0.014204,91.634376,1.149203,0.168568,0.028599
F10 eps015,measured (GMO 2026/4),True,0.000200,0.212059,0.203824,0.008235,0.800650,-0.657411,0.114189,0.065863,105.441550,1.242755,0.206166,0.006364
F10 eps015,optimistic,True,0.000300,0.208678,0.200676,0.008001,0.792673,-0.658364,0.110866,0.060916,105.441550,1.243300,0.202175,0.009546
F10 eps015,moderate,True,0.000500,0.201947,0.194410,0.007537,0.776724,-0.660262,0.104249,0.051092,105.441550,1.244457,0.194234,0.015910
F10 eps015,conservative (base),True,0.001000,0.185313,0.178908,0.006405,0.736881,-0.665948,0.087875,0.026935,105.441550,1.247783,0.174613,0.031820
D5 v065 l5p5,measured (GMO 2026/4),True,0.000200,0.208208,0.186162,0.022046,0.815896,-0.555548,0.132401,0.077879,75.400238,1.263436,0.200589,0.004667
D5 v065 l5p5,optimistic,True,0.000300,0.205740,0.183632,0.022108,0.808758,-0.556626,0.128968,0.074329,75.400238,1.262920,0.197646,0.007000
D5 v065 l5p5,moderate,True,0.000500,0.200822,0.178591,0.022230,0.794486,-0.558775,0.122134,0.067573,75.400238,1.261884,0.191780,0.011667
D5 v065 l5p5,conservative (base),True,0.001000,0.188629,0.166098,0.022531,0.758833,-0.564102,0.105225,0.055953,75.400238,1.259277,0.177243,0.023335
DH Dyn 2x3x [A],large-NAV (cap eff.),False,,0.201093,0.097709,0.103384,0.613877,-0.413646,0.129528,0.092261,27.774340,0.666759,0.178529,0.002536
DH Dyn 2x3x [A],moderate (base),False,,0.198488,0.095568,0.102920,0.603724,-0.415655,0.125721,0.087663,27.774340,0.662122,0.175390,0.005071
DH Dyn 2x3x [A],small-NAV (no cap),False,,0.188135,0.087054,0.101081,0.563183,-0.423625,0.110612,0.072977,27.774340,0.642603,0.162909,0.015214
