year,E4 Regime k_lt [measured (GMO 2026/4)],E4 Regime k_lt [optimistic],E4 Regime k_lt [moderate],E4 Regime k_lt [conservative (base)],F10 eps015 [measured (GMO 2026/4)],F10 eps015 [optimistic],F10 eps015 [moderate],F10 eps015 [conservative (base)],D5 v065 l5p5 [measured (GMO 2026/4)],D5 v065 l5p5 [optimistic],D5 v065 l5p5 [moderate],D5 v065 l5p5 [conservative (base)],DH Dyn 2x3x [A] [large-NAV (cap eff.)],DH Dyn 2x3x [A] [moderate (base)],DH Dyn 2x3x [A] [small-NAV (no cap)]
1974,0.152452,0.152452,0.152452,0.152452,0.152452,0.152452,0.152452,0.152452,0.152452,0.152452,0.152452,0.152452,0.218169,0.218169,0.218169
1975,-0.069129,-0.070583,-0.073483,-0.080686,-0.091386,-0.093159,-0.096693,-0.105457,-0.040344,-0.041388,-0.043470,-0.048653,-0.024039,-0.025298,-0.030316
1976,0.693399,0.690426,0.684498,0.669776,0.706719,0.702551,0.694248,0.673684,0.572138,0.570473,0.567149,0.558872,0.365221,0.363682,0.357544
1977,-0.166729,-0.168804,-0.172934,-0.183152,-0.160919,-0.163175,-0.167664,-0.178760,-0.112478,-0.114036,-0.117142,-0.124849,-0.019490,-0.022370,-0.033792
1978,1.084376,1.080035,1.071380,1.049909,1.132804,1.127269,1.116246,1.088951,0.791820,0.789445,0.784705,0.772913,0.434054,0.430457,0.416165
1979,0.104426,0.102644,0.099091,0.090261,0.171987,0.169550,0.164693,0.152648,0.140849,0.139472,0.136722,0.129878,0.214432,0.211859,0.201623
1980,0.607365,0.605150,0.600729,0.589735,0.625856,0.623531,0.618891,0.607352,0.542601,0.541007,0.537826,0.529903,0.492367,0.489824,0.479692
1981,-0.335584,-0.336953,-0.339681,-0.346438,-0.331210,-0.332766,-0.335863,-0.343524,-0.281901,-0.283171,-0.285703,-0.291983,-0.207129,-0.208705,-0.214970
1982,0.761807,0.757482,0.748866,0.727527,0.749960,0.745765,0.737409,0.716708,0.728641,0.725149,0.718189,0.700919,0.798519,0.796893,0.790404
1983,0.031939,0.028848,0.022698,0.007510,0.076586,0.073028,0.065953,0.048502,0.077625,0.074928,0.069557,0.056264,0.232245,0.230291,0.222506
1984,-0.186383,-0.188367,-0.192315,-0.202083,-0.182008,-0.184044,-0.188096,-0.198119,-0.122400,-0.124131,-0.127580,-0.136130,-0.035089,-0.036006,-0.039666
1985,1.240909,1.236491,1.227682,1.205820,1.202927,1.197582,1.186932,1.160546,0.943194,0.940080,0.933869,0.918434,0.489660,0.488163,0.482191
1986,0.325342,0.321534,0.313953,0.295214,0.298075,0.293664,0.284891,0.263251,0.298746,0.296093,0.290806,0.277693,0.291798,0.287766,0.271771
1987,0.502358,0.497342,0.487364,0.462741,0.572074,0.566493,0.555395,0.528029,0.467504,0.463654,0.455989,0.437020,0.158842,0.156147,0.145437
1988,-0.246760,-0.247372,-0.248593,-0.251636,-0.281202,-0.281960,-0.283474,-0.287242,-0.202539,-0.203095,-0.204205,-0.206974,-0.118372,-0.119097,-0.121993
1989,0.399478,0.396741,0.391285,0.377747,0.435831,0.432172,0.424885,0.406845,0.365527,0.363706,0.360073,0.351035,0.221929,0.218962,0.207166
1990,-0.370326,-0.371177,-0.372875,-0.377094,-0.416171,-0.417116,-0.419001,-0.423675,-0.335450,-0.336138,-0.337512,-0.340931,-0.075085,-0.076637,-0.082817
1991,0.571855,0.566062,0.554545,0.526160,0.671877,0.665000,0.651339,0.617722,0.636020,0.631533,0.622599,0.600499,0.397502,0.394067,0.380415
1992,0.422084,0.417403,0.408093,0.385116,0.470249,0.464962,0.454453,0.428547,0.329601,0.326079,0.319068,0.301723,0.251888,0.249544,0.240217
1993,-0.067483,-0.071023,-0.078056,-0.095360,-0.055341,-0.059112,-0.066601,-0.085011,-0.028849,-0.031777,-0.037602,-0.051983,0.040282,0.036398,0.021026
1994,-0.127053,-0.129601,-0.134670,-0.147188,-0.128501,-0.131420,-0.137224,-0.151528,-0.097494,-0.099505,-0.103511,-0.113434,-0.087490,-0.089626,-0.098114
1995,1.211796,1.206663,1.196435,1.171082,1.233909,1.227737,1.215447,1.185036,0.963794,0.960016,0.952482,0.933783,0.597818,0.592602,0.571920
1996,0.315393,0.310576,0.301002,0.277410,0.373161,0.367702,0.356858,0.330168,0.279842,0.276485,0.269801,0.253264,0.174334,0.171242,0.158964
1997,0.468283,0.464267,0.456272,0.436494,0.479781,0.475666,0.467474,0.447213,0.418106,0.414914,0.408555,0.392795,0.422211,0.419959,0.410988
1998,0.700984,0.695947,0.685924,0.661146,0.610400,0.605587,0.596008,0.572334,0.677174,0.672787,0.664051,0.642427,0.641843,0.637526,0.620376
1999,0.629259,0.625053,0.616676,0.595943,0.678721,0.674029,0.664688,0.641585,0.607630,0.603221,0.594444,0.572733,0.996571,0.990032,0.964103
2000,-0.089259,-0.089568,-0.090185,-0.091727,-0.104004,-0.104336,-0.104999,-0.106654,-0.088843,-0.089148,-0.089759,-0.091284,0.011215,0.009317,0.001762
2001,-0.064705,-0.065070,-0.065801,-0.067626,-0.064705,-0.065070,-0.065801,-0.067626,-0.060096,-0.060452,-0.061164,-0.062940,0.010714,0.010714,0.010714
2002,0.110234,0.109440,0.107854,0.103900,0.110234,0.109440,0.107854,0.103900,0.088363,0.087636,0.086185,0.082567,0.233470,0.233470,0.233470
2003,0.887484,0.883429,0.875347,0.855306,0.880333,0.875732,0.866567,0.843865,0.925173,0.921275,0.913503,0.894223,0.593232,0.589704,0.575672
2004,0.073289,0.070836,0.065951,0.053852,0.016187,0.013497,0.008142,-0.005101,0.051485,0.049369,0.045151,0.034692,0.094824,0.091938,0.080481
2005,-0.176646,-0.178986,-0.183641,-0.195137,-0.205868,-0.208289,-0.213101,-0.224974,-0.106076,-0.108143,-0.112260,-0.122453,0.017377,0.015420,0.007638
2006,0.342199,0.337785,0.329008,0.307346,0.439102,0.434043,0.423983,0.399178,0.328478,0.325302,0.318975,0.303307,0.225726,0.223462,0.214449
2007,0.166686,0.162322,0.153649,0.132292,0.184939,0.180076,0.170418,0.146669,0.190038,0.186447,0.179300,0.161649,0.169068,0.164461,0.146240
2008,0.170788,0.170667,0.170425,0.169820,0.163958,0.163829,0.163569,0.162921,0.171400,0.171279,0.171037,0.170431,0.187107,0.186839,0.185766
2009,0.382517,0.380351,0.376028,0.365287,0.489419,0.486640,0.481098,0.467343,0.389422,0.387615,0.384009,0.375039,0.230677,0.229639,0.225494
2010,0.764797,0.760754,0.752698,0.732734,0.599636,0.595420,0.587025,0.566250,0.740961,0.737554,0.730762,0.713907,0.467497,0.464327,0.451722
2011,-0.079280,-0.081773,-0.086736,-0.099003,-0.156704,-0.159233,-0.164263,-0.176676,-0.069704,-0.072018,-0.076627,-0.088029,-0.048556,-0.052626,-0.068698
2012,0.246348,0.242364,0.234440,0.214882,0.208603,0.204528,0.196425,0.176440,0.177849,0.174534,0.167938,0.151631,0.180650,0.178523,0.170061
2013,0.203433,0.197880,0.186862,0.159821,0.241825,0.235744,0.223683,0.194115,0.219775,0.215368,0.206608,0.185023,0.216236,0.211579,0.193146
2014,0.061091,0.057399,0.050061,0.031975,0.009439,0.005752,-0.001574,-0.019618,0.040135,0.037167,0.031262,0.016670,0.105569,0.101859,0.087163
2015,-0.301150,-0.303818,-0.309114,-0.322127,-0.295550,-0.298477,-0.304284,-0.318529,-0.257716,-0.260316,-0.265482,-0.278195,-0.169919,-0.173185,-0.186093
2016,-0.134261,-0.136588,-0.141219,-0.152666,-0.094952,-0.097885,-0.103718,-0.118101,-0.026324,-0.028115,-0.031687,-0.040551,0.061354,0.058743,0.048370
2017,0.619010,0.611816,0.597534,0.562435,0.705770,0.696741,0.678839,0.634984,0.497353,0.492068,0.481559,0.455644,0.238476,0.232419,0.208525
2018,-0.116348,-0.119172,-0.124786,-0.138632,-0.102981,-0.106276,-0.112822,-0.128935,-0.052219,-0.054756,-0.059805,-0.072287,-0.019321,-0.022194,-0.033590
2019,0.436269,0.432128,0.423884,0.403505,0.443153,0.438619,0.429600,0.407323,0.475277,0.471791,0.464845,0.447637,0.341976,0.338687,0.325619
2020,0.616053,0.612662,0.605902,0.589139,0.666779,0.663111,0.655801,0.637681,0.604179,0.601022,0.594728,0.579111,0.628702,0.625437,0.612446
2021,0.194955,0.191347,0.184169,0.166438,0.202356,0.198631,0.191221,0.172924,0.194912,0.191486,0.184668,0.167816,0.211147,0.208427,0.197619
2022,-0.221896,-0.222224,-0.222881,-0.224518,-0.219872,-0.220203,-0.220864,-0.222514,-0.223274,-0.223611,-0.224287,-0.225972,-0.240900,-0.241158,-0.242190
2023,0.693439,0.689239,0.680872,0.660152,0.751961,0.746970,0.737034,0.712462,0.687554,0.683370,0.675034,0.654392,0.311714,0.309630,0.301330
2024,0.389143,0.382983,0.370754,0.340709,0.500344,0.492761,0.477722,0.440856,0.423140,0.417932,0.407579,0.382065,0.224112,0.219320,0.200363
2025,0.377232,0.372926,0.364360,0.343207,0.347886,0.343484,0.334731,0.313125,0.399644,0.395736,0.387957,0.368719,0.309586,0.305222,0.287929
2026,-0.076115,-0.076964,-0.078660,-0.082884,-0.084178,-0.085085,-0.086897,-0.091407,-0.107237,-0.107735,-0.108730,-0.111214,-0.095032,-0.095281,-0.096275
