eps,spread_rt,case,CAGR_IS_pre,CAGR_OOS_pre,CAGR_IS_net,CAGR_OOS_net,IS_OOS_gap_net,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Trades_yr,tilt_updates,yr_cost_approx
0.0,0.0002,measured (GMO 2026/4),0.24925083688524818,0.2968394872524769,0.21219076487721633,0.20370634241484953,0.008484422462366803,0.8003375101845847,-0.6572066553901994,0.11417343801440039,0.06604998019933815,181.56093856784875,13169,0.0063656024008601686
0.0,0.0003,optimistic,0.24527015784391626,0.29232369084233745,0.20891023060334502,0.20055907834612885,0.008351152257216166,0.7923604705142406,-0.6581627763077815,0.11084851734550893,0.06109876931487393,181.56093856784875,13169,0.00954840360129025
0.0,0.0005,moderate,0.23734599196871153,0.28333832769683376,0.20238040245830735,0.19429305453285384,0.008087347925453514,0.7764114327192996,-0.6600672427296466,0.10422766961160979,0.05126640795081017,181.56093856784875,13169,0.01591400600215042
0.0,0.001,conservative (base),0.21775077274954224,0.2611421915771821,0.1862366126661481,0.17879304739761803,0.007443565268530072,0.736569180474222,-0.665769055669855,0.08784340384660427,0.0270890394619428,181.56093856784875,13169,0.03182801200430084
0.005,0.0002,measured (GMO 2026/4),0.24925084611050807,0.2968752083858124,0.21218967528609656,0.20373022956612474,0.008459445719971814,0.800399967077868,-0.6572066553901997,0.11416700424475401,0.06608457906442909,181.4461234717898,1897,0.0063655713354504725
0.005,0.0003,optimistic,0.24527018442678683,0.29235936367504034,0.2089091465962667,0.20058293874714006,0.008326207849126632,0.7924230560213555,-0.6581627763077815,0.11084205813302561,0.061133242942866706,181.4461234717898,1897,0.009548357003175707
0.005,0.0005,moderate,0.23734605292431432,0.2833739036045717,0.20237932930180902,0.19431686103352908,0.008062468268279943,0.7764742747532242,-0.660067242729647,0.10422116013807603,0.05130063219985017,181.4461234717898,1897,0.01591392833862618
0.005,0.001,conservative (base),0.21775091766471588,0.2611775233455824,0.18623556480057712,0.17881671684950984,0.007418847951067287,0.7366326597560715,-0.6657690556698556,0.08783677231832732,0.027122646630113868,181.4461234717898,1897,0.03182785667725236
0.008,0.0002,measured (GMO 2026/4),0.24922630895170772,0.2969041420619014,0.21216919806468892,0.2037499264789151,0.008419271585773824,0.8004505216443972,-0.6572066553901992,0.11420008335344467,0.06606540470236728,181.3695800744172,1881,0.006365507174621447
0.008,0.0003,optimistic,0.24524575828607098,0.29238820174658686,0.20888876743218443,0.20060258174096335,0.008286185691221082,0.7924736183982587,-0.6581627763077811,0.11087504213473398,0.06111396131869051,181.3695800744172,1881,0.00954826076193217
0.008,0.0005,moderate,0.23732184746300966,0.2834025515349945,0.2023591450636586,0.19433639673954373,0.00802274832411487,0.776524852207268,-0.6600672427296467,0.10425395474358479,0.05128114088073101,181.3695800744172,1881,0.015913767936553615
0.008,0.001,conservative (base),0.21772725606740817,0.2612057020855345,0.18621586100765586,0.17883598751428798,0.007379873493367883,0.7366832715619606,-0.665769055669855,0.08786909816717836,0.02710265862757303,181.3695800744172,1881,0.03182753587310723
0.01,0.0002,measured (GMO 2026/4),0.2492367419168171,0.29690414206190097,0.21217797776570513,0.20374992647891466,0.008428051286790472,0.8004505216443962,-0.6572066553901996,0.11419077109569198,0.06607172117246328,181.35044422507406,1873,0.006365233021519759
0.01,0.0003,optimistic,0.2452563458860857,0.29238820174658664,0.20889766882255256,0.2006025817409629,0.008295087081589658,0.7924736183982589,-0.6581627763077817,0.11086575753696581,0.06112133857389963,181.35044422507406,1873,0.009547849532279638
0.01,0.0005,moderate,0.2373327410746513,0.28340255153499405,0.20236828702824594,0.1943363967395435,0.008031890288702437,0.7765248522072679,-0.6600672427296463,0.10424472522355344,0.05129060708978426,181.35044422507406,1873,0.015913082553799397
0.01,0.001,conservative (base),0.21773889594448925,0.2612057020855343,0.18622558825699187,0.17883598751428775,0.007389600742704117,0.73668327156196,-0.6657690556698548,0.08786000493927282,0.02711716073940297,181.35044422507406,1873,0.031826165107598794
0.012,0.0002,measured (GMO 2026/4),0.24921421144952882,0.29690414206190074,0.21216140199747047,0.20374992647891466,0.008411475518555811,0.800450521644396,-0.6574112646455554,0.1141096127159178,0.06602601887397078,181.29303667704457,1869,0.006364940237668646
0.012,0.0003,optimistic,0.24523409128128915,0.2923882017465864,0.20888129118585796,0.20060258174096268,0.008278709444895282,0.7924736183982592,-0.6583641614724174,0.1107857040950686,0.061076134825147954,181.29303667704457,1869,0.009547410356502969
0.012,0.0005,moderate,0.2373110336419364,0.2834025515349945,0.20235230225138623,0.19433639673954373,0.008015905511842503,0.7765248522072673,-0.6602622284663515,0.10416686417712362,0.05124639272922373,181.29303667704457,1869,0.015912350594171613
0.012,0.001,conservative (base),0.21771853019523335,0.2612057020855345,0.18621056602931496,0.17883598751428798,0.007374578515026986,0.7366832715619602,-0.6659477971467742,0.08778752404105461,0.027075375370914503,181.29303667704457,1869,0.03182470118834323
0.015,0.0002,measured (GMO 2026/4),0.24920897446891344,0.29701822565158165,0.21215385705714596,0.20382409440499383,0.008329762652152128,0.8006501879773138,-0.6574112646455558,0.114189266634656,0.06586262939891147,181.1590857316425,1859,0.006364042519013196
0.015,0.0003,optimistic,0.245229520678087,0.2925018219435569,0.20887429657927292,0.20067647326231142,0.008197823316961506,0.7926730528619447,-0.6583641614724183,0.11086634324550859,0.06091564305890913,181.1590857316425,1859,0.00954606377851979
0.015,0.0005,moderate,0.2373077834494861,0.2835152501240099,0.2023463984034506,0.19440973815452822,0.007936660248922367,0.7767238344895965,-0.660262228466352,0.1042494541540564,0.051091627732543346,181.1590857316425,1859,0.015910106297532988
