strategy,case,year,return_pct
F8 R5_CALM_BOOST,measured (GMO 2026/4),1974,15.24524468273417
F8 R5_CALM_BOOST,measured (GMO 2026/4),1975,-9.148719105600463
F8 R5_CALM_BOOST,measured (GMO 2026/4),1976,70.67187613514176
F8 R5_CALM_BOOST,measured (GMO 2026/4),1977,-16.091901130983125
F8 R5_CALM_BOOST,measured (GMO 2026/4),1978,113.28037175386629
F8 R5_CALM_BOOST,measured (GMO 2026/4),1979,17.19868938786641
F8 R5_CALM_BOOST,measured (GMO 2026/4),1980,62.5643398686175
F8 R5_CALM_BOOST,measured (GMO 2026/4),1981,-33.120994425632865
F8 R5_CALM_BOOST,measured (GMO 2026/4),1982,74.99596468070851
F8 R5_CALM_BOOST,measured (GMO 2026/4),1983,7.679345633020366
F8 R5_CALM_BOOST,measured (GMO 2026/4),1984,-18.200829636003572
F8 R5_CALM_BOOST,measured (GMO 2026/4),1985,120.30172113504045
F8 R5_CALM_BOOST,measured (GMO 2026/4),1986,29.773918497685592
F8 R5_CALM_BOOST,measured (GMO 2026/4),1987,57.20737320565969
F8 R5_CALM_BOOST,measured (GMO 2026/4),1988,-28.159575132495153
F8 R5_CALM_BOOST,measured (GMO 2026/4),1989,43.58310614448928
F8 R5_CALM_BOOST,measured (GMO 2026/4),1990,-41.59219551041032
F8 R5_CALM_BOOST,measured (GMO 2026/4),1991,67.18765957645151
F8 R5_CALM_BOOST,measured (GMO 2026/4),1992,47.08636682844942
F8 R5_CALM_BOOST,measured (GMO 2026/4),1993,-5.550372988994712
F8 R5_CALM_BOOST,measured (GMO 2026/4),1994,-12.874504945038135
F8 R5_CALM_BOOST,measured (GMO 2026/4),1995,123.3432757431298
F8 R5_CALM_BOOST,measured (GMO 2026/4),1996,37.31610375851754
F8 R5_CALM_BOOST,measured (GMO 2026/4),1997,47.99559826906009
F8 R5_CALM_BOOST,measured (GMO 2026/4),1998,61.039986500410336
F8 R5_CALM_BOOST,measured (GMO 2026/4),1999,67.88893016932238
F8 R5_CALM_BOOST,measured (GMO 2026/4),2000,-10.40044842019339
F8 R5_CALM_BOOST,measured (GMO 2026/4),2001,-6.47046639393828
F8 R5_CALM_BOOST,measured (GMO 2026/4),2002,11.023442423737407
F8 R5_CALM_BOOST,measured (GMO 2026/4),2003,88.03328236600446
F8 R5_CALM_BOOST,measured (GMO 2026/4),2004,1.618696773486524
F8 R5_CALM_BOOST,measured (GMO 2026/4),2005,-20.59526944229516
F8 R5_CALM_BOOST,measured (GMO 2026/4),2006,43.921101608289206
F8 R5_CALM_BOOST,measured (GMO 2026/4),2007,18.555371157382023
F8 R5_CALM_BOOST,measured (GMO 2026/4),2008,16.39584952375121
F8 R5_CALM_BOOST,measured (GMO 2026/4),2009,48.941930383399736
F8 R5_CALM_BOOST,measured (GMO 2026/4),2010,59.96358255842935
F8 R5_CALM_BOOST,measured (GMO 2026/4),2011,-15.67039415680992
F8 R5_CALM_BOOST,measured (GMO 2026/4),2012,20.86029343067095
