CAGR,Sharpe,MaxDD,Vol,PosDay_pct,n_days,strategy,window_id,start_date,end_date,short_flag
-0.116885,-0.354037,-0.283683,0.258046,0.513944,252,S2+LT2,1977,1977-01-03,1977-12-30,False
1.502223,3.005549,-0.322824,0.324468,0.645418,252,S2+LT2,1978,1978-01-03,1978-12-29,False
0.209531,0.704465,-0.448736,0.382345,0.611111,253,S2+LT2,1979,1979-01-02,1979-12-31,False
0.860547,1.813426,-0.459271,0.385120,0.583333,253,S2+LT2,1980,1980-01-02,1980-12-31,False
-0.368837,-1.843423,-0.407340,0.235254,0.515873,253,S2+LT2,1981,1981-01-02,1981-12-31,False
0.986706,2.010085,-0.217427,0.378193,0.563492,253,S2+LT2,1982,1982-01-04,1982-12-31,False
0.126620,0.576190,-0.366649,0.274423,0.551587,253,S2+LT2,1983,1983-01-03,1983-12-30,False
-0.279110,-1.129908,-0.375416,0.261361,0.428571,253,S2+LT2,1984,1984-01-03,1984-12-31,False
1.770582,3.305930,-0.288418,0.325997,0.585657,252,S2+LT2,1985,1985-01-02,1985-12-31,False
0.548659,1.269574,-0.408949,0.416007,0.563492,253,S2+LT2,1986,1986-01-02,1986-12-31,False
0.635390,1.725552,-0.244838,0.315210,0.555556,253,S2+LT2,1987,1987-01-02,1987-12-31,False
-0.241543,-0.913034,-0.336684,0.264951,0.484127,253,S2+LT2,1988,1988-01-04,1988-12-30,False
0.619898,1.493732,-0.231305,0.371736,0.605578,252,S2+LT2,1989,1989-01-03,1989-12-29,False
-0.385663,-1.057799,-0.516111,0.389044,0.500000,253,S2+LT2,1990,1990-01-02,1990-12-31,False
0.889734,1.595393,-0.361059,0.470889,0.567460,253,S2+LT2,1991,1991-01-02,1991-12-31,False
0.629183,1.518609,-0.258086,0.366855,0.533597,254,S2+LT2,1992,1992-01-02,1992-12-31,False
0.006498,0.158811,-0.233986,0.264571,0.559524,253,S2+LT2,1993,1993-01-04,1993-12-31,False
-0.085368,-0.130565,-0.295157,0.312082,0.498008,252,S2+LT2,1994,1994-01-03,1994-12-30,False
1.709246,3.066390,-0.151883,0.346486,0.609562,252,S2+LT2,1995,1995-01-03,1995-12-29,False
0.529618,1.254496,-0.250203,0.405643,0.569170,254,S2+LT2,1996,1996-01-02,1996-12-31,False
0.488212,1.817745,-0.191447,0.234945,0.559524,253,S2+LT2,1997,1997-01-02,1997-12-31,False
0.831565,1.911397,-0.237958,0.350320,0.565737,252,S2+LT2,1998,1998-01-02,1998-12-31,False
0.562667,1.792418,-0.238978,0.270588,0.549801,252,S2+LT2,1999,1999-01-04,1999-12-31,False
-0.013737,-0.000707,-0.123142,0.164023,0.521912,252,S2+LT2,2000,2000-01-03,2000-12-29,False
-0.080479,-0.381409,-0.144338,0.179106,0.473684,248,S2+LT2,2001,2001-01-02,2001-12-31,False
0.073961,0.547897,-0.126840,0.151715,0.537849,252,S2+LT2,2002,2002-01-02,2002-12-31,False
1.286996,1.885669,-0.238599,0.509945,0.521912,252,S2+LT2,2003,2003-01-02,2003-12-31,False
0.149802,0.546703,-0.422088,0.409571,0.553785,252,S2+LT2,2004,2004-01-02,2004-12-31,False
-0.143414,-0.160280,-0.401454,0.419294,0.525896,252,S2+LT2,2005,2005-01-03,2005-12-30,False
0.526202,1.288001,-0.224134,0.388301,0.572000,251,S2+LT2,2006,2006-01-03,2006-12-29,False
0.329619,0.974504,-0.199628,0.361909,0.600000,251,S2+LT2,2007,2007-01-03,2007-12-31,False
0.217770,1.019167,-0.166138,0.217219,0.527778,253,S2+LT2,2008,2008-01-02,2008-12-31,False
0.498898,1.174490,-0.191264,0.422962,0.553785,252,S2+LT2,2009,2009-01-02,2009-12-31,False
1.109639,1.756140,-0.245577,0.498098,0.629482,252,S2+LT2,2010,2010-01-04,2010-12-31,False
-0.029753,0.098611,-0.260037,0.362350,0.549801,252,S2+LT2,2011,2011-01-03,2011-12-30,False
0.228622,0.848965,-0.259639,0.294456,0.502008,250,S2+LT2,2012,2012-01-03,2012-12-31,False
0.357877,1.021168,-0.176255,0.367853,0.525896,252,S2+LT2,2013,2013-01-02,2013-12-31,False
