strategy,verdict,n_windows,mean_CAGR,median_CAGR,std_CAGR,min_CAGR,max_CAGR,P05_CAGR,P25_CAGR,P75_CAGR,P95_CAGR,WFA_CI95_lo,WFA_CI95_hi,t_stat,t_pvalue,mean_Sharpe,std_Sharpe,mean_CAGR_IS,mean_CAGR_postIS,WFA_WFE,n_windows_IS,n_windows_postIS,crit_alpha,crit_beta
S2+LT2,PASS,49,0.411579,0.357877,0.537168,-0.385663,1.770582,-0.293230,-0.029753,0.635390,1.416132,0.257287,0.565872,5.363422,0.000001,0.870663,1.160713,0.406763,0.465770,1.145066,45,4,True,True
S2,PASS,49,0.436586,0.429469,0.541891,-0.409691,1.751915,-0.289040,-0.113429,0.754630,1.387383,0.280936,0.592235,5.639697,0.000000,0.839310,1.114391,0.442719,0.367589,0.830300,45,4,True,True
P2,PASS,49,0.462785,0.425027,0.584477,-0.406563,1.967640,-0.293767,-0.095196,0.753171,1.470028,0.294904,0.630666,5.542558,0.000001,0.848593,1.121727,0.471971,0.359446,0.761584,45,4,True,True
S4,PASS,49,0.587515,0.476585,0.841887,-0.477452,4.283887,-0.356339,-0.062085,0.878979,1.812876,0.345697,0.829334,4.884988,0.000006,0.863817,1.131926,0.608121,0.355702,0.584920,45,4,True,True
CFD7x,PASS,49,0.623243,0.499575,0.855646,-0.472245,3.858987,-0.380598,-0.055697,1.036250,2.012911,0.377473,0.869014,5.098725,0.000003,0.874705,1.140590,0.648801,0.335723,0.517452,45,4,True,True
DHA,PASS,49,0.273482,0.264708,0.318480,-0.306766,1.235016,-0.176772,0.033486,0.440001,0.780731,0.182004,0.364960,6.010969,0.000000,0.938159,1.093066,0.280643,0.192921,0.687424,45,4,True,True
BH1x,PASS,49,0.144932,0.149215,0.245804,-0.401978,0.842943,-0.334113,0.024706,0.307793,0.448337,0.074329,0.215535,4.127370,0.000073,0.991352,1.152330,0.143937,0.156123,1.084655,45,4,True,True
P02,PASS,49,0.261031,0.249051,0.304899,-0.298975,1.207100,-0.154811,0.033667,0.449502,0.753598,0.173454,0.348608,5.992862,0.000000,0.976986,1.409877,0.261608,0.254540,0.972985,45,4,True,True
P05,PASS,49,0.289964,0.285212,0.313772,-0.315454,1.130932,-0.161422,0.063300,0.449222,0.902814,0.199838,0.380090,6.468867,0.000000,1.147870,1.325749,0.296660,0.214641,0.723526,45,4,True,True
P01,PASS,49,0.255917,0.246071,0.297435,-0.277449,1.167825,-0.165230,0.027055,0.399721,0.748126,0.170484,0.341351,6.022890,0.000000,1.022345,1.488290,0.257048,0.243193,0.946099,45,4,True,True
DHA+LT2,PASS,49,0.256388,0.236726,0.299614,-0.251535,0.979948,-0.211035,0.055010,0.447221,0.737989,0.170328,0.342447,5.990081,0.000000,0.986496,1.127347,0.254810,0.274138,1.075855,45,4,True,True
