date,DH-REF (現行),DH-T1 (vz=0.65 Gate),DH-T2 (vz=0.65 + lmax=5.5),DH-T3 (vz=0.65 + F10 e=0.015),DH-T4 (Full vz+lmax+F10e)
0,1.000000,1.000000,1.000000,1.000000,1.000000
1,1.000000,1.000000,1.000000,1.000000,1.000000
2,0.992279,0.992050,0.992050,0.992050,0.992050
3,0.995070,0.994611,0.994611,0.994611,0.994611
4,1.022177,1.021475,1.021475,1.021475,1.021475
5,1.010607,1.009675,1.009675,1.009675,1.009675
6,0.996112,0.994954,0.994954,0.994954,0.994954
7,1.000283,0.998884,0.998884,0.998884,0.998884
8,1.007873,1.006225,1.006225,1.006225,1.006225
9,1.016766,1.014864,1.014864,1.014864,1.014864
10,1.015146,1.013006,1.013006,1.013006,1.013006
11,1.028576,1.026167,1.026167,1.026167,1.026167
12,1.026098,1.023451,1.023451,1.023451,1.023451
13,1.075403,1.072384,1.072384,1.072384,1.072384
14,1.068056,1.064802,1.064802,1.064802,1.064802
15,1.058084,1.054604,1.054604,1.054604,1.054604
16,1.051493,1.047781,1.047781,1.047781,1.047781
17,1.062720,1.058718,1.058718,1.058718,1.058718
18,1.068313,1.064039,1.064039,1.064039,1.064039
19,1.065221,1.060713,1.060713,1.060713,1.060713
20,1.054773,1.050066,1.050066,1.050066,1.050066
21,1.047127,1.042214,1.042214,1.042214,1.042214
22,1.042916,1.037788,1.037788,1.037788,1.037788
23,1.045427,1.040057,1.040057,1.040057,1.040057
24,1.069998,1.064277,1.064277,1.064277,1.064277
25,1.070800,1.064844,1.064844,1.064844,1.064844
26,1.063170,1.057021,1.057021,1.057021,1.057021
27,1.082730,1.076236,1.076236,1.076236,1.076236
28,1.093274,1.086480,1.086480,1.086480,1.086480
29,1.104556,1.097452,1.097452,1.097452,1.097452
30,1.098048,1.090744,1.090744,1.090744,1.090744
31,1.099113,1.091564,1.091564,1.091564,1.091564
32,1.109495,1.101635,1.101635,1.101635,1.101635
33,1.106365,1.098286,1.098286,1.098286,1.098286
34,1.108526,1.100190,1.100190,1.100190,1.100190
35,1.114759,1.106135,1.106135,1.106135,1.106135
36,1.138917,1.129862,1.129862,1.129862,1.129862
37,1.165786,1.156267,1.156267,1.156267,1.156267
38,1.198302,1.188257,1.188257,1.188257,1.188257
39,1.199195,1.188874,1.188874,1.188874,1.188874
40,1.172851,1.162486,1.162486,1.162486,1.162486
41,1.176556,1.165890,1.165890,1.165890,1.165890
42,1.163255,1.152441,1.152441,1.152441,1.152441
43,1.137037,1.126198,1.126198,1.126198,1.126198
44,1.132432,1.121373,1.121373,1.121373,1.121373
45,1.147017,1.135554,1.135554,1.135554,1.135554
46,1.172734,1.160745,1.160745,1.160745,1.160745
47,1.151208,1.139163,1.139163,1.139163,1.139163
48,1.149078,1.136787,1.136787,1.136787,1.136787
49,1.146218,1.133688,1.133688,1.133688,1.133688
50,1.146448,1.133650,1.133650,1.133650,1.133650
