idx,null_gap_pp,null_cagr_oos_pct
0,7.669625,8.214592
1,7.229891,9.015786
2,7.724407,8.115109
3,7.241118,8.760424
4,8.193004,8.409414
5,7.863560,8.058803
6,7.520913,8.367528
7,7.604260,8.237442
8,8.078988,8.433826
9,7.535498,8.725351
10,6.504772,9.746749
11,7.670483,8.189115
12,7.239057,8.718914
13,7.817722,7.999574
14,7.600105,8.666129
15,7.324285,9.124284
16,7.521232,8.688184
17,8.119212,8.566353
18,7.809900,7.999574
19,7.433989,8.531171
20,7.524092,8.367528
21,7.502544,8.837473
22,7.876226,8.058224
23,7.674169,8.153345
24,7.643777,8.239418
25,7.665447,8.788460
26,7.595167,8.629485
27,8.186534,8.517023
28,8.296998,8.097457
29,7.340741,8.664287
30,7.356530,8.521827
31,7.973744,7.961434
32,7.738897,8.777207
33,6.504772,9.746749
34,7.570775,8.641519
35,7.790133,8.674805
36,8.120409,8.383199
37,7.344201,8.872989
38,7.308108,9.131089
39,7.298655,8.681103
40,7.228007,9.015786
41,7.859076,7.985857
42,7.151381,8.858488
43,7.720659,8.794185
44,7.858804,7.985857
45,7.616532,8.198361
46,6.547272,9.738730
47,7.641698,8.841645
48,7.350409,8.664287
49,8.162079,8.276623
50,7.385807,9.030432
51,8.112263,8.721549
52,7.638026,8.202846
53,7.353048,8.642328
54,7.134329,8.871177
55,7.613535,8.239418
56,7.556708,8.689324
57,7.492658,8.668489
58,8.159762,8.276623
59,8.097528,8.416236
60,7.315316,8.681103
61,7.562211,8.641519
62,7.416845,8.771424
63,7.533713,8.355747
64,7.474878,8.531171
65,7.558788,8.659062
66,7.427886,8.759207
67,7.694957,8.792748
68,8.427617,8.375598
69,7.228034,9.015786
70,7.248787,9.179286
71,6.428695,9.844529
72,7.709370,8.115109
73,7.219686,9.233375
74,8.009788,8.632743
75,7.671799,8.802271
76,7.713242,8.803777
77,7.310256,8.682134
78,7.428389,8.758705
79,7.610005,8.237442
80,7.354790,8.639619
81,6.406503,9.844529
82,7.801302,8.008982
83,7.665142,8.690584
84,8.206382,8.603538
85,8.166121,8.409401
86,7.088588,8.835371
87,7.612444,8.619692
88,8.159878,8.210752
89,7.391245,8.884573
90,8.270145,8.145905
91,7.240939,8.760424
92,7.590655,8.673807
93,6.594954,9.690565
94,7.737893,8.794954
95,7.440141,8.531171
96,6.460947,9.828992
97,8.151357,8.396931
98,8.111729,8.435020
99,7.902353,8.017161
