year,DH-REF_pre_pct,DH-T4_pre_pct,DH-REF_aft_pct,DH-T4_aft_pct,diff_aft_pp
1974,26.3712,19.0877,21.8169,15.7913,-6.0256
1975,-3.0579,-5.0301,-2.5298,-4.1614,-1.6316
1976,43.9601,33.3079,36.3682,27.5556,-8.8126
1977,-2.7040,-4.2254,-2.2370,-3.4956,-1.2586
1978,52.0315,50.4633,43.0457,41.7483,-1.2974
1979,25.6085,17.1493,21.1859,14.1876,-6.9983
1980,59.2075,45.4245,48.9824,37.5797,-11.4026
1981,-25.2272,-16.4782,-20.8705,-13.6324,7.2380
1982,96.3246,81.2061,79.6893,67.1818,-12.5075
1983,27.8364,6.6682,23.0291,5.5166,-17.5125
1984,-4.3522,-8.5636,-3.6006,-7.0847,-3.4841
1985,59.0068,47.3246,48.8163,39.1517,-9.6647
1986,34.7838,33.6683,28.7766,27.8538,-0.9229
1987,18.8743,34.0845,15.6147,28.1981,12.5834
1988,-14.3959,-17.5770,-11.9097,-14.5415,-2.6318
1989,26.4670,26.0462,21.8962,21.5480,-0.3481
1990,-9.2635,-8.8253,-7.6637,-7.3012,0.3625
1991,47.6329,35.6064,39.4067,29.4572,-9.9495
1992,30.1637,25.3812,24.9544,20.9978,-3.9566
1993,4.3996,4.8957,3.6398,4.0502,0.4105
1994,-10.8336,-5.1111,-8.9626,-4.2284,4.7342
1995,71.6309,59.7230,59.2602,49.4089,-9.8514
1996,20.6988,19.7552,17.1242,16.3435,-0.7806
1997,50.7626,24.6180,41.9959,20.3665,-21.6294
1998,77.0610,50.7673,63.7526,41.9998,-21.7528
1999,119.6702,68.8122,99.0032,56.9283,-42.0749
2000,1.1262,-6.1320,0.9317,-5.0730,-6.0047
2001,1.2951,-0.0461,1.0714,-0.0381,-1.1096
2002,28.2208,27.1496,23.3470,22.4609,-0.8862
2003,71.2806,59.1314,58.9704,48.9194,-10.0510
2004,11.1131,12.0340,9.1938,9.9557,0.7619
2005,1.8639,2.1129,1.5420,1.7480,0.2060
2006,27.0110,30.0623,22.3462,24.8705,2.5243
2007,19.8793,18.3280,16.4461,15.1628,-1.2834
2008,22.5842,23.1150,18.6839,19.1230,0.4392
2009,27.7576,35.1465,22.9639,29.0767,6.1128
2010,56.1256,44.3658,46.4327,36.7038,-9.7289
2011,-6.3611,-6.3922,-5.2626,-5.2882,-0.0257
2012,21.5790,14.8848,17.8523,12.3142,-5.5381
2013,25.5746,12.6867,21.1579,10.4957,-10.6621
2014,12.3122,0.0941,10.1859,0.0778,-10.1081
2015,-20.9338,-17.3260,-17.3185,-14.3338,2.9847
2016,7.1005,11.8927,5.8743,9.8388,3.9645
2017,28.0937,23.3112,23.2419,19.2854,-3.9566
2018,-2.6828,0.9980,-2.2194,0.8257,3.0451
2019,40.9388,39.6607,33.8687,32.8113,-1.0574
2020,75.5998,60.8336,62.5437,50.3276,-12.2161
2021,25.1937,11.8552,20.8427,9.8078,-11.0349
2022,-29.1500,-24.9986,-24.1158,-20.6814,3.4344
2023,37.4266,43.3082,30.9630,35.8288,4.8658
2024,26.5104,28.0668,21.9320,23.2196,1.2876
2025,36.8938,32.0654,30.5222,26.5277,-3.9945
2026,-11.5171,-8.2488,-9.5281,-6.8242,2.7039
