Date,DH-T4_aft_pct
1977,-3.4956
1978,41.7483
1979,14.1876
1980,37.5797
1981,-13.6324
1982,67.1818
1983,5.5166
1984,-7.0847
1985,39.1517
1986,27.8538
1987,28.1981
1988,-14.5415
1989,21.5480
1990,-7.3012
1991,29.4572
1992,20.9978
1993,4.0502
1994,-4.2284
1995,49.4089
1996,16.3435
1997,20.3665
1998,41.9998
1999,56.9283
2000,-5.0730
2001,-0.0381
2002,22.4609
2003,48.9194
2004,9.9557
2005,1.7480
2006,24.8705
2007,15.1628
2008,19.1230
2009,29.0767
2010,36.7038
2011,-5.2882
2012,12.3142
2013,10.4957
2014,0.0778
2015,-14.3338
2016,9.8388
2017,19.2854
2018,0.8257
2019,32.8113
2020,50.3276
2021,9.8078
2022,-20.6814
2023,35.8288
2024,23.2196
2025,26.5277
2026,-6.8242
