date,DH-REF (現行),DH-Z1 (DH base + binary vz),DH-Z2 (F10 e tilt + binary vz),DH-Z3 (DH base + composite),DH-Z4 (Fixed bull 80/10/10 + binary vz),"DH-Z5 (Regime preset switch, always IN)"
0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,0.992279,1.000000,1.000000,1.000000,1.000000,0.991375
3,0.995070,1.000000,1.000000,1.000000,1.000000,0.994427
4,1.022177,1.000000,1.000000,1.000000,1.000000,1.024480
5,1.010607,1.000000,1.000000,1.000000,1.000000,1.011547
6,0.996112,1.000000,1.000000,1.000000,1.000000,0.995378
7,1.000283,1.000000,1.000000,1.000000,1.000000,0.999961
8,1.007873,1.000000,1.000000,1.000000,1.000000,1.008344
9,1.016766,1.000000,1.000000,1.000000,1.000000,1.018181
10,1.015146,1.000000,1.000000,1.000000,1.000000,1.016330
11,1.028576,1.000000,1.000000,1.000000,1.000000,1.031221
12,1.026098,1.000000,1.000000,1.000000,1.000000,1.028410
13,1.075403,1.000000,1.000000,1.000000,1.000000,1.083268
14,1.068056,1.000000,1.000000,1.000000,1.000000,1.074992
15,1.058084,1.000000,1.000000,1.000000,1.000000,1.063788
16,1.051493,1.000000,1.000000,1.000000,1.000000,1.056374
17,1.062720,1.000000,1.000000,1.000000,1.000000,1.068855
18,1.068313,1.000000,1.000000,1.000000,1.000000,1.075054
19,1.065221,1.000000,1.000000,1.000000,1.000000,1.071547
20,1.054773,1.000000,1.000000,1.000000,1.000000,1.059819
21,1.047127,1.000000,1.000000,1.000000,1.000000,1.051234
22,1.042916,1.000000,1.000000,1.000000,1.000000,1.046489
23,1.045427,1.000000,1.000000,1.000000,1.000000,1.049242
24,1.069998,1.000000,1.000000,1.000000,1.000000,1.076597
25,1.070800,1.000000,1.000000,1.000000,1.000000,1.077446
26,1.063170,1.000000,1.000000,1.000000,1.000000,1.068868
27,1.082730,1.000000,1.000000,1.000000,1.000000,1.090670
28,1.093274,1.000000,1.000000,1.000000,1.000000,1.102423
29,1.104556,1.000000,1.000000,1.000000,1.000000,1.115014
30,1.098048,1.000000,1.000000,1.000000,1.000000,1.107665
31,1.099113,1.000000,1.000000,1.000000,1.000000,1.108810
32,1.109495,1.000000,1.000000,1.000000,1.000000,1.120398
33,1.106365,1.000000,1.000000,1.000000,1.000000,1.116836
34,1.108526,1.000000,1.000000,1.000000,1.000000,1.119211
35,1.114759,1.000000,1.000000,1.000000,1.000000,1.126154
36,1.138917,1.000000,1.000000,1.000000,1.000000,1.153220
37,1.165786,1.000000,1.000000,1.000000,1.000000,1.183398
38,1.198302,1.000000,1.000000,1.000000,1.000000,1.220019
39,1.199195,1.000000,1.000000,1.000000,1.000000,1.220973
40,1.172851,1.000000,1.000000,1.000000,1.000000,1.191114
41,1.176556,1.000000,1.000000,1.000000,1.000000,1.195239
42,1.163255,1.000000,1.000000,1.000000,1.000000,1.180170
43,1.137037,1.000000,1.000000,1.000000,1.000000,1.150560
44,1.132432,1.000000,1.000000,1.000000,1.000000,1.145328
45,1.147017,1.000000,1.000000,1.000000,1.000000,1.161664
