idx,null_gap_pp,null_cagr_oos_pct
0,0.399732,10.619569
1,1.318881,14.402846
2,1.668677,9.166102
3,-1.558138,13.803671
4,4.996221,11.452480
5,0.643462,7.483216
6,1.133122,10.607033
7,0.969643,10.199344
8,4.616687,11.525915
9,1.688323,13.839423
10,3.953633,11.413057
11,3.084624,6.620193
12,-2.650433,14.797814
13,0.405834,10.328577
14,1.708878,14.007972
15,3.519185,12.495624
16,-4.772375,17.354283
17,5.444399,11.251082
18,0.702209,10.207771
19,-1.315062,13.585331
20,1.709326,10.032795
21,4.319675,11.455639
22,0.557872,7.990723
23,1.154237,8.593846
24,0.206346,10.619569
25,3.652384,12.331044
26,2.595644,12.819569
27,5.408508,11.431467
28,4.243364,11.766495
29,-2.093057,14.189590
30,0.014661,11.503023
31,0.080828,8.746150
32,5.937536,11.279350
33,3.953633,11.413057
34,2.465788,12.819569
35,3.493210,12.439442
36,4.397549,11.629681
37,2.362541,12.718213
38,3.520019,12.495624
39,-2.153314,14.149599
40,1.441386,14.447596
41,0.321987,10.620699
42,-1.833061,13.752906
43,6.231172,10.662233
44,0.289909,10.620699
45,0.597721,9.858231
46,3.979194,11.829149
47,4.867720,12.089829
48,-2.065825,14.114806
49,4.688766,11.595897
50,3.500434,12.522459
51,5.166849,12.460950
52,0.675724,10.520286
53,-2.221851,14.276158
54,-0.624720,12.420887
55,0.151436,10.643613
56,2.809556,12.672456
57,-2.907237,15.418777
58,4.688766,11.595897
59,4.051262,11.743282
60,-2.202297,14.149599
61,2.429075,13.004954
62,-3.236136,15.800891
63,0.898325,10.587083
64,-2.034866,13.994595
65,-4.263867,16.805619
66,-4.485366,16.992364
67,5.166420,11.396017
68,5.062432,11.988316
69,1.415822,14.458579
70,2.965247,13.016829
71,2.647884,13.460988
72,1.639002,9.321176
73,3.311900,12.787551
74,5.181026,11.301225
75,4.102475,12.822365
76,5.524439,11.584878
77,-2.086578,14.276158
78,-5.148363,17.354283
79,0.922050,10.199344
80,-2.221851,14.276158
81,2.758972,13.498959
82,-0.079736,10.318375
83,4.734184,11.185591
84,5.005632,12.107782
85,4.822042,11.626324
86,0.416095,11.814584
87,2.478290,12.860674
88,4.878485,11.185591
89,-2.454836,15.474161
90,4.644798,11.476458
91,-1.549960,13.803671
92,0.958472,14.638132
93,3.689304,11.893454
94,5.031284,11.626402
95,-1.360979,13.585331
96,4.243107,11.347284
97,4.763892,11.626324
98,4.161559,11.672550
99,0.437373,8.197137
