year,DH-REF_pre_pct,DH-Z2_pre_pct,DH-REF_aft_pct,DH-Z2_aft_pct,diff_aft_pp
1974,26.3712,0.0000,21.8169,0.0000,-21.8169
1975,-3.0579,12.5149,-2.5298,10.3536,12.8834
1976,43.9601,28.3335,36.3682,23.4403,-12.9279
1977,-2.7040,-4.1408,-2.2370,-3.4257,-1.1887
1978,52.0315,52.6442,43.0457,43.5525,0.5068
1979,25.6085,15.6891,21.1859,12.9796,-8.2063
1980,59.2075,32.1780,48.9824,26.6209,-22.3615
1981,-25.2272,-1.1482,-20.8705,-0.9499,19.9205
1982,96.3246,78.1035,79.6893,64.6150,-15.0743
1983,27.8364,-1.5637,23.0291,-1.2936,-24.3227
1984,-4.3522,-5.2140,-3.6006,-4.3135,-0.7129
1985,59.0068,41.5566,48.8163,34.3798,-14.4365
1986,34.7838,22.5786,28.7766,18.6793,-10.0973
1987,18.8743,20.1096,15.6147,16.6367,1.0220
1988,-14.3959,-10.5563,-11.9097,-8.7332,3.1765
1989,26.4670,21.7984,21.8962,18.0338,-3.8624
1990,-9.2635,-17.0986,-7.6637,-14.1457,-6.4820
1991,47.6329,43.2967,39.4067,35.8193,-3.5873
1992,30.1637,24.3789,24.9544,20.1687,-4.7857
1993,4.3996,-1.6514,3.6398,-1.3662,-5.0060
1994,-10.8336,-2.8272,-8.9626,-2.3390,6.6237
1995,71.6309,64.8488,59.2602,53.6494,-5.6108
1996,20.6988,9.9852,17.1242,8.2607,-8.8634
1997,50.7626,44.4974,41.9959,36.8127,-5.1832
1998,77.0610,46.2087,63.7526,38.2284,-25.5241
1999,119.6702,96.2826,99.0032,79.6546,-19.3486
2000,1.1262,-15.4596,0.9317,-12.7897,-13.7214
2001,1.2951,-1.8418,1.0714,-1.5237,-2.5951
2002,28.2208,-3.9001,23.3470,-3.2265,-26.5736
2003,71.2806,75.7602,58.9704,62.6764,3.7060
2004,11.1131,8.1381,9.1938,6.7326,-2.4612
2005,1.8639,0.6076,1.5420,0.5027,-1.0393
2006,27.0110,33.6729,22.3462,27.8576,5.5114
2007,19.8793,1.5915,16.4461,1.3166,-15.1295
2008,22.5842,3.9475,18.6839,3.2658,-15.4181
2009,27.7576,52.3316,22.9639,43.2939,20.3300
2010,56.1256,40.8547,46.4327,33.7991,-12.6336
2011,-6.3611,-20.7986,-5.2626,-17.2067,-11.9441
2012,21.5790,29.1980,17.8523,24.1555,6.3031
2013,25.5746,15.0679,21.1579,12.4657,-8.6922
2014,12.3122,-4.5133,10.1859,-3.7338,-13.9197
2015,-20.9338,-20.4052,-17.3185,-16.8812,0.4373
2016,7.1005,-1.7478,5.8743,-1.4459,-7.3202
2017,28.0937,25.3390,23.2419,20.9629,-2.2790
2018,-2.6828,-3.0442,-2.2194,-2.5185,-0.2990
2019,40.9388,23.0414,33.8687,19.0622,-14.8065
2020,75.5998,83.3303,62.5437,68.9391,6.3955
2021,25.1937,13.6388,20.8427,11.2834,-9.5594
2022,-29.1500,-3.0853,-24.1158,-2.5524,21.5633
2023,37.4266,39.1599,30.9630,32.3970,1.4340
2024,26.5104,31.5745,21.9320,26.1216,4.1895
2025,36.8938,16.8246,30.5222,13.9190,-16.6032
2026,-11.5171,-3.6166,-9.5281,-2.9920,6.5361
