Date,DH-Z2_aft_pct
1977,-3.4257
1978,43.5525
1979,12.9796
1980,26.6209
1981,-0.9499
1982,64.6150
1983,-1.2936
1984,-4.3135
1985,34.3798
1986,18.6793
1987,16.6367
1988,-8.7332
1989,18.0338
1990,-14.1457
1991,35.8193
1992,20.1687
1993,-1.3662
1994,-2.3390
1995,53.6494
1996,8.2607
1997,36.8127
1998,38.2284
1999,79.6546
2000,-12.7897
2001,-1.5237
2002,-3.2265
2003,62.6764
2004,6.7326
2005,0.5027
2006,27.8576
2007,1.3166
2008,3.2658
2009,43.2939
2010,33.7991
2011,-17.2067
2012,24.1555
2013,12.4657
2014,-3.7338
2015,-16.8812
2016,-1.4459
2017,20.9629
2018,-2.5185
2019,19.0622
2020,68.9391
2021,11.2834
2022,-2.5524
2023,32.3970
2024,26.1216
2025,13.9190
2026,-2.9920
