date,DH-REF (現行),DH-Z2 (v4 採用),"DH-W1 (Asymm+Hysteresis, DH base)",DH-W2 (Z2 binary + TMF rotation),DH-W3 (3-state preset switch)
0,1.000000,1.000000,1.000000,1.000000,1.000000
1,1.000000,1.000000,1.000000,1.000000,1.000000
2,0.992279,1.000000,1.000000,1.006242,1.006242
3,0.995070,1.000000,1.000000,1.000334,1.000334
4,1.022177,1.000000,1.000000,1.000519,1.000519
5,1.010607,1.000000,1.000000,1.000701,1.000701
6,0.996112,1.000000,1.000000,0.988771,0.988771
7,1.000283,1.000000,1.000000,0.985963,0.985963
8,1.007873,1.000000,1.000000,0.986125,0.986125
9,1.016766,1.000000,1.000000,0.992228,0.992228
10,1.015146,1.000000,1.000000,0.992394,0.992394
11,1.028576,1.000000,1.000000,0.998546,0.998546
12,1.026098,1.000000,1.000000,0.995699,0.995699
13,1.075403,1.000000,1.000000,0.992855,0.992855
14,1.068056,1.000000,1.000000,0.990023,0.990023
15,1.058084,1.000000,1.000000,0.987200,0.987200
16,1.051493,1.000000,1.000000,0.984389,0.984389
17,1.062720,1.000000,1.000000,0.984551,0.984551
18,1.068313,1.000000,1.000000,0.987684,0.987684
19,1.065221,1.000000,1.000000,0.984902,0.984902
20,1.054773,1.000000,1.000000,0.988061,0.988061
21,1.047127,1.000000,1.000000,0.991235,0.991235
22,1.042916,1.000000,1.000000,0.991449,0.991449
23,1.045427,1.000000,1.000000,0.997648,0.997648
24,1.069998,1.000000,1.000000,1.006921,1.006921
25,1.070800,1.000000,1.000000,1.013255,1.013255
26,1.063170,1.000000,1.000000,1.013481,1.013481
27,1.082730,1.000000,1.000000,1.013713,1.013713
28,1.093274,1.000000,1.000000,1.013938,1.013938
29,1.104556,1.000000,1.000000,1.014163,1.014163
30,1.098048,1.000000,1.000000,1.014395,1.014395
31,1.099113,1.000000,1.000000,1.014628,1.014628
32,1.109495,1.000000,1.000000,1.014858,1.014858
33,1.106365,1.000000,1.000000,1.015091,1.015091
34,1.108526,1.000000,1.000000,1.006093,1.006093
35,1.114759,1.000000,1.000000,1.000240,1.000240
36,1.138917,1.000000,1.000000,1.003488,1.003488
37,1.165786,1.000000,1.000000,1.006744,1.006744
38,1.198302,1.000000,1.000000,1.000871,1.000871
39,1.199195,1.000000,1.000000,0.995041,0.995041
40,1.172851,1.000000,1.000000,0.992247,0.992247
41,1.176556,1.000000,1.000000,0.971545,0.971545
42,1.163255,1.000000,1.000000,0.968839,0.968839
43,1.137037,1.000000,1.000000,0.966132,0.966132
44,1.132432,1.000000,1.000000,0.969204,0.969204
45,1.147017,1.000000,1.000000,0.978079,0.978079
46,1.172734,1.000000,1.000000,0.978256,0.978256
47,1.151208,1.000000,1.000000,0.972570,0.972570
48,1.149078,1.000000,1.000000,0.969841,0.969841
49,1.146218,1.000000,1.000000,0.958432,0.958432
50,1.146448,1.000000,1.000000,0.958622,0.958622
