year,DH-REF (現行 DH),DH-Z2 (v4 採用),"DH-W1 (Asymm+Hyst, DH base)",DH-W2 (Z2 + TMF rotation),DH-W3 (3-state preset switch),NEW 🟢 (CFD reference),NDX 1x B&H (Benchmark)
1974,21.82,0.00,0.00,-6.77,-6.77,15.25,-29.25
1975,-2.53,10.35,0.88,-0.69,-7.35,-9.67,23.06
1976,36.37,23.44,33.91,25.43,32.72,69.42,21.01
1977,-2.24,-3.43,-4.31,-6.10,-11.31,-16.77,6.23
1978,43.05,43.55,48.54,33.88,32.69,111.62,11.12
1979,21.19,12.98,15.87,13.44,8.02,16.63,23.38
1980,48.98,26.62,28.62,94.74,90.42,64.41,30.25
1981,-20.87,-0.95,-0.28,-16.85,-22.13,-30.03,-3.13
1982,79.69,64.62,50.66,135.06,58.96,75.05,15.60
1983,23.03,-1.29,41.70,-20.41,11.38,8.39,17.22
1984,-3.60,-4.31,-6.53,1.89,10.52,-14.12,-9.10
1985,48.82,34.38,39.98,55.87,50.25,114.39,26.58
1986,28.78,18.68,29.08,14.72,5.73,28.39,6.06
1987,15.61,16.64,17.92,23.67,15.09,57.79,-5.32
1988,-11.91,-8.73,-6.95,-8.13,-7.16,-27.90,10.48
1989,21.90,18.03,21.95,18.97,21.16,42.34,16.65
1990,-7.66,-14.15,-12.73,-0.40,-2.55,-41.79,-15.40
1991,39.41,35.82,26.55,51.73,34.04,67.40,47.60
1992,24.95,20.17,19.03,23.13,26.24,41.02,12.77
1993,3.64,-1.37,2.09,-9.11,2.20,-5.97,12.93
1994,-8.96,-2.34,-2.53,-16.32,-8.81,-13.73,-2.02
1995,59.26,53.65,51.00,84.99,48.03,124.13,34.33
1996,17.12,8.26,16.21,1.12,31.91,36.37,18.16
1997,42.00,36.81,22.41,66.51,60.29,44.68,18.71
1998,63.75,38.23,28.00,54.48,80.94,56.43,31.97
1999,99.00,79.65,70.22,28.51,43.78,63.71,69.74
2000,0.93,-12.79,-12.79,22.17,10.30,-10.46,-33.26
2001,1.07,-1.52,0.00,-0.44,-3.03,-6.12,-12.33
2002,23.35,-3.23,0.00,11.16,23.69,8.62,-26.91
2003,58.97,62.68,63.51,63.94,68.36,88.33,36.95
2004,9.19,6.73,1.67,12.35,3.26,0.77,6.96
2005,1.54,0.50,4.64,-1.59,-3.84,-21.05,2.04
2006,22.35,27.86,23.57,15.39,18.55,42.19,6.33
2007,16.45,1.32,4.14,4.07,29.50,17.79,7.82
2008,18.68,3.27,0.00,83.09,78.97,16.42,-32.74
2009,22.96,43.29,36.43,-15.78,-25.76,46.30,32.28
2010,46.43,33.80,46.43,49.39,50.23,58.35,12.34
2011,-5.26,-17.21,-7.64,9.37,-20.35,-16.57,-2.65
2012,17.85,24.16,24.70,39.02,13.17,15.63,11.58
2013,21.16,12.47,9.71,2.12,9.52,21.77,28.29
2014,10.19,-3.73,2.17,27.20,8.25,-4.07,11.84
2015,-17.32,-16.88,-13.73,-38.75,-32.57,-30.85,4.91
2016,5.87,-1.45,-2.09,18.42,-3.85,-10.32,8.10
2017,23.24,20.96,21.88,22.41,26.57,66.74,22.47
2018,-2.22,-2.52,-7.62,-2.78,-0.26,-11.26,-4.39
2019,33.87,19.06,24.65,27.58,45.50,41.41,28.63
2020,62.54,68.94,58.96,45.44,50.94,69.24,34.54
2021,20.84,11.28,22.38,11.63,10.63,26.21,19.20
2022,-24.12,-2.55,0.00,-53.19,-53.43,-22.23,-28.04
2023,30.96,32.40,26.95,30.31,26.47,80.31,36.83
2024,21.93,26.12,21.93,19.45,3.41,47.47,25.46
2025,30.52,13.92,21.24,23.52,12.39,41.25,17.00
2026,-9.53,-2.99,-6.13,-4.38,-9.06,-12.76,-6.51
