year,NEW 🟢,D5,DH-W1,DH [A],B&H
1974,15.25,15.25,0.00,21.82,-29.25
1975,-9.67,-4.35,0.88,-2.53,23.06
1976,69.42,56.71,33.91,36.37,21.01
1977,-16.77,-11.71,-4.31,-2.24,6.23
1978,111.62,78.47,48.54,43.05,11.12
1979,16.63,13.67,15.87,21.19,23.38
1980,64.41,53.78,28.62,48.98,30.25
1981,-30.03,-28.57,-0.28,-20.87,-3.13
1982,75.05,71.82,50.66,79.69,15.60
1983,8.39,6.96,41.70,23.03,17.22
1984,-14.12,-12.76,-6.53,-3.60,-9.10
1985,114.39,93.39,39.98,48.82,26.58
1986,28.39,29.08,29.08,28.78,6.06
1987,57.79,45.60,17.92,15.61,-5.32
1988,-27.90,-20.42,-6.95,-11.91,10.48
1989,42.34,36.01,21.95,21.90,16.65
1990,-41.79,-33.75,-12.73,-7.66,-15.40
1991,67.40,62.26,26.55,39.41,47.60
1992,41.02,31.91,19.03,24.95,12.77
1993,-5.97,-3.76,2.09,3.64,12.93
1994,-13.73,-10.35,-2.53,-8.96,-2.02
1995,124.13,95.25,51.00,59.26,34.33
1996,36.37,26.98,16.21,17.12,18.16
1997,44.68,40.86,22.41,42.00,18.71
1998,56.43,66.41,28.00,63.75,31.97
1999,63.71,59.44,70.22,99.00,69.74
2000,-10.46,-8.98,-12.79,0.93,-33.26
2001,-6.12,-6.12,0.00,1.07,-12.33
2002,8.62,8.62,0.00,23.35,-26.91
2003,88.33,91.35,63.51,58.97,36.95
2004,0.77,4.52,1.67,9.19,6.96
2005,-21.05,-11.23,4.64,1.54,2.04
2006,42.19,31.90,23.57,22.35,6.33
2007,17.79,17.93,4.14,16.45,7.82
2008,16.42,17.10,0.00,18.68,-32.74
2009,46.30,38.40,36.43,22.96,32.28
2010,58.35,73.08,46.43,46.43,12.34
2011,-16.57,-7.66,-7.64,-5.26,-2.65
2012,15.63,16.79,24.70,17.85,11.58
2013,21.77,20.66,9.71,21.16,28.29
2014,-4.07,3.13,2.17,10.19,11.84
2015,-30.85,-26.55,-13.73,-17.32,4.91
2016,-10.32,-3.17,-2.09,5.87,8.10
2017,66.74,48.16,21.88,23.24,22.47
2018,-11.26,-5.98,-7.62,-2.22,-4.39
2019,41.41,46.48,24.65,33.87,28.63
2020,69.24,59.47,58.96,62.54,34.54
2021,26.21,18.47,22.38,20.84,19.20
2022,-22.23,-22.43,0.00,-24.12,-28.04
2023,80.31,67.50,26.95,30.96,36.83
2024,47.47,40.76,21.93,21.93,25.46
2025,41.25,38.80,21.24,30.52,17.00
2026,-12.76,-10.87,-6.13,-9.53,-6.51
