CAGR,Sharpe,MaxDD,Vol,PosDay_pct,n_days,strategy,window_id,start_date,end_date,short_flag
-0.104323,-0.288852,-0.283919,0.262866,0.517928,252,F7v3-A2,1977,1977-01-03,1977-12-30,False
1.503671,2.921563,-0.337946,0.335254,0.649402,252,F7v3-A2,1978,1978-01-03,1978-12-29,False
0.272232,0.832263,-0.440169,0.386626,0.611111,253,F7v3-A2,1979,1979-01-02,1979-12-31,False
0.832768,1.766745,-0.468687,0.387250,0.583333,253,F7v3-A2,1980,1980-01-02,1980-12-31,False
-0.372814,-1.668347,-0.436981,0.260000,0.531746,253,F7v3-A2,1981,1981-01-02,1981-12-31,False
0.974352,2.019239,-0.214247,0.372268,0.567460,253,F7v3-A2,1982,1982-01-04,1982-12-31,False
0.111080,0.504189,-0.397987,0.303293,0.543651,253,F7v3-A2,1983,1983-01-03,1983-12-30,False
-0.190563,-0.659394,-0.291191,0.269190,0.432540,253,F7v3-A2,1984,1984-01-03,1984-12-31,False
1.710642,3.160037,-0.314107,0.335002,0.585657,252,F7v3-A2,1985,1985-01-02,1985-12-31,False
0.486338,1.138759,-0.456694,0.435437,0.575397,253,F7v3-A2,1986,1986-01-02,1986-12-31,False
0.784663,1.873565,-0.277918,0.342016,0.563492,253,F7v3-A2,1987,1987-01-02,1987-12-31,False
-0.275707,-1.033217,-0.356934,0.275897,0.484127,253,F7v3-A2,1988,1988-01-04,1988-12-30,False
0.677973,1.582377,-0.242500,0.373774,0.601594,252,F7v3-A2,1989,1989-01-03,1989-12-29,False
-0.444011,-1.215040,-0.551277,0.412702,0.503968,253,F7v3-A2,1990,1990-01-02,1990-12-31,False
0.834415,1.463344,-0.373395,0.504918,0.563492,253,F7v3-A2,1991,1991-01-02,1991-12-31,False
0.630576,1.459629,-0.313293,0.387531,0.529644,254,F7v3-A2,1992,1992-01-02,1992-12-31,False
-0.005738,0.145754,-0.282339,0.322763,0.583333,253,F7v3-A2,1993,1993-01-04,1993-12-31,False
-0.084189,-0.085162,-0.332330,0.342093,0.505976,252,F7v3-A2,1994,1994-01-03,1994-12-30,False
1.659572,3.025084,-0.157687,0.344844,0.613546,252,F7v3-A2,1995,1995-01-03,1995-12-29,False
0.581433,1.235564,-0.311799,0.457171,0.581028,254,F7v3-A2,1996,1996-01-02,1996-12-31,False
0.631542,1.812488,-0.217127,0.295459,0.543651,253,F7v3-A2,1997,1997-01-02,1997-12-31,False
0.842267,1.764737,-0.279469,0.391128,0.565737,252,F7v3-A2,1998,1998-01-02,1998-12-31,False
0.871080,1.997763,-0.234779,0.344962,0.565737,252,F7v3-A2,1999,1999-01-04,1999-12-31,False
-0.114928,-0.447352,-0.196703,0.217051,0.501992,252,F7v3-A2,2000,2000-01-03,2000-12-29,False
-0.069786,-0.330798,-0.131541,0.174088,0.485830,248,F7v3-A2,2001,2001-01-02,2001-12-31,False
0.146061,1.006691,-0.107109,0.146637,0.553785,252,F7v3-A2,2002,2002-01-02,2002-12-31,False
1.255473,1.839553,-0.251638,0.517413,0.513944,252,F7v3-A2,2003,2003-01-02,2003-12-31,False
0.091752,0.419905,-0.438995,0.405294,0.541833,252,F7v3-A2,2004,2004-01-02,2004-12-31,False
-0.166171,-0.197251,-0.412252,0.437734,0.517928,252,F7v3-A2,2005,2005-01-03,2005-12-30,False
0.617342,1.391179,-0.204424,0.406819,0.572000,251,F7v3-A2,2006,2006-01-03,2006-12-29,False
0.271952,0.799912,-0.255444,0.410973,0.596000,251,F7v3-A2,2007,2007-01-03,2007-12-31,False
0.207251,0.971924,-0.172442,0.219258,0.531746,253,F7v3-A2,2008,2008-01-02,2008-12-31,False
0.615748,1.331925,-0.191900,0.432620,0.549801,252,F7v3-A2,2009,2009-01-02,2009-12-31,False
0.964261,1.573062,-0.308792,0.516440,0.621514,252,F7v3-A2,2010,2010-01-04,2010-12-31,False
-0.133572,-0.173984,-0.280792,0.388715,0.537849,252,F7v3-A2,2011,2011-01-03,2011-12-30,False
0.368646,1.003263,-0.303431,0.388897,0.477912,250,F7v3-A2,2012,2012-01-03,2012-12-31,False
0.402352,1.008685,-0.190576,0.428898,0.529880,252,F7v3-A2,2013,2013-01-02,2013-12-31,False
0.107700,0.498047,-0.157064,0.292456,0.541833,252,F7v3-A2,2014,2014-01-02,2014-12-31,False
-0.312814,-0.840849,-0.398187,0.367102,0.478088,252,F7v3-A2,2015,2015-01-02,2015-12-31,False
-0.038149,0.213734,-0.382570,0.552791,0.541833,252,F7v3-A2,2016,2016-01-04,2016-12-30,False
1.008057,2.018493,-0.215181,0.384264,0.592000,251,F7v3-A2,2017,2017-01-03,2017-12-29,False
-0.073794,0.021351,-0.377309,0.407829,0.532000,251,F7v3-A2,2018,2018-01-02,2018-12-31,False
0.649372,1.263979,-0.373748,0.497896,0.557769,252,F7v3-A2,2019,2019-01-02,2019-12-31,False
0.838670,1.805781,-0.228585,0.379440,0.607143,253,F7v3-A2,2020,2020-01-02,2020-12-31,False
0.302917,0.977701,-0.239330,0.325890,0.529880,252,F7v3-A2,2021,2021-01-04,2021-12-31,False
-0.259118,-1.612248,-0.326029,0.177022,0.464000,251,F7v3-A2,2022,2022-01-03,2022-12-30,False
1.066764,1.597544,-0.398544,0.551675,0.554217,250,F7v3-A2,2023,2023-01-03,2023-12-29,False
0.692879,1.218795,-0.282147,0.571075,0.561753,252,F7v3-A2,2024,2024-01-02,2024-12-31,False
0.517216,1.206994,-0.239749,0.420453,0.558233,250,F7v3-A2,2025,2025-01-02,2025-12-31,False
-0.291509,-0.757868,-0.181353,0.372502,0.438596,58,F7v3-A2,2026,2026-01-02,2026-03-26,True
