CAGR,Sharpe,MaxDD,Vol,PosDay_pct,n_days,strategy,window_id,start_date,end_date,short_flag
-0.116885,-0.354037,-0.283683,0.258046,0.513944,252,E4-vzt065,1977,1977-01-03,1977-12-30,False
1.502223,3.005549,-0.322824,0.324468,0.645418,252,E4-vzt065,1978,1978-01-03,1978-12-29,False
0.209646,0.704412,-0.448736,0.382704,0.611111,253,E4-vzt065,1979,1979-01-02,1979-12-31,False
0.852044,1.787962,-0.461278,0.388833,0.583333,253,E4-vzt065,1980,1980-01-02,1980-12-31,False
-0.341329,-1.471715,-0.420833,0.261217,0.515873,253,E4-vzt065,1981,1981-01-02,1981-12-31,False
1.001043,2.058431,-0.208330,0.371633,0.563492,253,E4-vzt065,1982,1982-01-04,1982-12-31,False
0.110965,0.506395,-0.383132,0.299346,0.563492,253,E4-vzt065,1983,1983-01-03,1983-12-30,False
-0.135332,-0.476073,-0.233248,0.245600,0.444444,253,E4-vzt065,1984,1984-01-03,1984-12-31,False
1.693722,3.210897,-0.288380,0.326909,0.585657,252,E4-vzt065,1985,1985-01-02,1985-12-31,False
0.523442,1.225198,-0.423782,0.418526,0.571429,253,E4-vzt065,1986,1986-01-02,1986-12-31,False
0.743254,1.816188,-0.284308,0.339345,0.567460,253,E4-vzt065,1987,1987-01-02,1987-12-31,False
-0.250314,-0.977590,-0.330150,0.260578,0.484127,253,E4-vzt065,1988,1988-01-04,1988-12-30,False
0.638026,1.536791,-0.231651,0.367601,0.605578,252,E4-vzt065,1989,1989-01-03,1989-12-29,False
-0.402749,-1.122728,-0.520952,0.391026,0.496032,253,E4-vzt065,1990,1990-01-02,1990-12-31,False
0.855117,1.527145,-0.357680,0.484286,0.575397,253,E4-vzt065,1991,1991-01-02,1991-12-31,False
0.569868,1.389402,-0.298603,0.376714,0.525692,254,E4-vzt065,1992,1992-01-02,1992-12-31,False
-0.011973,0.123353,-0.267852,0.317972,0.583333,253,E4-vzt065,1993,1993-01-04,1993-12-31,False
-0.086232,-0.095876,-0.337636,0.338873,0.509960,252,E4-vzt065,1994,1994-01-03,1994-12-30,False
1.681985,3.057142,-0.150856,0.343864,0.613546,252,E4-vzt065,1995,1995-01-03,1995-12-29,False
0.502667,1.135325,-0.301751,0.448747,0.577075,254,E4-vzt065,1996,1996-01-02,1996-12-31,False
0.605012,1.750243,-0.216519,0.296776,0.563492,253,E4-vzt065,1997,1997-01-02,1997-12-31,False
0.874494,1.782844,-0.252783,0.398551,0.557769,252,E4-vzt065,1998,1998-01-02,1998-12-31,False
0.784871,1.886488,-0.259199,0.339123,0.549801,252,E4-vzt065,1999,1999-01-04,1999-12-31,False
-0.098660,-0.364266,-0.198396,0.216618,0.513944,252,E4-vzt065,2000,2000-01-03,2000-12-29,False
-0.064267,-0.299601,-0.126908,0.173018,0.497976,248,E4-vzt065,2001,2001-01-02,2001-12-31,False
0.119237,0.851524,-0.114491,0.145173,0.549801,252,E4-vzt065,2002,2002-01-02,2002-12-31,False
1.199740,1.861136,-0.236338,0.490489,0.517928,252,E4-vzt065,2003,2003-01-02,2003-12-31,False
0.147146,0.550324,-0.395849,0.384604,0.549801,252,E4-vzt065,2004,2004-01-02,2004-12-31,False
-0.135721,-0.125246,-0.392781,0.429882,0.521912,252,E4-vzt065,2005,2005-01-03,2005-12-30,False
0.522942,1.248222,-0.220273,0.404102,0.568000,251,E4-vzt065,2006,2006-01-03,2006-12-29,False
0.291532,0.855477,-0.234405,0.392616,0.600000,251,E4-vzt065,2007,2007-01-03,2007-12-31,False
0.213426,0.997196,-0.172441,0.218723,0.531746,253,E4-vzt065,2008,2008-01-02,2008-12-31,False
0.508114,1.213198,-0.191264,0.410052,0.553785,252,E4-vzt065,2009,2009-01-02,2009-12-31,False
1.067065,1.735988,-0.242597,0.489603,0.621514,252,E4-vzt065,2010,2010-01-04,2010-12-31,False
-0.052983,0.034854,-0.269155,0.365635,0.549801,252,E4-vzt065,2011,2011-01-03,2011-12-30,False
0.340741,0.943016,-0.310596,0.394505,0.493976,250,E4-vzt065,2012,2012-01-03,2012-12-31,False
0.355534,0.942559,-0.184340,0.417584,0.521912,252,E4-vzt065,2013,2013-01-02,2013-12-31,False
0.084169,0.421815,-0.182303,0.300097,0.553785,252,E4-vzt065,2014,2014-01-02,2014-12-31,False
-0.326823,-0.943770,-0.400682,0.353923,0.462151,252,E4-vzt065,2015,2015-01-02,2015-12-31,False
-0.078649,0.122707,-0.383752,0.535217,0.545817,252,E4-vzt065,2016,2016-01-04,2016-12-30,False
0.943208,2.044897,-0.200090,0.358330,0.596000,251,E4-vzt065,2017,2017-01-03,2017-12-29,False
-0.082979,-0.013759,-0.372350,0.397575,0.548000,251,E4-vzt065,2018,2018-01-02,2018-12-31,False
0.644156,1.290158,-0.346114,0.477517,0.561753,252,E4-vzt065,2019,2019-01-02,2019-12-31,False
0.848028,1.833383,-0.228585,0.375725,0.583333,253,E4-vzt065,2020,2020-01-02,2020-12-31,False
