CAGR,Sharpe,MaxDD,Vol,PosDay_pct,n_days,Trades_yr,strategy,window_id,start_date,end_date,short_flag
-0.105733,-0.291292,-0.283429,0.264536,0.521912,252,58.000000,F10-eps015,1977,1977-01-03,1977-12-30,False
1.579551,3.008961,-0.331592,0.335535,0.645418,252,47.000000,F10-eps015,1978,1978-01-03,1978-12-29,False
0.301663,0.889760,-0.438454,0.388124,0.611111,253,35.857708,F10-eps015,1979,1979-01-02,1979-12-31,False
0.844852,1.779650,-0.474215,0.388448,0.583333,253,23.905138,F10-eps015,1980,1980-01-02,1980-12-31,False
-0.371106,-1.668970,-0.429122,0.258496,0.543651,253,42.830040,F10-eps015,1981,1981-01-02,1981-12-31,False
0.971655,2.015081,-0.214247,0.372372,0.567460,253,12.948617,F10-eps015,1982,1982-01-04,1982-12-31,False
0.152127,0.624095,-0.390242,0.303423,0.543651,253,58.766798,F10-eps015,1983,1983-01-03,1983-12-30,False
-0.187194,-0.621985,-0.291191,0.276073,0.432540,253,9.960474,F10-eps015,1984,1984-01-03,1984-12-31,False
1.712801,3.116359,-0.329671,0.340550,0.589641,252,42.000000,F10-eps015,1985,1985-01-02,1985-12-31,False
0.502083,1.160335,-0.464414,0.436884,0.575397,253,56.774704,F10-eps015,1986,1986-01-02,1986-12-31,False
0.808481,1.899013,-0.280460,0.344974,0.571429,253,54.782609,F10-eps015,1987,1987-01-02,1987-12-31,False
-0.293137,-1.073753,-0.369691,0.285576,0.484127,253,19.920949,F10-eps015,1988,1988-01-04,1988-12-30,False
0.698842,1.609509,-0.244490,0.375628,0.597610,252,46.000000,F10-eps015,1989,1989-01-03,1989-12-29,False
-0.459181,-1.233289,-0.564244,0.424707,0.511905,253,35.857708,F10-eps015,1990,1990-01-02,1990-12-31,False
0.972605,1.611827,-0.350684,0.502984,0.555556,253,55.778656,F10-eps015,1991,1991-01-02,1991-12-31,False
0.687781,1.547693,-0.293521,0.388004,0.521739,254,58.535433,F10-eps015,1992,1992-01-02,1992-12-31,False
-0.000701,0.160844,-0.283172,0.321457,0.579365,253,77.691700,F10-eps015,1993,1993-01-04,1993-12-31,False
-0.085267,-0.088635,-0.329442,0.342078,0.498008,252,65.000000,F10-eps015,1994,1994-01-03,1994-12-30,False
1.681901,3.044816,-0.154883,0.345440,0.609562,252,60.000000,F10-eps015,1995,1995-01-03,1995-12-29,False
0.574443,1.220593,-0.315603,0.460431,0.573123,254,67.464567,F10-eps015,1996,1996-01-02,1996-12-31,False
0.645985,1.840521,-0.217235,0.295834,0.551587,253,52.790514,F10-eps015,1997,1997-01-02,1997-12-31,False
0.804762,1.702494,-0.290592,0.393932,0.557769,252,45.000000,F10-eps015,1998,1998-01-02,1998-12-31,False
0.874670,1.991767,-0.230834,0.347410,0.565737,252,70.000000,F10-eps015,1999,1999-01-04,1999-12-31,False
-0.116920,-0.457680,-0.196703,0.217080,0.501992,252,28.000000,F10-eps015,2000,2000-01-03,2000-12-29,False
-0.069786,-0.330798,-0.131541,0.174088,0.485830,248,0.000000,F10-eps015,2001,2001-01-02,2001-12-31,False
0.146061,1.006691,-0.107109,0.146637,0.553785,252,0.000000,F10-eps015,2002,2002-01-02,2002-12-31,False
1.176424,1.756004,-0.260850,0.523518,0.517928,252,54.000000,F10-eps015,2003,2003-01-02,2003-12-31,False
0.080051,0.393231,-0.439279,0.405063,0.541833,252,71.000000,F10-eps015,2004,2004-01-02,2004-12-31,False
-0.174849,-0.218730,-0.414534,0.439380,0.513944,252,61.000000,F10-eps015,2005,2005-01-03,2005-12-30,False
0.649932,1.435259,-0.204424,0.408872,0.576000,251,57.227092,F10-eps015,2006,2006-01-03,2006-12-29,False
