CAGR,Sharpe,MaxDD,Vol,PosDay_pct,n_days,Trades_yr,strategy,window_id,start_date,end_date,short_flag
-0.051115,-0.186978,-0.207687,0.187555,0.501992,252,35.000000,vz065-lmax5,1977,1977-01-03,1977-12-30,False
0.954157,2.837597,-0.272002,0.248230,0.641434,252,25.000000,vz065-lmax5,1978,1978-01-03,1978-12-29,False
0.240048,0.908774,-0.351391,0.284052,0.587302,253,16.932806,vz065-lmax5,1979,1979-01-02,1979-12-31,False
0.668293,1.713040,-0.393941,0.332486,0.575397,253,14.940711,vz065-lmax5,1980,1980-01-02,1980-12-31,False
-0.302758,-1.479385,-0.352474,0.227050,0.500000,253,25.897233,vz065-lmax5,1981,1981-01-02,1981-12-31,False
0.919908,2.102952,-0.191918,0.338742,0.563492,253,4.980237,vz065-lmax5,1982,1982-01-04,1982-12-31,False
0.128445,0.629227,-0.308957,0.238727,0.555556,253,11.952569,vz065-lmax5,1983,1983-01-03,1983-12-30,False
-0.113186,-0.518417,-0.204370,0.196307,0.452381,253,7.968379,vz065-lmax5,1984,1984-01-03,1984-12-31,False
1.175661,3.351278,-0.212565,0.241881,0.589641,252,22.000000,vz065-lmax5,1985,1985-01-02,1985-12-31,False
0.444654,1.309324,-0.328949,0.322571,0.583333,253,22.909091,vz065-lmax5,1986,1986-01-02,1986-12-31,False
0.618346,1.911400,-0.218855,0.272495,0.559524,253,29.881423,vz065-lmax5,1987,1987-01-02,1987-12-31,False
-0.195522,-0.956550,-0.264969,0.205970,0.488095,253,12.948617,vz065-lmax5,1988,1988-01-04,1988-12-30,False
0.525648,1.714028,-0.169313,0.268990,0.601594,252,15.000000,vz065-lmax5,1989,1989-01-03,1989-12-29,False
-0.344661,-1.225008,-0.439756,0.306995,0.500000,253,18.924901,vz065-lmax5,1990,1990-01-02,1990-12-31,False
0.840613,1.731664,-0.292703,0.400412,0.571429,253,23.905138,vz065-lmax5,1991,1991-01-02,1991-12-31,False
0.462057,1.433501,-0.222733,0.296666,0.533597,254,29.763780,vz065-lmax5,1992,1992-01-02,1992-12-31,False
0.027960,0.236274,-0.186588,0.233174,0.567460,253,39.841897,vz065-lmax5,1993,1993-01-04,1993-12-31,False
-0.061474,-0.126242,-0.270280,0.251911,0.513944,252,30.000000,vz065-lmax5,1994,1994-01-03,1994-12-30,False
1.169267,3.136477,-0.109777,0.258908,0.613546,252,25.000000,vz065-lmax5,1995,1995-01-03,1995-12-29,False
0.392629,1.159676,-0.229207,0.335190,0.577075,254,34.724409,vz065-lmax5,1996,1996-01-02,1996-12-31,False
0.528275,1.885011,-0.171377,0.241507,0.563492,253,17.928854,vz065-lmax5,1997,1997-01-02,1997-12-31,False
0.869570,2.005161,-0.233194,0.342806,0.557769,252,29.000000,vz065-lmax5,1998,1998-01-02,1998-12-31,False
0.784871,1.886488,-0.259199,0.339123,0.549801,252,45.000000,vz065-lmax5,1999,1999-01-04,1999-12-31,False
-0.098660,-0.364266,-0.198396,0.216618,0.513944,252,15.000000,vz065-lmax5,2000,2000-01-03,2000-12-29,False
-0.064267,-0.299601,-0.126908,0.173018,0.497976,248,0.000000,vz065-lmax5,2001,2001-01-02,2001-12-31,False
0.119237,0.851524,-0.114491,0.145173,0.549801,252,0.000000,vz065-lmax5,2002,2002-01-02,2002-12-31,False
1.241543,1.940346,-0.206595,0.476598,0.517928,252,32.000000,vz065-lmax5,2003,2003-01-02,2003-12-31,False
0.107038,0.467319,-0.374180,0.347833,0.545817,252,35.000000,vz065-lmax5,2004,2004-01-02,2004-12-31,False
-0.028392,0.077199,-0.316471,0.329919,0.513944,252,30.000000,vz065-lmax5,2005,2005-01-03,2005-12-30,False
0.446657,1.302846,-0.200897,0.325247,0.576000,251,28.111554,vz065-lmax5,2006,2006-01-03,2006-12-29,False
0.297393,0.999525,-0.167962,0.310410,0.596000,251,48.191235,vz065-lmax5,2007,2007-01-03,2007-12-31,False
0.213426,0.997196,-0.172441,0.218723,0.531746,253,1.992095,vz065-lmax5,2008,2008-01-02,2008-12-31,False
0.539363,1.292639,-0.175188,0.396459,0.553785,252,14.000000,vz065-lmax5,2009,2009-01-02,2009-12-31,False
0.988400,1.835037,-0.225717,0.425869,0.621514,252,28.000000,vz065-lmax5,2010,2010-01-04,2010-12-31,False
-0.031140,0.057062,-0.218359,0.314189,0.549801,252,58.000000,vz065-lmax5,2011,2011-01-03,2011-12-30,False
0.284990,0.980038,-0.244481,0.303913,0.493976,250,31.248000,vz065-lmax5,2012,2012-01-03,2012-12-31,False
0.346232,1.103535,-0.161650,0.316156,0.525896,252,45.000000,vz065-lmax5,2013,2013-01-02,2013-12-31,False
0.102147,0.552292,-0.132926,0.221489,0.549801,252,47.000000,vz065-lmax5,2014,2014-01-02,2014-12-31,False
-0.247053,-0.821602,-0.328991,0.293925,0.466135,252,55.000000,vz065-lmax5,2015,2015-01-02,2015-12-31,False
0.072763,0.380253,-0.271756,0.410039,0.541833,252,29.000000,vz065-lmax5,2016,2016-01-04,2016-12-30,False
0.675886,2.120580,-0.138755,0.260858,0.600000,251,62.247012,vz065-lmax5,2017,2017-01-03,2017-12-29,False
-0.005754,0.138844,-0.308797,0.309911,0.544000,251,37.147410,vz065-lmax5,2018,2018-01-02,2018-12-31,False
0.671686,1.582807,-0.255150,0.369866,0.557769,252,32.000000,vz065-lmax5,2019,2019-01-02,2019-12-31,False
0.776143,1.812884,-0.228585,0.353369,0.583333,253,29.881423,vz065-lmax5,2020,2020-01-02,2020-12-31,False
0.256327,0.966881,-0.239533,0.276605,0.521912,252,36.000000,vz065-lmax5,2021,2021-01-04,2021-12-31,False
-0.261859,-1.622368,-0.328363,0.178091,0.464000,251,6.023904,vz065-lmax5,2022,2022-01-03,2022-12-30,False
0.957713,1.589159,-0.369391,0.504530,0.542169,250,30.240000,vz065-lmax5,2023,2023-01-03,2023-12-29,False
0.645869,1.304309,-0.228802,0.469435,0.561753,252,45.000000,vz065-lmax5,2024,2024-01-02,2024-12-31,False
0.506761,1.301151,-0.233543,0.368775,0.574297,250,45.360000,vz065-lmax5,2025,2025-01-02,2025-12-31,False
-0.391102,-1.362501,-0.160582,0.330343,0.438596,58,26.068966,vz065-lmax5,2026,2026-01-02,2026-03-26,True
-0.116885,-0.354037,-0.283683,0.258046,0.513944,252,35.000000,REF-E4,1977,1977-01-03,1977-12-30,False
1.502223,3.005549,-0.322824,0.324468,0.645418,252,25.000000,REF-E4,1978,1978-01-03,1978-12-29,False
