Strategy,CAGR,Sharpe,MaxDD,Worst5Y,Worst10Y,WinRate,OOS_CAGR,OOS_Sharpe,WN,WG,WB,Type,Base,LevC,VixC,GoldR
S-50/20/30,0.25612657363821056,1.3851973201183787,-0.3214129202318049,0.04477285813588505,0.10265516650994289,0.8653846153846154,0.18257258183905378,0.9491872631272147,50.0,20.0,30.0,Static,,,,
S-50/15/35,0.2567794638127845,1.3796314623064405,-0.3229539454436555,0.05341079017292527,0.1037625562502158,0.8846153846153846,0.1597336860629237,0.8635828216942931,50.0,15.0,35.0,Static,,,,
S-50/25/25,0.2548595924971757,1.3774442637876747,-0.3270567240412089,0.03600128209347586,0.10132969947236825,0.8461538461538461,0.2055357717014754,1.023274184450445,50.0,25.0,25.0,Static,,,,
S-50/10/40,0.2567944988142783,1.361181338568109,-0.32493361318711866,0.058826808109389006,0.10451600847991527,0.9038461538461539,0.13702170967385796,0.7673135932520647,50.0,10.0,40.0,Static,,,,
S-55/15/30,0.262398269991003,1.3606587149910194,-0.30160966698581104,0.05610391141619453,0.11417905712990284,0.8461538461538461,0.1732582874668711,0.8903358116344128,55.0,15.0,30.0,Static,,,,
S-55/20/25,0.26155753330479814,1.3606485666375865,-0.30063612513308424,0.047428701134061946,0.11302151011288619,0.8461538461538461,0.196326824821361,0.9712830378106881,55.0,20.0,25.0,Static,,,,
S-55/10/35,0.2625966694951114,1.3484884461317446,-0.3037056686764946,0.06191433342986352,0.11327252592133275,0.8846153846153846,0.15031715541544166,0.7994132502761268,55.0,10.0,35.0,Static,,,,
S-55/25/20,0.260098068207713,1.3484470086777782,-0.3185980248328443,0.03861894234064489,0.11155969984645409,0.8076923076923077,0.21952013062726072,1.0416033369747026,55.0,25.0,20.0,Static,,,,
S-60/15/25,0.26746881396028344,1.332931308463292,-0.2928946434894377,0.058563939775190255,0.12312918018420715,0.8461538461538461,0.18658448180448528,0.9099660701583562,60.0,15.0,25.0,Static,,,,
S-60/20/20,0.2664370762536319,1.3282504120653214,-0.29630232822741776,0.04985197148690412,0.12316172583005125,0.8269230769230769,0.20988097364243674,0.9865483933277999,60.0,20.0,20.0,Static,,,,
S-60/10/30,0.2678536283701285,1.3263918180587786,-0.28941375772239164,0.06461156328787121,0.12189205099131084,0.8653846153846154,0.16341587472479024,0.824200336495209,60.0,10.0,30.0,Static,,,,
S-55/5/40,0.26212288073061485,1.324900106429788,-0.3062492137777705,0.0650327273104696,0.11152941703877772,0.8846153846153846,0.12750599478698144,0.7001587602570655,55.0,5.0,40.0,Static,,,,
S-60/25/15,0.2647818496247396,1.3126460334469332,-0.31494662043258903,0.03988967259234144,0.12167361498097695,0.8076923076923077,0.23330270195105518,1.0534401090535526,60.0,25.0,15.0,Static,,,,
S-60/5/35,0.26756185786646514,1.308983390188997,-0.29654594319910466,0.06680969406588977,0.12044529527989489,0.8653846153846154,0.1403777295260098,0.730578979235243,60.0,5.0,35.0,Static,,,,
S-65/15/20,0.2719900864765763,1.2991273140163067,-0.29533511655400324,0.056933451237320076,0.12937999699272673,0.8461538461538461,0.19970785570390692,0.923899593941215,65.0,15.0,20.0,Static,,,,
S-65/10/25,0.27256464595914753,1.2973853910898008,-0.29195481165093884,0.06441106469030355,0.12996007008342758,0.8269230769230769,0.17631344201713595,0.8429937874298702,65.0,10.0,25.0,Static,,,,
S-65/20/15,0.27076390263163397,1.2907301650513576,-0.29864583434935377,0.04664593212906576,0.12850108971488505,0.8269230769230769,0.22323062778637093,0.9964418460382214,65.0,20.0,15.0,Static,,,,
S-65/5/30,0.2724581300170583,1.2855414788157886,-0.2961666798147893,0.066607747950296,0.12892699114131245,0.8461538461538461,0.1530499747462959,0.754800326764337,65.0,5.0,30.0,Static,,,,
S-65/25/10,0.2689093338366366,1.2726884669873002,-0.3170709468495593,0.03625672128184254,0.1273236849270727,0.8076923076923077,0.2468790986630729,1.0602158975690803,65.0,25.0,10.0,Static,,,,
S-70/10/20,0.276728128786204,1.2637077641692271,-0.29484987878371927,0.06301090386129848,0.12997898763405935,0.8269230769230769,0.18900530003950133,0.8570126958741388,70.0,10.0,20.0,Static,,,,
S-70/15/15,0.27596020668036947,1.2615235266675158,-0.2976737791230556,0.05288666283034371,0.12937032153244687,0.8269230769230769,0.21262386215680484,0.9334049113799253,70.0,15.0,15.0,Static,,,,
S-70/5/25,0.2768103787875882,1.2566677753898159,-0.2959010914425835,0.06625944322597421,0.13028670635492245,0.8461538461538461,0.16551816352468784,0.7739332382340496,70.0,5.0,25.0,Static,,,,
S-70/20/10,0.27453583037700735,1.2502981381795055,-0.30089256071817894,0.042655360200509085,0.12846115912776956,0.8269230769230769,0.23637125107335977,1.0022325267189351,70.0,20.0,10.0,Static,,,,
S-70/25/5,0.2724780219442855,1.2306341590721104,-0.3219677765700464,0.032320671932690725,0.12725180846777984,0.8076923076923077,0.26024479600470496,1.063164079094032,70.0,25.0,5.0,Static,,,,
