count,mean,median,std,positive_pct,worst,best,q25,q75,bin,fwd_days
2340,0.0055,0.0074,0.1738,0.5179,-0.6062,1.2141,-0.0963,0.1031,=0%,10
66,-0.0749,-0.0292,0.2267,0.4091,-0.6125,0.2633,-0.1882,0.0934,0-10%,10
838,0.0090,0.0180,0.1183,0.5656,-0.6109,0.3311,-0.0640,0.0857,10-20%,10
930,-0.0002,0.0091,0.1150,0.5290,-0.7269,0.4169,-0.0738,0.0721,20-30%,10
994,0.0193,0.0256,0.1102,0.6237,-0.7161,0.4261,-0.0425,0.0819,30-40%,10
672,0.0150,0.0249,0.1067,0.6235,-0.7269,0.4265,-0.0383,0.0792,40-50%,10
619,0.0146,0.0220,0.1042,0.5913,-0.6253,0.3583,-0.0395,0.0747,50-60%,10
581,0.0217,0.0261,0.0929,0.6231,-0.3152,0.3170,-0.0370,0.0808,60-70%,10
530,0.0209,0.0277,0.0929,0.6132,-0.6024,0.4380,-0.0348,0.0822,70-80%,10
537,0.0174,0.0193,0.0991,0.6127,-0.5548,0.2946,-0.0332,0.0747,80-90%,10
530,0.0226,0.0223,0.0954,0.6283,-0.6424,0.3539,-0.0233,0.0709,90-100%,10
2896,0.0279,0.0293,0.0902,0.6433,-0.5299,0.4375,-0.0254,0.0802,=100%,10
2340,0.0130,0.0121,0.2506,0.5167,-0.6971,1.1523,-0.1427,0.1661,=0%,20
66,-0.0597,-0.0288,0.2337,0.4545,-0.5734,0.3769,-0.1905,0.1000,0-10%,20
838,0.0178,0.0182,0.1602,0.5513,-0.5663,0.4974,-0.0844,0.1261,10-20%,20
929,0.0176,0.0187,0.1653,0.5447,-0.6657,0.8157,-0.0858,0.1143,20-30%,20
986,0.0467,0.0548,0.1665,0.6389,-0.6574,0.7017,-0.0601,0.1421,30-40%,20
671,0.0227,0.0407,0.1654,0.6051,-0.7082,0.6508,-0.0747,0.1244,40-50%,20
619,0.0263,0.0315,0.1460,0.5784,-0.6528,0.6064,-0.0580,0.1180,50-60%,20
581,0.0449,0.0523,0.1495,0.6695,-0.7030,0.5517,-0.0235,0.1286,60-70%,20
530,0.0352,0.0414,0.1378,0.6509,-0.7344,0.5152,-0.0365,0.1142,70-80%,20
537,0.0451,0.0512,0.1419,0.7002,-0.7411,0.5660,-0.0169,0.1206,80-90%,20
530,0.0393,0.0423,0.1384,0.6547,-0.7004,0.6076,-0.0273,0.1141,90-100%,20
2896,0.0519,0.0495,0.1452,0.6699,-0.7561,0.7516,-0.0299,0.1375,=100%,20
2340,0.0850,0.0192,0.5109,0.5124,-0.8771,2.7670,-0.2559,0.3516,=0%,60
66,0.0047,-0.0303,0.3039,0.4697,-0.5461,0.6683,-0.2065,0.2534,0-10%,60
829,0.0946,0.0887,0.2498,0.6586,-0.6392,0.8758,-0.0645,0.2403,10-20%,60
912,0.0899,0.0758,0.3069,0.6239,-0.6521,2.0721,-0.1090,0.2401,20-30%,60
982,0.1642,0.1184,0.3444,0.6986,-0.6938,2.1883,-0.0506,0.3166,30-40%,60
671,0.1125,0.0938,0.3074,0.6870,-0.7132,1.8994,-0.0439,0.2775,40-50%,60
618,0.1113,0.1201,0.2502,0.6942,-0.6841,1.1148,-0.0416,0.2520,50-60%,60
578,0.1094,0.1040,0.2681,0.7163,-0.7464,1.4850,-0.0276,0.2561,60-70%,60
530,0.0885,0.0894,0.2438,0.6906,-0.7361,1.4464,-0.0481,0.2309,70-80%,60
536,0.0879,0.0914,0.2673,0.6698,-0.7694,1.3687,-0.0552,0.2368,80-90%,60
528,0.0724,0.0759,0.2604,0.6117,-0.7512,0.9715,-0.0831,0.2244,90-100%,60
2893,0.1258,0.1223,0.3095,0.6747,-0.7651,1.5791,-0.0662,0.3060,=100%,60
2340,0.6841,0.4907,1.3850,0.6607,-0.9762,5.7286,-0.6665,1.3964,=0%,250
66,0.5539,0.5754,0.7265,0.8485,-0.9755,2.3332,0.1325,0.8908,0-10%,250
815,0.4811,0.4500,0.6421,0.8025,-0.9724,2.1267,0.0710,0.7936,10-20%,250
895,0.3674,0.3882,0.5947,0.7050,-0.9728,2.3370,-0.0760,0.7429,20-30%,250
975,0.3914,0.3328,0.6841,0.7282,-0.9691,5.6916,-0.0247,0.7000,30-40%,250
666,0.3640,0.3246,0.6437,0.7147,-0.9759,4.7704,-0.0483,0.6840,40-50%,250
606,0.4133,0.3260,0.7614,0.7277,-0.9780,5.6686,-0.0356,0.7003,50-60%,250
576,0.4553,0.3402,0.8318,0.7535,-0.9759,5.7907,0.0301,0.7586,60-70%,250
526,0.4106,0.3321,0.6265,0.7776,-0.9470,5.8491,0.0553,0.7334,70-80%,250
529,0.3462,0.2976,0.5718,0.7448,-0.9730,4.0359,-0.0032,0.7209,80-90%,250
522,0.3848,0.3561,0.5547,0.7510,-0.9746,3.9048,0.0054,0.7751,90-100%,250
2777,0.4954,0.4186,0.7080,0.7868,-0.9678,3.9188,0.0559,0.8410,=100%,250
