date,close,dd,asym_vol,trend_tv,vt,slope_mult,mom_decel,raw_leverage,fwd_1y_return
1975-08-01,81.620003,1.000000,0.190827,0.289245,1.000000,0.611866,0.647814,0.396376,0.318509
1975-08-04,80.980003,1.000000,0.171585,0.282367,1.000000,0.535339,0.609144,0.326099,0.343152
1975-08-05,80.169998,1.000000,0.167427,0.274162,1.000000,0.457695,0.639586,0.292736,0.404826
1975-08-06,80.239998,1.000000,0.159312,0.273603,1.000000,0.401691,0.700326,0.281315,0.400235
1975-08-07,79.589996,1.000000,0.149775,0.266931,1.000000,0.349926,0.680256,0.238039,0.470022
1975-08-08,79.550003,1.000000,0.122377,0.265544,1.000000,0.374792,0.694435,0.260269,0.465521
1975-08-11,79.449997,1.000000,0.100583,0.263662,1.000000,0.401561,0.677955,0.272240,0.452334
1975-08-12,79.599998,1.000000,0.096119,0.263892,1.000000,0.389914,0.666508,0.259881,0.451731
1975-08-13,79.089996,1.000000,0.098018,0.258566,1.000000,0.377773,0.681262,0.257362,0.465162
1975-08-14,78.449997,1.000000,0.109112,0.252259,1.000000,0.300000,0.637568,0.191270,0.529241
1975-08-15,78.580002,1.000000,0.104103,0.252498,1.000000,0.300000,0.552497,0.165749,0.517701
1975-08-18,78.029999,1.000000,0.106490,0.246971,1.000000,0.300000,0.500000,0.150000,0.554307
1975-08-19,76.650002,1.000000,0.183938,0.234527,1.000000,0.300000,0.500000,0.150000,0.637112
1975-08-20,75.519997,1.000000,0.202020,0.224343,1.000000,0.300000,0.500000,0.150000,0.710633
1975-08-21,75.900002,1.000000,0.193734,0.226940,1.000000,0.300000,0.500000,0.150000,0.698415
1975-08-22,76.449997,1.000000,0.187666,0.230944,1.000000,0.300000,0.500000,0.150000,0.653604
1975-08-25,76.839996,1.000000,0.180247,0.233550,1.000000,0.300000,0.500000,0.150000,0.569627
1975-08-26,76.209999,1.000000,0.165245,0.227560,1.000000,0.300000,0.500000,0.150000,0.579947
1975-08-27,76.570000,1.000000,0.158873,0.229943,1.000000,0.300000,0.500000,0.150000,0.527293
