config,signal,N,k_lt,mode,n_trades,CAGR_IS,CAGR_OOS,CAGR_FULL,Sharpe_OOS,MaxDD_FULL,W5Y_FULL,W10Y_STAR,IS_OOS_GAP
LT1-N750-k0.1-modeA,LT1,750,0.1000,A,1092,0.2073,0.1505,0.2016,0.7202,-0.4319,0.0403,0.1184,0.0568
LT1-N750-k0.1-modeB,LT1,750,0.1000,B,1417,0.2246,0.1479,0.2170,0.6780,-0.4360,0.0390,0.1225,0.0767
LT1-N750-k0.2-modeA,LT1,750,0.2000,A,857,0.1771,0.1233,0.1718,0.6593,-0.4362,0.0275,0.0817,0.0538
LT1-N750-k0.2-modeB,LT1,750,0.2000,B,1417,0.2099,0.1427,0.2034,0.6881,-0.4114,0.0331,0.1003,0.0672
LT1-N750-k0.3-modeA,LT1,750,0.3000,A,798,0.1676,0.1134,0.1622,0.6305,-0.4362,0.0221,0.0659,0.0542
LT1-N750-k0.3-modeB,LT1,750,0.3000,B,1417,0.1928,0.1394,0.1877,0.7038,-0.3834,0.0239,0.0768,0.0534
LT1-N750-k0.5-modeA,LT1,750,0.5000,A,739,0.1599,0.1110,0.1550,0.6376,-0.4362,0.0206,0.0644,0.0488
LT1-N750-k0.5-modeB,LT1,750,0.5000,B,1417,0.1781,0.1303,0.1736,0.7008,-0.3781,0.0152,0.0608,0.0478
LT1-N1000-k0.1-modeA,LT1,1000,0.1000,A,1096,0.2043,0.1333,0.1972,0.6669,-0.4640,0.0331,0.1159,0.0710
LT1-N1000-k0.1-modeB,LT1,1000,0.1000,B,1417,0.2226,0.1433,0.2147,0.6663,-0.4640,0.0358,0.1206,0.0793
LT1-N1000-k0.2-modeA,LT1,1000,0.2000,A,862,0.1756,0.1081,0.1690,0.6152,-0.4640,0.0273,0.0691,0.0675
LT1-N1000-k0.2-modeB,LT1,1000,0.2000,B,1417,0.2064,0.1353,0.1995,0.6701,-0.4640,0.0250,0.0955,0.0711
LT1-N1000-k0.3-modeA,LT1,1000,0.3000,A,810,0.1696,0.0974,0.1625,0.5959,-0.4640,0.0125,0.0639,0.0723
LT1-N1000-k0.3-modeB,LT1,1000,0.3000,B,1417,0.1881,0.1263,0.1822,0.6670,-0.4640,0.0112,0.0703,0.0617
LT1-N1000-k0.5-modeA,LT1,1000,0.5000,A,742,0.1657,0.0945,0.1587,0.5970,-0.4640,0.0115,0.0615,0.0713
LT1-N1000-k0.5-modeB,LT1,1000,0.5000,B,1417,0.1757,0.1148,0.1699,0.6584,-0.4640,0.0042,0.0575,0.0609
LT1-N1250-k0.1-modeA,LT1,1250,0.1000,A,1092,0.2085,0.1331,0.2010,0.6815,-0.4640,0.0219,0.1223,0.0754
LT1-N1250-k0.1-modeB,LT1,1250,0.1000,B,1417,0.2251,0.1395,0.2166,0.6584,-0.4640,0.0371,0.1219,0.0856
LT1-N1250-k0.2-modeA,LT1,1250,0.2000,A,863,0.1820,0.0971,0.1736,0.5979,-0.4640,0.0274,0.0714,0.0849
LT1-N1250-k0.2-modeB,LT1,1250,0.2000,B,1417,0.2113,0.1277,0.2032,0.6538,-0.4640,0.0260,0.0971,0.0836
LT1-N1250-k0.3-modeA,LT1,1250,0.3000,A,788,0.1764,0.0886,0.1677,0.5817,-0.4640,0.0135,0.0614,0.0877
LT1-N1250-k0.3-modeB,LT1,1250,0.3000,B,1417,0.1961,0.1158,0.1883,0.6445,-0.4640,0.0126,0.0725,0.0803
LT1-N1250-k0.5-modeA,LT1,1250,0.5000,A,734,0.1729,0.0753,0.1633,0.5339,-0.4640,0.0145,0.0615,0.0976
LT1-N1250-k0.5-modeB,LT1,1250,0.5000,B,1417,0.1845,0.0915,0.1755,0.5831,-0.4640,0.0039,0.0573,0.0930
LT2-N750-k0.1-modeA,LT2,750,0.1000,A,1286,0.2369,0.1558,0.2289,0.6925,-0.4294,0.0140,0.1368,0.0811
LT2-N750-k0.1-modeB,LT2,750,0.1000,B,1417,0.2368,0.1632,0.2294,0.7014,-0.4577,0.0247,0.1421,0.0735
LT2-N750-k0.2-modeA,LT2,750,0.2000,A,1147,0.2142,0.1470,0.2075,0.6629,-0.4437,0.0219,0.1296,0.0672
LT2-N750-k0.2-modeB,LT2,750,0.2000,B,1417,0.2336,0.1688,0.2272,0.7214,-0.4517,0.0255,0.1408,0.0648
LT2-N750-k0.3-modeA,LT2,750,0.3000,A,1061,0.2105,0.1389,0.2035,0.6352,-0.4556,0.0114,0.1257,0.0716
LT2-N750-k0.3-modeB,LT2,750,0.3000,B,1417,0.2287,0.1755,0.2235,0.7429,-0.4480,0.0253,0.1385,0.0531
LT2-N750-k0.5-modeA,LT2,750,0.5000,A,1033,0.2024,0.1410,0.1963,0.6439,-0.4675,0.0150,0.1189,0.0614
LT2-N750-k0.5-modeB,LT2,750,0.5000,B,1417,0.2212,0.1887,0.2181,0.7766,-0.4476,0.0259,0.1335,0.0325
LT2-N1000-k0.1-modeA,LT2,1000,0.1000,A,1269,0.2209,0.1385,0.2127,0.6235,-0.4640,0.0155,0.1271,0.0824
LT2-N1000-k0.1-modeB,LT2,1000,0.1000,B,1417,0.2352,0.1547,0.2271,0.6702,-0.4675,0.0281,0.1392,0.0805
LT2-N1000-k0.2-modeA,LT2,1000,0.2000,A,1174,0.2099,0.1418,0.2031,0.6327,-0.4640,0.0355,0.1155,0.0681
LT2-N1000-k0.2-modeB,LT2,1000,0.2000,B,1417,0.2300,0.1611,0.2232,0.6869,-0.4710,0.0329,0.1284,0.0689
LT2-N1000-k0.3-modeA,LT2,1000,0.3000,A,1128,0.2003,0.1116,0.1915,0.5367,-0.4640,0.0263,0.1106,0.0887
LT2-N1000-k0.3-modeB,LT2,1000,0.3000,B,1417,0.2238,0.1658,0.2182,0.6975,-0.4745,0.0382,0.1191,0.0580
LT2-N1000-k0.5-modeA,LT2,1000,0.5000,A,1044,0.1904,0.1450,0.1858,0.6400,-0.4640,0.0197,0.0996,0.0453
LT2-N1000-k0.5-modeB,LT2,1000,0.5000,B,1417,0.2136,0.1715,0.2096,0.7027,-0.4815,0.0313,0.1033,0.0421
LT2-N1250-k0.1-modeA,LT2,1250,0.1000,A,1262,0.2251,0.1407,0.2168,0.6280,-0.4640,0.0004,0.1383,0.0844
LT2-N1250-k0.1-modeB,LT2,1250,0.1000,B,1417,0.2350,0.1521,0.2267,0.6650,-0.4640,0.0235,0.1402,0.0829
LT2-N1250-k0.2-modeA,LT2,1250,0.2000,A,1166,0.2167,0.1411,0.2092,0.6321,-0.4640,0.0067,0.1295,0.0756
LT2-N1250-k0.2-modeB,LT2,1250,0.2000,B,1417,0.2304,0.1548,0.2230,0.6746,-0.4640,0.0237,0.1311,0.0756
LT2-N1250-k0.3-modeA,LT2,1250,0.3000,A,1097,0.2088,0.1442,0.2025,0.6482,-0.4640,-0.0048,0.1238,0.0646
LT2-N1250-k0.3-modeB,LT2,1250,0.3000,B,1417,0.2246,0.1565,0.2180,0.6799,-0.4640,0.0229,0.1232,0.0681
LT2-N1250-k0.5-modeA,LT2,1250,0.5000,A,1031,0.1977,0.1511,0.1931,0.6709,-0.4640,-0.0234,0.1029,0.0466
LT2-N1250-k0.5-modeB,LT2,1250,0.5000,B,1417,0.2150,0.1618,0.2100,0.6940,-0.4640,0.0211,0.1105,0.0532
LT3-N750-k0.1-modeA,LT3,750,0.1000,A,1345,0.2331,0.1558,0.2253,0.6867,-0.4391,0.0114,0.1367,0.0773
LT3-N750-k0.1-modeB,LT3,750,0.1000,B,1417,0.2378,0.1528,0.2293,0.6686,-0.4635,0.0246,0.1428,0.0850
LT3-N750-k0.2-modeA,LT3,750,0.2000,A,1290,0.2300,0.1422,0.2211,0.6508,-0.4445,0.0223,0.1425,0.0878
LT3-N750-k0.2-modeB,LT3,750,0.2000,B,1417,0.2363,0.1578,0.2284,0.6872,-0.4632,0.0256,0.1425,0.0785
LT3-N750-k0.3-modeA,LT3,750,0.3000,A,1237,0.2172,0.1380,0.2094,0.6428,-0.4470,0.0167,0.1321,0.0792
