config,signal,N,k_lt,mode,n_trades,CAGR_IS,CAGR_OOS,CAGR_FULL,Sharpe_OOS,MaxDD_FULL,W5Y_FULL,W10Y_STAR,IS_OOS_GAP
LT2-N500-k0.3-modeB,LT2,500,0.3000,B,1417,0.2409,0.1575,0.2328,0.6953,-0.4719,0.0668,0.1521,0.0834
LT2-N500-k0.5-modeB,LT2,500,0.5000,B,1417,0.2414,0.1612,0.2337,0.7092,-0.4875,0.0648,0.1553,0.0802
LT2-N500-k0.7-modeB,LT2,500,0.7000,B,1417,0.2389,0.1560,0.2310,0.6947,-0.5034,0.0656,0.1532,0.0829
LT2-N500-k1.0-modeB,LT2,500,1.0000,B,1417,0.2348,0.1453,0.2262,0.6656,-0.5085,0.0709,0.1523,0.0896
LT2-N600-k0.3-modeB,LT2,600,0.3000,B,1417,0.2404,0.1602,0.2326,0.6988,-0.4772,0.0435,0.1548,0.0802
LT2-N600-k0.5-modeB,LT2,600,0.5000,B,1417,0.2331,0.1625,0.2263,0.7046,-0.4812,0.0495,0.1577,0.0706
LT2-N600-k0.7-modeB,LT2,600,0.7000,B,1417,0.2274,0.1534,0.2203,0.6765,-0.4758,0.0440,0.1539,0.0740
LT2-N600-k1.0-modeB,LT2,600,1.0000,B,1417,0.2228,0.1435,0.2152,0.6496,-0.4714,0.0397,0.1495,0.0793
LT2-N750-k0.7-modeB,LT2,750,0.7000,B,1417,0.2204,0.1797,0.2166,0.7403,-0.4585,0.0363,0.1383,0.0407
LT2-N750-k1.0-modeB,LT2,750,1.0000,B,1417,0.2170,0.1683,0.2124,0.7021,-0.4633,0.0304,0.1360,0.0487
LT2-N1000-k0.7-modeB,LT2,1000,0.7000,B,1417,0.2050,0.1813,0.2027,0.7186,-0.4884,0.0262,0.0959,0.0237
LT2-N1000-k1.0-modeB,LT2,1000,1.0000,B,1417,0.1990,0.1852,0.1977,0.7202,-0.4917,0.0156,0.0884,0.0138
LT2-N1250-k0.7-modeB,LT2,1250,0.7000,B,1417,0.2062,0.1717,0.2029,0.7184,-0.4640,0.0049,0.1012,0.0345
LT2-N1250-k1.0-modeB,LT2,1250,1.0000,B,1417,0.2008,0.1747,0.1983,0.7216,-0.4640,-0.0001,0.0909,0.0261
LT2-N1500-k0.3-modeB,LT2,1500,0.3000,B,1417,0.2243,0.1661,0.2185,0.7374,-0.4640,0.0254,0.1303,0.0581
LT2-N1500-k0.5-modeB,LT2,1500,0.5000,B,1417,0.2143,0.1696,0.2100,0.7644,-0.4640,0.0244,0.1141,0.0448
LT2-N1500-k0.7-modeB,LT2,1500,0.7000,B,1417,0.2099,0.1710,0.2062,0.7795,-0.4640,0.0177,0.0997,0.0389
LT2-N1500-k1.0-modeB,LT2,1500,1.0000,B,1417,0.2043,0.1785,0.2019,0.8137,-0.4640,0.0070,0.0840,0.0259
LT4-N500-k0.5-modeB,LT4,500,0.5000,B,1417,0.2412,0.1603,0.2335,0.7121,-0.4751,0.0703,0.1535,0.0809
LT4-N500-k0.7-modeB,LT4,500,0.7000,B,1417,0.2409,0.1609,0.2332,0.7150,-0.4897,0.0675,0.1548,0.0800
LT4-N500-k1.0-modeB,LT4,500,1.0000,B,1417,0.2369,0.1510,0.2286,0.6881,-0.5039,0.0664,0.1531,0.0859
LT4-N750-k0.5-modeB,LT4,750,0.5000,B,1417,0.2234,0.1804,0.2193,0.7601,-0.4490,0.0257,0.1361,0.0430
LT4-N750-k0.7-modeB,LT4,750,0.7000,B,1417,0.2186,0.1875,0.2156,0.7759,-0.4553,0.0295,0.1347,0.0310
LT4-N750-k1.0-modeB,LT4,750,1.0000,B,1417,0.2172,0.1769,0.2134,0.7345,-0.4643,0.0393,0.1378,0.0404
LT4-N1000-k0.5-modeB,LT4,1000,0.5000,B,1417,0.2184,0.1687,0.2137,0.7064,-0.4796,0.0388,0.1141,0.0497
LT4-N1000-k0.7-modeB,LT4,1000,0.7000,B,1417,0.2112,0.1733,0.2076,0.7117,-0.4857,0.0325,0.1036,0.0379
LT4-N1000-k1.0-modeB,LT4,1000,1.0000,B,1417,0.2035,0.1865,0.2019,0.7379,-0.4933,0.0247,0.0969,0.0170
LT4-N1250-k0.5-modeB,LT4,1250,0.5000,B,1417,0.2199,0.1540,0.2136,0.6788,-0.4640,0.0205,0.1200,0.0658
LT4-N1250-k0.7-modeB,LT4,1250,0.7000,B,1417,0.2127,0.1573,0.2074,0.6892,-0.4640,0.0129,0.1131,0.0555
LT4-N1250-k1.0-modeB,LT4,1250,1.0000,B,1417,0.2051,0.1661,0.2014,0.7138,-0.4640,0.0021,0.1045,0.0390
LT6-N500-k0.3-modeB,LT6,500,0.3000,B,1417,0.2345,0.1497,0.2260,0.6761,-0.4427,0.0444,0.1407,0.0848
LT6-N500-k0.5-modeB,LT6,500,0.5000,B,1417,0.2308,0.1488,0.2226,0.6868,-0.4294,0.0406,0.1345,0.0820
LT6-N500-k0.7-modeB,LT6,500,0.7000,B,1417,0.2263,0.1465,0.2184,0.6923,-0.4175,0.0377,0.1285,0.0798
LT6-N500-k1.0-modeB,LT6,500,1.0000,B,1417,0.2166,0.1453,0.2096,0.7079,-0.3973,0.0321,0.1182,0.0713
LT6-N750-k0.3-modeB,LT6,750,0.3000,B,1417,0.2290,0.1467,0.2207,0.6654,-0.4411,0.0317,0.1372,0.0823
LT6-N750-k0.5-modeB,LT6,750,0.5000,B,1417,0.2219,0.1441,0.2141,0.6701,-0.4274,0.0363,0.1324,0.0778
LT6-N750-k0.7-modeB,LT6,750,0.7000,B,1417,0.2135,0.1412,0.2063,0.6738,-0.4158,0.0411,0.1252,0.0723
LT6-N750-k1.0-modeB,LT6,750,1.0000,B,1417,0.1986,0.1357,0.1924,0.6742,-0.3954,0.0407,0.1148,0.0629
LT6-N1000-k0.3-modeB,LT6,1000,0.3000,B,1417,0.2236,0.1426,0.2154,0.6510,-0.4371,0.0377,0.1348,0.0810
LT6-N1000-k0.5-modeB,LT6,1000,0.5000,B,1417,0.2140,0.1383,0.2064,0.6490,-0.4219,0.0393,0.1242,0.0757
LT6-N1000-k0.7-modeB,LT6,1000,0.7000,B,1417,0.2052,0.1334,0.1981,0.6447,-0.4068,0.0352,0.1142,0.0717
