Month,MomDecel+Ens2 (%),B&H 3x (%),B&H 1x (%)
2021-06,4.65,17.23,5.59
2021-07,2.75,3.04,1.16
2021-08,11.40,12.00,4.00
2021-09,-8.76,-15.71,-5.31
2021-10,5.99,22.62,7.27
2021-11,-1.61,0.00,0.25
2021-12,0.80,0.51,0.69
2022-01,-10.41,-26.28,-8.98
2022-02,-1.56,-12.07,-3.43
2022-03,-0.75,7.43,3.41
2022-04,0.00,-36.65,-13.26
2022-05,0.00,-10.30,-2.05
2022-06,0.00,-26.70,-8.71
2022-07,0.00,39.17,12.35
2022-08,0.00,-14.85,-4.64
2022-09,0.00,-29.95,-10.50
2022-10,0.00,9.10,3.90
2022-11,0.00,10.04,4.37
2022-12,0.00,-25.10,-8.73
2023-01,0.00,33.89,10.68
2023-02,-11.07,-4.64,-1.11
2023-03,19.90,19.90,6.69
2023-04,-1.39,-0.54,0.04
2023-05,14.96,17.47,5.80
2023-06,13.47,20.23,6.59
2023-07,12.01,12.01,4.05
2023-08,-11.11,-7.24,-2.17
2023-09,-6.98,-16.97,-5.81
2023-10,-9.84,-9.09,-2.78
2023-11,7.17,34.65,10.70
2023-12,14.62,16.95,5.52
2024-01,2.27,2.27,1.02
2024-02,18.53,18.53,6.12
2024-03,2.80,4.86,1.79
2024-04,-3.96,-13.61,-4.41
2024-05,5.23,21.43,6.88
2024-06,15.17,18.39,5.96
2024-07,-6.64,-3.69,-0.75
2024-08,-6.17,0.12,0.65
2024-09,0.04,7.05,2.68
2024-10,0.77,-2.35,-0.52
2024-11,13.25,18.88,6.21
2024-12,0.54,0.38,0.48
2025-01,0.76,3.73,1.64
2025-02,-11.55,-12.31,-3.97
2025-03,-3.96,-24.38,-8.21
2025-04,-1.70,-5.35,0.85
2025-05,-1.85,29.90,9.56
2025-06,20.40,20.40,6.57
2025-07,11.15,11.15,3.70
2025-08,1.43,3.99,1.58
2025-09,9.55,17.37,5.61
2025-10,10.40,13.43,4.70
2025-11,-5.45,-5.61,-1.51
2025-12,-0.55,-2.08,-0.53
2026-01,2.20,2.32,0.95
2026-02,-9.18,-11.17,-3.69
