Strategy,Sharpe,CAGR,MaxDD,Worst5Y,WinRate,OOS_CAGR,OOS_Sharpe,Base,LevC,VixC
B0.4/L0.15/V0.1,1.2807870240245025,0.20150818856142738,-0.21944462229856798,0.02969545953807806,0.8269230769230769,0.1767546483393152,0.9997583358547589,0.4,0.15,0.1
B0.4/L0.15/V0.05,1.2802030990239588,0.20446865249865787,-0.21773573139260483,0.03451009704929486,0.8269230769230769,0.1810600847500008,1.014597660417405,0.4,0.15,0.05
B0.4/L0.15/V0.15,1.2753154174565589,0.19855072883724856,-0.2340148821849649,0.02375821756786034,0.8269230769230769,0.1744165298540139,0.9935071925997965,0.4,0.15,0.15
B0.4/L0.15/V0.2,1.2750410977464097,0.19726539163747914,-0.23467605458910878,0.02432500724199671,0.8269230769230769,0.17206297638465307,0.9832272982803754,0.4,0.15,0.2
B0.4/L0.25/V0.1,1.2567814262001058,0.22696283468980916,-0.23424812577422416,0.030924422956971176,0.8269230769230769,0.1862997051396751,0.9385912758267636,0.4,0.25,0.1
B0.4/L0.25/V0.15,1.2514263198646032,0.2234909068517199,-0.23132910183073108,0.027049722834332712,0.8269230769230769,0.18184086808266486,0.9230024169060643,0.4,0.25,0.15
B0.4/L0.25/V0.2,1.2498959305005597,0.2217231060866529,-0.23311022909889167,0.02874300670774521,0.8269230769230769,0.17987843178164642,0.9186404026032887,0.4,0.25,0.2
B0.5/L0.15/V0.15,1.2487386933207483,0.22507579737636774,-0.22748416526022663,0.03263257594819091,0.8269230769230769,0.18807044562540565,0.9464393981787296,0.5,0.15,0.15
B0.4/L0.25/V0.05,1.2480735665220342,0.22826682219237449,-0.24512195088226651,0.03204839948998184,0.8076923076923077,0.18341063185439532,0.9242425292096692,0.4,0.25,0.05
B0.5/L0.15/V0.1,1.2471013702863998,0.2271274001040966,-0.23521005389673566,0.037313084263915774,0.8269230769230769,0.19142472860443283,0.955756298806643,0.5,0.15,0.1
B0.5/L0.15/V0.2,1.2423006871768916,0.22206240803536925,-0.233390158084552,0.03340534175060372,0.8269230769230769,0.1848284013327368,0.9350751977782833,0.5,0.15,0.2
B0.4/L0.35/V0.1,1.2365584491223938,0.25207357377659756,-0.2671788177040395,0.0322665566588205,0.8461538461538461,0.18660450443950416,0.8618302404064154,0.4,0.35,0.1
B0.5/L0.15/V0.05,1.2332377663109968,0.22793771829720533,-0.24956460978391592,0.03825360719288007,0.8269230769230769,0.19258762552286535,0.9553912176803118,0.5,0.15,0.05
B0.5/L0.25/V0.1,1.2254811774845298,0.2522535076584633,-0.26451514348900085,0.040978929870846725,0.8269230769230769,0.19650077921781772,0.8903306767951109,0.5,0.25,0.1
B0.4/L0.35/V0.15,1.2254539601918875,0.24721649206287277,-0.25903673935135707,0.027369919498972717,0.8461538461538461,0.18257759069092017,0.8485248394983063,0.4,0.35,0.15
B0.5/L0.25/V0.15,1.22512711281426,0.24964799391554027,-0.2624550805495798,0.038285313342929284,0.8269230769230769,0.19278091199560143,0.880080934814149,0.5,0.25,0.15
B0.4/L0.35/V0.05,1.2250165330950618,0.25257935677783916,-0.2720146385257518,0.0318731220936479,0.8461538461538461,0.18598536034929802,0.8549987763298292,0.4,0.35,0.05
B0.4/L0.35/V0.2,1.2247456823952338,0.24525591083507492,-0.2610437736814498,0.024221226306508914,0.8269230769230769,0.18119994769394543,0.8475532223011918,0.4,0.35,0.2
B0.5/L0.25/V0.2,1.2240222498765123,0.2477329759256761,-0.2635932583867987,0.034058049412662994,0.8269230769230769,0.19135559501599997,0.8779979860173177,0.5,0.25,0.2
B0.6/L0.15/V0.15,1.2161009475081457,0.25004201478136845,-0.2658140887387038,0.04138634340823577,0.8076923076923077,0.19991827942938212,0.9031035583641186,0.6,0.15,0.15
B0.6/L0.15/V0.2,1.2151319732304102,0.24785990452019657,-0.26338173463035164,0.042531995125337785,0.8269230769230769,0.19818640137068622,0.8987631741214043,0.6,0.15,0.2
B0.6/L0.15/V0.1,1.2127629598517484,0.25177280501943766,-0.2851019895912136,0.04594767879225414,0.8269230769230769,0.2027438955789702,0.9094418363631824,0.6,0.15,0.1
B0.4/L0.45/V0.1,1.2111351425196382,0.27524615792566776,-0.3059816778400507,0.03355807336217742,0.8269230769230769,0.19504109152743987,0.8242573441283659,0.4,0.45,0.1
