Strategy,Sharpe,CAGR,MaxDD,Worst5Y,WinRate,OOS_CAGR,OOS_Sharpe,WN,WG,WB
35/25/40,1.3298796070788759,0.1598954505436443,-0.1943627344298744,0.033312718309801204,0.8269230769230769,0.13015957145786028,1.0066680876893885,35,25,40
35/30/35,1.3246842812061603,0.16070057432006246,-0.20285721755665698,0.029583841118855814,0.8076923076923077,0.14102104576243546,1.0583860822068385,35,30,35
35/35/30,1.3146050921240748,0.16139849033281628,-0.2288868976673757,0.02581865773567782,0.8076923076923077,0.15191452788648863,1.103893067223676,35,35,30
40/20/40,1.2974299606360713,0.17116131794745293,-0.2056966761999327,0.04120613055954103,0.8461538461538461,0.13115771198810955,0.9446923827177323,40,20,40
40/25/35,1.297320608187678,0.17207134649005162,-0.20724239875267414,0.037502859326162596,0.8269230769230769,0.14209935514128524,0.9989453213926703,40,25,35
40/30/30,1.2929642052500232,0.17287175031152935,-0.20918542264384843,0.03367037031104925,0.8269230769230769,0.15307358277566574,1.0479987540415745,40,30,30
40/35/25,1.284631214693741,0.17356385527090867,-0.23340254974838248,0.02979058807866619,0.8076923076923077,0.16408007065781027,1.0919354743797063,40,35,25
45/20/35,1.2665178184499366,0.18307210285509634,-0.2180257246582029,0.042113319923839265,0.8269230769230769,0.14281969682174656,0.9389191983214632,45,20,35
45/25/30,1.2663528781975688,0.18397848279019824,-0.21957424049567453,0.03832179784434597,0.8269230769230769,0.15387339451512472,0.9896570286543517,45,25,30
45/15/40,1.2630637949528667,0.1820535002779442,-0.2164836531611405,0.04472929283778315,0.8269230769230769,0.13179915642831386,0.8840468384079075,45,15,40
45/30/25,1.2627037603723694,0.1847741226432278,-0.2211292112119715,0.034493750965936654,0.8269230769230769,0.16495992801815906,1.036147034321624,45,30,25
45/35/20,1.2557721557376305,0.18546036735558813,-0.2388141724957038,0.030629649589951846,0.8076923076923077,0.1760789713973614,1.0784025059518831,45,35,20
50/20/30,1.2379118674823832,0.1947158806414615,-0.22974794923764652,0.04269215674505178,0.8269230769230769,0.1543151806787577,0.9324463749951244,50,20,30
50/25/25,1.2377467215522087,0.19561854995348038,-0.2312983865675068,0.03891758476507512,0.8269230769230769,0.16548050032512096,0.9800132192603049,50,25,25
50/15/35,1.2350688815259872,0.19369984649683447,-0.2282037906800648,0.04642931438854769,0.8269230769230769,0.14318326871393783,0.8814910066091488,50,15,35
50/30/20,1.234680685349172,0.19640935881455834,-0.2328551127098829,0.03510607734701576,0.8269230769230769,0.17667890452604662,1.0240755475374905,50,30,20
50/10/40,1.2291629897096057,0.19256878500143015,-0.22666590086537708,0.04728643692407197,0.8269230769230769,0.1320850830930449,0.8273637663808726,50,10,40
50/35/15,1.2288673188170178,0.1970896712822532,-0.24423420772096105,0.031258109891509234,0.8076923076923077,0.18791006565933888,1.064609228430692,50,35,15
55/20/25,1.211810066225053,0.2060939237315158,-0.24092296410815672,0.0430611799120193,0.8076923076923077,0.1656428714172904,0.9259231452333803,55,20,25
55/25/20,1.211670544554797,0.20699279914920843,-0.24247455398771534,0.03930400254534261,0.8269230769230769,0.17691939147757507,0.9706355713176456,55,25,20
55/15/30,1.2094138833818617,0.2050805363841106,-0.23937749807552822,0.046780523939491836,0.8076923076923077,0.1544000070370135,0.8784002536360671,55,15,30
55/30/15,1.2090817765703683,0.20777868888545625,-0.24403227729785226,0.035509475956505554,0.8269230769230769,0.1882292424652563,1.0124269954829315,55,30,15
55/10/35,1.2044325664596667,0.20395094960275073,-0.23783814631618805,0.04918065995985854,0.8269230769230769,0.14319111857284694,0.8282498963018383,55,10,35
55/35/10,1.2041630946887487,0.20845297613626435,-0.24966432199589428,0.03167808069625133,0.8076923076923077,0.19957209508070073,1.051254448622541,55,35,10
60/20/20,1.1881262320393944,0.21720710823798584,-0.251602684990859,0.04322245420765625,0.8076923076923077,0.1768013920355811,0.919679057375341,60,20,20
60/25/15,1.188022909199949,0.2181020867669492,-0.2531547460956943,0.0394831018362507,0.8269230769230769,0.18818870110252806,0.9618231671216811,60,25,15
60/15/25,1.1860642467184361,0.21619646587127628,-0.25005660246412886,0.046923550838858574,0.8076923076923077,0.16544798446008757,0.8751773846035582,60,15,25
60/30/10,1.1858249561158394,0.21888294960778243,-0.25471279494251586,0.03570598311695239,0.8076923076923077,0.19960958529383466,1.0015080492703696,60,30,10
60/10/30,1.1817930075838459,0.2150684471151505,-0.2524982285131816,0.04898667365224929,0.8076923076923077,0.15412880017493213,0.828473006265296,60,10,30
60/35/5,1.181626913513703,0.21955109910690784,-0.2598411589920008,0.03189158380395973,0.8076923076923077,0.21106371364376741,1.038682468377454,60,35,5
65/20/15,1.1666590972713298,0.22805595107140642,-0.2702849426610119,0.04317796025577847,0.7884615384615384,0.18778928599586653,0.9138693050729043,65,20,15
65/25/10,1.1665947937521732,0.22894691115604515,-0.26783908839988557,0.03945684937297478,0.7884615384615384,0.199286981966581,0.9537004200322119,65,25,10
65/15/20,1.1648525417984505,0.2270481704731553,-0.2727755676917929,0.04549358641634971,0.7884615384615384,0.17632573532272788,0.8720396573781917,65,15,20
65/30/5,1.1647182029196186,0.2297226208034413,-0.27335106662754605,0.03569755147547471,0.8076923076923077,0.21081849526463037,0.9914412053956763,65,30,5
65/10/25,1.1611362503292908,0.22592183170999225,-0.2753107962363771,0.045006592149485325,0.7884615384615384,0.16489665329766545,0.828343045405481,65,10,25
