sofr_high,l_max,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Worst5Y,IS_OOS_gap,Trades_yr,WFA_CI95_lo,WFA_WFE
0.030000,5,0.185134,0.110168,0.660921,-0.443724,0.083810,0.078961,0.038940,0.074966,27.115499,,
0.030000,6,0.191977,0.119334,0.659023,-0.533369,0.083617,0.073888,0.026377,0.072643,27.115499,,
0.030000,7,0.201434,0.127562,0.652204,-0.613607,0.083081,0.071286,0.017301,0.073871,27.115499,,
0.040000,5,0.185444,0.103237,0.622658,-0.466732,0.083810,0.076797,0.030732,0.082207,27.115499,,
0.040000,6,0.196647,0.112517,0.624975,-0.526819,0.083810,0.077589,0.033527,0.084130,27.115499,,
0.040000,7,0.206767,0.121254,0.623360,-0.613888,0.083810,0.077247,0.016904,0.085513,27.115499,,
0.050000,5,0.189743,0.110262,0.627212,-0.482283,0.083810,0.082412,0.035271,0.079482,27.115499,,
0.050000,6,0.201097,0.113592,0.593695,-0.551673,0.083810,0.080059,0.020091,0.087505,27.115499,,
0.050000,7,0.213580,0.128320,0.615933,-0.608619,0.083810,0.082486,0.021823,0.085260,27.115499,,
0.060000,5,0.208731,0.127293,0.648218,-0.475540,0.085593,0.087202,0.034848,0.081438,27.115499,,
0.060000,6,0.227670,0.132398,0.618919,-0.563472,0.086497,0.088992,0.025545,0.095272,27.115499,,
0.060000,7,0.236454,0.154985,0.648755,-0.629545,0.087221,0.088442,0.004805,0.081470,27.115499,,
0.080000,5,0.237780,0.160503,0.687785,-0.475540,0.090312,0.098509,0.038977,0.077277,27.115499,,
0.080000,6,0.261381,0.164735,0.653437,-0.559807,0.089605,0.100093,0.026123,0.096646,27.115499,,
0.080000,7,0.277665,0.178351,0.648159,-0.638607,0.088739,0.098586,0.005615,0.099314,27.115499,,
0.100000,5,0.265236,0.172784,0.682947,-0.475540,0.121559,0.111730,0.031732,0.092452,27.115499,,
0.100000,6,0.294145,0.194846,0.690628,-0.559807,0.132511,0.118107,0.027766,0.099299,27.115499,,
0.100000,7,0.319262,0.206315,0.676391,-0.636893,0.141378,0.116831,0.007420,0.112947,27.115499,,
