sofr_high,target_vol,m,k,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Worst5Y,IS_OOS_gap
0.050000,0.200000,20,0.500000,0.181272,0.087149,0.546205,-0.423699,0.083810,0.083376,0.038940,0.094123
0.050000,0.200000,20,1.000000,0.186509,0.085571,0.529177,-0.430290,0.083810,0.087002,0.033843,0.100938
0.050000,0.200000,60,0.500000,0.178731,0.088306,0.571898,-0.479593,0.083810,0.066130,-0.010905,0.090425
0.050000,0.200000,60,1.000000,0.180743,0.077798,0.513535,-0.540695,0.083810,0.063222,-0.034726,0.102945
0.050000,0.600000,20,0.500000,0.181027,0.082174,0.518116,-0.429373,0.083810,0.083692,0.036933,0.098852
0.050000,0.600000,20,1.000000,0.187442,0.079050,0.493878,-0.442980,0.083810,0.086948,0.025164,0.108392
0.050000,0.600000,60,0.500000,0.180526,0.084555,0.547942,-0.480973,0.083810,0.064891,-0.009134,0.095971
0.050000,0.600000,60,1.000000,0.184393,0.073907,0.489957,-0.540640,0.083810,0.061796,-0.032321,0.110486
0.080000,0.200000,20,0.500000,0.226093,0.125651,0.608012,-0.422514,0.095214,0.102955,0.040603,0.100442
0.080000,0.200000,20,1.000000,0.238791,0.124306,0.587827,-0.430251,0.096002,0.108429,0.040250,0.114485
0.080000,0.200000,60,0.500000,0.219645,0.136877,0.646769,-0.477422,0.092669,0.081562,-0.008097,0.082768
0.080000,0.200000,60,1.000000,0.223065,0.113994,0.546292,-0.540150,0.095687,0.078844,-0.038614,0.109071
0.080000,0.600000,20,0.500000,0.229226,0.125214,0.602314,-0.432519,0.095214,0.103038,0.040603,0.104012
0.080000,0.600000,20,1.000000,0.240237,0.120173,0.568997,-0.445725,0.096002,0.107833,0.040250,0.120064
0.080000,0.600000,60,0.500000,0.224997,0.128252,0.611313,-0.478808,0.092669,0.080455,-0.005895,0.096745
0.080000,0.600000,60,1.000000,0.228732,0.104110,0.508785,-0.540095,0.095687,0.078028,-0.034724,0.124623
0.100000,0.200000,20,0.500000,0.254779,0.133428,0.600764,-0.425863,0.134703,0.123384,0.045315,0.121351
0.100000,0.200000,20,1.000000,0.273026,0.130863,0.576686,-0.447299,0.150173,0.133140,0.046757,0.142162
0.100000,0.200000,60,0.500000,0.247889,0.138775,0.610085,-0.479365,0.136701,0.092354,-0.015060,0.109114
0.100000,0.200000,60,1.000000,0.252841,0.125461,0.551025,-0.545446,0.139587,0.085844,-0.039072,0.127380
0.100000,0.600000,20,0.500000,0.259748,0.124844,0.568867,-0.447274,0.135091,0.122273,0.047363,0.134905
0.100000,0.600000,20,1.000000,0.276236,0.127062,0.561429,-0.457315,0.150148,0.131271,0.051319,0.149175
0.100000,0.600000,60,0.500000,0.253255,0.138509,0.604311,-0.480746,0.137242,0.091067,-0.012057,0.114746
0.100000,0.600000,60,1.000000,0.259878,0.118922,0.527918,-0.545391,0.145063,0.086044,-0.035623,0.140956
