safety,mu_window,sigma_window,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Worst5Y,IS_OOS_gap,Trades_yr,WFA_CI95_lo,WFA_WFE
0.250000,252,30,0.177017,0.089803,0.452009,-0.460764,0.078337,0.066833,-0.048000,0.087214,27.115499,,
0.250000,252,60,0.176015,0.104712,0.542866,-0.476385,0.089349,0.069258,-0.060158,0.071303,27.115499,,
0.250000,504,30,0.128132,0.095610,0.483242,-0.407455,0.060862,0.030096,-0.060452,0.032522,27.115499,,
0.250000,504,60,0.120880,0.085546,0.482916,-0.440566,0.059431,0.035686,-0.042158,0.035334,27.115499,,
0.500000,252,30,0.222656,0.163846,0.584091,-0.542342,0.055220,0.041062,-0.078832,0.058809,27.115499,,
0.500000,252,60,0.211610,0.135688,0.528734,-0.539368,0.072080,0.039280,-0.086057,0.075923,27.115499,,
0.500000,504,30,0.171516,0.122859,0.507690,-0.542702,0.055584,0.028180,-0.070687,0.048658,27.115499,,
0.500000,504,60,0.146558,0.078313,0.396977,-0.548084,0.072156,0.026638,-0.073491,0.068245,27.115499,,
1.000000,252,30,0.264836,0.210801,0.641705,-0.565403,0.070660,0.050486,-0.080916,0.054035,27.115499,,
1.000000,252,60,0.243886,0.116754,0.475005,-0.565811,0.082752,0.046044,-0.075154,0.127133,27.115499,,
1.000000,504,30,0.234346,0.109109,0.461386,-0.630671,0.029029,0.022292,-0.093846,0.125237,27.115499,,
1.000000,504,60,0.221986,0.030305,0.288504,-0.588559,0.060627,0.034357,-0.083626,0.191681,27.115499,,
