alpha,target_vol,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Worst5Y,IS_OOS_gap
0.500000,0.400000,0.436418,0.224311,0.644662,-0.645223,0.230734,0.115291,-0.023181,0.212107
0.500000,0.600000,0.436376,0.224311,0.644662,-0.645223,0.230755,0.115291,-0.023181,0.212065
0.500000,0.800000,0.436376,0.224311,0.644662,-0.645223,0.230755,0.115291,-0.023181,0.212065
0.500000,1.000000,0.436376,0.224311,0.644662,-0.645223,0.230755,0.115291,-0.023181,0.212065
1.000000,0.400000,0.433000,0.216251,0.634385,-0.653868,0.223537,0.110950,-0.044433,0.216749
1.000000,0.600000,0.432988,0.216251,0.634385,-0.653868,0.223537,0.110950,-0.044433,0.216737
1.000000,0.800000,0.432988,0.216251,0.634385,-0.653868,0.223537,0.110950,-0.044433,0.216737
1.000000,1.000000,0.432988,0.216251,0.634385,-0.653868,0.223537,0.110950,-0.044433,0.216737
1.500000,0.400000,0.427061,0.206924,0.621344,-0.657713,0.211566,0.107721,-0.058921,0.220137
1.500000,0.600000,0.427530,0.206924,0.621344,-0.657713,0.211566,0.107721,-0.058921,0.220606
1.500000,0.800000,0.427530,0.206924,0.621344,-0.657713,0.211566,0.107721,-0.058921,0.220606
1.500000,1.000000,0.427530,0.206924,0.621344,-0.657713,0.211566,0.107721,-0.058921,0.220606
2.000000,0.400000,0.423683,0.193469,0.601262,-0.662773,0.201140,0.109401,-0.079049,0.230214
2.000000,0.600000,0.424096,0.193469,0.601262,-0.662773,0.201140,0.109401,-0.079049,0.230627
2.000000,0.800000,0.424096,0.193469,0.601262,-0.662773,0.201140,0.109401,-0.079049,0.230627
2.000000,1.000000,0.424096,0.193469,0.601262,-0.662773,0.201140,0.109401,-0.079049,0.230627
