,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13
S1,1.0,0.7595160735752782,0.666832728314303,0.6166793603367926,0.6603975456059504,0.6507148745546578,0.428908652963251,0.5345845914377465,0.5491239140597075,-0.08399520848024436,0.11286037450000656,0.01896354898895838,0.6165028608340263
S2,0.7595160735752782,1.0,0.46507671608805073,0.4272904592263398,0.4866420296408047,0.7247444620958666,0.49300648312905343,0.33202327444316215,0.4163376540118874,-0.049900063127291505,0.011940065931064255,0.016694368622329425,0.4454977877336402
S3,0.666832728314303,0.46507671608805073,1.0,0.7108778727014566,0.7261630599279324,0.4655341721181426,0.33108929363507295,0.6930327927153074,0.6172863031752767,-0.039692683561121156,0.28229401172180646,0.044934979014923195,0.6940187468864919
S4,0.6166793603367926,0.4272904592263398,0.7108778727014566,1.0,0.7091342161181926,0.3765058812849998,0.2785304234947106,0.5764953003693478,0.5306435290959405,-0.098917648765051,0.10794802623730897,0.08417850447239263,0.5851572273603953
S5,0.6603975456059504,0.4866420296408047,0.7261630599279324,0.7091342161181926,1.0,0.4282307284421868,0.3542322698487653,0.6896900829582945,0.6958824089830751,-0.02979330481570487,0.21755162995267585,0.03206852643024937,0.670508344189134
S6,0.6507148745546578,0.7247444620958666,0.4655341721181426,0.3765058812849998,0.4282307284421868,1.0,0.3502345801067563,0.29739957134069045,0.45306226424870494,-0.03319766235468199,-0.024810175833190548,-0.0141876526773483,0.3046507158818734
S7,0.428908652963251,0.49300648312905343,0.33108929363507295,0.2785304234947106,0.3542322698487653,0.3502345801067563,1.0,0.3070759238975289,0.4407006247029319,-0.02607842431180941,0.1402382510893588,0.04699625420330787,0.3886589735644404
S8,0.5345845914377465,0.33202327444316215,0.6930327927153074,0.5764953003693478,0.6896900829582945,0.29739957134069045,0.3070759238975289,1.0,0.6608715243079512,-0.009708980707087195,0.3138752815829504,0.06187387801584888,0.7274640457765701
S9,0.5491239140597075,0.4163376540118874,0.6172863031752767,0.5306435290959405,0.6958824089830751,0.45306226424870494,0.4407006247029319,0.6608715243079512,1.0,0.013461684616873438,0.2481609466855561,0.040991551616023435,0.5996244286454413
S10,-0.08399520848024436,-0.049900063127291505,-0.039692683561121156,-0.098917648765051,-0.02979330481570487,-0.03319766235468199,-0.02607842431180941,-0.009708980707087195,0.013461684616873438,1.0,0.04257748941328877,-0.004525706406665099,0.016174471882565593
S11,0.11286037450000656,0.011940065931064255,0.28229401172180646,0.10794802623730897,0.21755162995267585,-0.024810175833190548,0.1402382510893588,0.3138752815829504,0.2481609466855561,0.04257748941328877,1.0,0.07035462335804336,0.3215456165623025
S12,0.01896354898895838,0.016694368622329425,0.044934979014923195,0.08417850447239263,0.03206852643024937,-0.0141876526773483,0.04699625420330787,0.06187387801584888,0.040991551616023435,-0.004525706406665099,0.07035462335804336,1.0,0.053102655144897995
S13,0.6165028608340263,0.4454977877336402,0.6940187468864919,0.5851572273603953,0.670508344189134,0.3046507158818734,0.3886589735644404,0.7274640457765701,0.5996244286454413,0.016174471882565593,0.3215456165623025,0.053102655144897995,1.0
