Strategy,CAGR,Sharpe,MaxDD,Worst5Y,Worst10Y,WinRate,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,WF_avg,WF1,WF2,WF3,corr_coeff,macd_coeff,volz_coeff
Full_cc0.12_mc5.0_vc0.03,0.3104581726501747,1.0408119615945062,-0.3671359472329043,0.052258309947761594,0.14825248890529563,0.8269230769230769,0.2185684442106257,0.6311214966574786,-0.3183993175679207,0.8845010900624407,0.6356579665327867,0.9980188268378236,1.0198264768167113,0.12,5.0,0.03
Full_cc0.1_mc7.0_vc0.03,0.3107974139011418,1.0418843132276134,-0.3674193643033401,0.05185002659137283,0.14789305322597301,0.8269230769230769,0.21784270797590022,0.6287299454162889,-0.32069785140959794,0.8835861742920113,0.6339144176189139,0.998612872941476,1.0182312323156437,0.1,7.0,0.03
Full_cc0.12_mc7.0_vc0.03,0.31092096626123844,1.042628949688211,-0.3670910543887065,0.05216417736499146,0.1480983936669904,0.8269230769230769,0.2178001118633388,0.6287070983335825,-0.32070638957069453,0.8832572102909785,0.6359107730575836,0.9966774976355472,1.0171833601798046,0.12,7.0,0.03
Full_cc0.08_mc7.0_vc0.03,0.3108734153839834,1.0418900689744444,-0.36710003514073786,0.05153528132163254,0.1475143228177047,0.8269230769230769,0.21788511733871374,0.6287495641263103,-0.3206893847340373,0.8827382453805441,0.6319111165870849,0.9986474668446976,1.01765615270985,0.08,7.0,0.03
Full_cc0.08_mc3.0_vc0.05,0.31082950904720397,1.0381114343533508,-0.367230579147932,0.05249878181606671,0.14808366032519094,0.8269230769230769,0.2173856624422137,0.6260871596254651,-0.3198746055205073,0.8801357630736194,0.6347393587436556,0.99373213159618,1.0119357988810225,0.08,3.0,0.05
Full_cc0.12_mc3.0_vc0.03,0.3104127037657334,1.040667861975894,-0.3652001574389756,0.05235235534466942,0.1498500550140165,0.8269230769230769,0.21863033650505947,0.6312833885889676,-0.31801245429316327,0.8797260424926455,0.6354028130112046,0.9905487931949154,1.0132265212718163,0.12,3.0,0.03
Full_cc0.1_mc5.0_vc0.03,0.3102044480068773,1.039921655925728,-0.3664968922577926,0.05194413113774399,0.14808515247180787,0.8269230769230769,0.21861063435750294,0.6311431324949315,-0.3183918834292314,0.8796733422125526,0.6336609055065593,0.9916494803928344,1.0137096407382644,0.1,5.0,0.03
Full_cc0.1_mc3.0_vc0.05,0.3107832869975218,1.0385755960566598,-0.36691026507809854,0.05273045721406855,0.1486898299393189,0.8269230769230769,0.21754581844713927,0.6267335614043771,-0.3192683059750955,0.8790781367726718,0.6365102488164562,0.9904401597026471,1.0102840017989119,0.1,3.0,0.05
Full_cc0.08_mc5.0_vc0.05,0.31073421385085886,1.0382625478239225,-0.36653307256147893,0.05238267155333798,0.14747219465583905,0.8269230769230769,0.21743405725548604,0.6262765475864253,-0.3194541994859297,0.8789371372957936,0.6349255787704359,0.9914466899714289,1.010439143145516,0.08,5.0,0.05
Full_cc0.1_mc3.0_vc0.03,0.3104103305621311,1.0401502542030587,-0.3598450999554682,0.052038148497583814,0.14821943670288817,0.8269230769230769,0.2186725296153016,0.6313053479378892,-0.31800496787514365,0.8789324587305499,0.6334050657262718,0.9906706744075775,1.0127216360578004,0.1,3.0,0.03
Full_cc0.08_mc5.0_vc0.03,0.31046303202123515,1.0404391795672687,-0.3656309633023338,0.05162935782325406,0.14786243668262355,0.8269230769230769,0.21865263733999396,0.6311615325269965,-0.3183845217448935,0.8788749602957789,0.6316569287831965,0.991765941773753,1.0132020103303876,0.08,5.0,0.03
Full_cc0.1_mc5.0_vc0.05,0.3107766654859483,1.039082541727407,-0.3662115270415788,0.052622047640969116,0.14758191938392828,0.8269230769230769,0.2173819414036855,0.6262531115662037,-0.31943336047816284,0.8788202003719031,0.6367214782131738,0.9899281222665169,1.0098110006360184,0.1,5.0,0.05
Full_cc0.1_mc7.0_vc0.05,0.311041425319454,1.0403966161050773,-0.3655131178714125,0.05237832849741175,0.14734065370045513,0.8269230769230769,0.21687023464015254,0.6245203199812044,-0.3205440458374972,0.8783368702254771,0.6364860417062559,0.9897049606426643,1.0088196083275116,0.1,7.0,0.05
Full_cc0.12_mc3.0_vc0.05,0.3106495321933542,1.038466870866343,-0.3667666788325308,0.052349636648163944,0.14860041447518557,0.8269230769230769,0.21748751048002357,0.6266882097534764,-0.3192637370316511,0.8782520131643367,0.6362290350014728,0.9888890952255589,1.0096379092659786,0.12,3.0,0.05
Full_cc0.08_mc7.0_vc0.05,0.31103000289170213,1.0397122611143572,-0.3658358962420859,0.0521247871140913,0.14691244172081452,0.8269230769230769,0.21692289758505212,0.6245468235536387,-0.32056336678491415,0.8781589202240087,0.634637667306,0.9907658301351319,1.0090732632308943,0.08,7.0,0.05
Full_cc0.12_mc5.0_vc0.05,0.3107863522210501,1.03952719567517,-0.36606276491781364,0.05219570089518233,0.1478136817900717,0.8269230769230769,0.21732942776226882,0.626225712662915,-0.3194129779383147,0.8781369346325792,0.6362801109469366,0.988611620365813,1.0095190725849883,0.12,5.0,0.05
Full_cc0.08_mc3.0_vc0.03,0.310941076316146,1.0416811542934943,-0.3580656583959996,0.05172334713767657,0.14886984098699774,0.8269230769230769,0.21871453555603648,0.6313240713857226,-0.3179975539127201,0.8781273968376256,0.6314004326628594,0.9907758781138322,1.0122058797361857,0.08,3.0,0.03
Full_cc0.12_mc7.0_vc0.05,0.31094657894256095,1.040605958364042,-0.3653591691889052,0.052028439403712934,0.1471309685113209,0.8269230769230769,0.2168173150998407,0.6244902907382401,-0.3205247972580151,0.8779199630131425,0.6363006115378453,0.9887723038417205,1.0086869736598616,0.12,7.0,0.05
Full_cc0.08_mc3.0_vc0.07,0.311513726698059,1.038353831557724,-0.36600051850109305,0.052812431156877615,0.1437847343536769,0.8269230769230769,0.21528547081063043,0.6195765678696767,-0.3226454013899339,0.8775071078992195,0.6230362956200635,0.9947528671241406,1.0147321609534545,0.08,3.0,0.07
Full_cc0.1_mc7.0_vc0.07,0.31028135764014575,1.0353157203291121,-0.36530681844563495,0.052972893358977036,0.14394330551458623,0.8269230769230769,0.21453076704237883,0.6173411711428282,-0.32398221675795624,0.8761457511130667,0.6271863696983951,0.9901677833440296,1.0110831002967757,0.1,7.0,0.07
Full_cc0.12_mc7.0_vc0.07,0.3108180962276741,1.0372592277841814,-0.3646846755704466,0.05303416154155083,0.1433624675321068,0.8269230769230769,0.21535824266455084,0.6196780252574565,-0.32390347139217146,0.8760263267833986,0.6269399748073012,0.9885777429552608,1.0125612625876343,0.12,7.0,0.07
Full_cc0.12_mc3.0_vc0.07,0.3110274841886316,1.0372870373219965,-0.36516183288794457,0.052957403553193894,0.1435365568748992,0.8269230769230769,0.2152865226048566,0.6197479654373098,-0.32228593499540914,0.8759250458296002,0.626629355588684,0.9889547832953982,1.0121909986047182,0.12,3.0,0.07
Full_cc0.12_mc5.0_vc0.07,0.31102817374185987,1.037572828479832,-0.3649232530108576,0.05289783147285232,0.14346167854083736,0.8269230769230769,0.21487618155283794,0.6185166144888535,-0.3230229426149459,0.875908966976977,0.6270462738069282,0.9890221107188062,1.0116585164051963,0.12,5.0,0.07
Full_cc0.1_mc3.0_vc0.07,0.31105758086542923,1.037048395821006,-0.3658568628331823,0.05289270428569948,0.14378836044742016,0.8269230769230769,0.21532535857062673,0.6197732910675907,-0.3225711344443888,0.8743894376019132,0.6242450489028848,0.9883112333291322,1.0106120305737227,0.1,3.0,0.07
Full_cc0.1_mc5.0_vc0.07,0.3108767057883932,1.0368914956162716,-0.36558185255127973,0.05283365221955694,0.143665610277798,0.8269230769230769,0.21499462098000066,0.6187727400251559,-0.3230935051069366,0.8743709366730856,0.6247302349368342,0.9882543532268498,1.0101282218555732,0.1,5.0,0.07
Full_cc0.08_mc7.0_vc0.07,0.31046602943904134,1.035638094396707,-0.365450501559773,0.052906676110316075,0.1442276415838677,0.8269230769230769,0.2141854967136363,0.616175981275126,-0.32406878492547797,0.8740328630861806,0.6260316586271343,0.988525750039793,1.0075411805916141,0.08,7.0,0.07
Full_cc0.08_mc5.0_vc0.07,0.3108925498498607,1.0367377899788506,-0.3657255219423037,0.052754686076337265,0.1440036306960173,0.8269230769230769,0.21465350996837507,0.617620352568266,-0.3231695430098296,0.8732967642139385,0.6235596175871342,0.988272769702273,1.0080579053524086,0.08,5.0,0.07
