Strategy,CAGR,Sharpe,MaxDD,Worst5Y,Worst10Y,WinRate,OOS_CAGR,OOS_Sharpe,WN,WG,WB
S-65/5/30,0.2246750071499075,1.155492460839465,-0.27789045899510323,0.044341265142710196,0.10292496419130792,0.8269230769230769,0.15350235867992734,0.7829507313337257,65,5,30
S-65/10/25,0.22592183170999225,1.1611362503292908,-0.2753107962363771,0.045006592149485325,0.10458997695684058,0.7884615384615384,0.16489665329766545,0.828343045405481,65,10,25
S-65/15/20,0.2270481704731553,1.1648525417984505,-0.2727755676917929,0.04549358641634971,0.10565331220413055,0.7884615384615384,0.17632573532272788,0.8720396573781917,65,15,20
S-65/20/15,0.22805595107140642,1.1666590972713298,-0.2702849426610119,0.04317796025577847,0.10661748048363862,0.7884615384615384,0.18778928599586653,0.9138693050729043,65,20,15
S-70/5/25,0.23526509677337004,1.1373283225634023,-0.3001207955475823,0.0401342217425813,0.10614980469130697,0.7884615384615384,0.16398957250629653,0.7855379050492655,70,5,25
S-70/10/20,0.23651132707148026,1.142290320075875,-0.2975976035026696,0.04072056992675921,0.10781696966641108,0.7884615384615384,0.1754931300072904,0.8280467294837476,70,10,20
S-70/15/15,0.23763585615351102,1.145565710388915,-0.29511808058801436,0.041133776723301985,0.10926755361967566,0.7884615384615384,0.18703171991318812,0.869099725383126,70,15,15
S-70/20/10,0.23864064048147315,1.1471730648270941,-0.2926823955800091,0.041511748422877526,0.11023827889475823,0.7884615384615384,0.19860502197615082,0.9085545012426326,70,20,10
S-75/5/20,0.24559135777542318,1.120657607513699,-0.32183432092246145,0.035661419488656865,0.10918642152525049,0.7884615384615384,0.17430417332508275,0.7877217499377624,75,5,20
S-75/10/15,0.24683685196623317,1.1250664321068575,-0.319367071297346,0.036135516691276015,0.11085587284998488,0.7884615384615384,0.18591661313153574,0.8276968312803068,75,10,15
S-75/15/10,0.24795942460669607,1.127986150939073,-0.3169427368443206,0.03650926903961671,0.1124532998021992,0.7884615384615384,0.19756432863458007,0.8664110062646314,75,15,10
S-75/20/5,0.24896106105638904,1.1294352404128891,-0.31456148579976284,0.03684793129058872,0.11368525403225993,0.7884615384615384,0.2092469981096552,0.9037446559451149,75,20,5
S-80/5/15,0.25565344138386936,1.1053268552616058,-0.3430393822363129,0.030917652987636712,0.11203534781932345,0.7884615384615384,0.1844444715166791,0.7896279960786928,80,5,15
S-80/10/10,0.25689804100456337,1.1092810874688355,-0.3406275372508998,0.031286960718765355,0.11370720876671392,0.7884615384615384,0.19616541990464942,0.8273610958349089,80,10,10
S-80/15/5,0.25801849376344776,1.1119098427553926,-0.3382578644571731,0.03162135380486086,0.11530663231030558,0.7884615384615384,0.20792188571666403,0.8639934288055008,80,15,5
S-85/5/10,0.26545073106395,1.0911893010493838,-0.3637442433581669,0.02584599355192574,0.1146970658196782,0.7884615384615384,0.1944087156142762,0.7913429425874325,85,5,10
S-85/10/5,0.2666942612277421,1.0947655284224875,-0.36138725613288514,0.026175867812262332,0.11637144914926356,0.7692307692307693,0.20623780520756152,0.8270795103665345,85,10,5
