,return
1974,0.11923480557067793
1975,1.7601215247617088
1976,2.0245145708194407
1977,0.004669834879117822
1978,3.849663974252358
1979,1.5194540823028097
1980,1.3153437116389712
1981,0.29452410464127186
1982,1.637051574773541
1983,0.9609878083117946
1984,-0.21636817773960776
1985,2.1747009569301944
1986,0.6574168783083087
1987,0.24983050795538537
1988,0.18375108055728345
1989,0.18857010817078297
1990,0.13143229872063074
1991,0.5183706128081458
1992,0.49347049620908055
1993,0.28991497124540025
1994,-0.016376260378533175
1995,0.8716173263196706
1996,0.28537415250423135
1997,0.38513381946676885
1998,0.34197080676862994
1999,1.0412324252574117
2000,-0.018014373263180595
2001,-0.2062207893706568
2002,-0.03540793680571066
2003,0.033185881247533676
2004,0.053567023050075294
2005,-0.06678486497091517
2006,0.09938515614014306
2007,-0.004366927470015415
2008,-0.12860927419716147
2009,-0.06170301739054533
2010,0.356947497687523
2011,-0.13996015063586007
2012,0.1067549486525053
2013,0.23805063935810537
2014,-0.09790728994063638
2015,-0.19191988770005706
2016,-0.036245571687762595
2017,0.7069178175797577
2018,0.02635486478497635
2019,0.18247641099083834
2020,0.39008055989040104
2021,-0.038119787107229754
2022,-0.009948022183614543
2023,0.4719795923129019
2024,-0.36629013434523544
2025,0.03338867188994872
2026,0.0
