threshold,period,start,end,years,CAGR,Worst5Y,Sharpe,MaxDD,Worst10Y,WinRate,TradesPerYear
0.1,IS,1974-01-02,2021-05-07,47.392857142857146,0.31303867560202114,0.010773696920539866,1.3124165902199532,-0.3387000321354231,0.14346719794026086,0.8541666666666666,41.12294023843876
0.1,OOS,2021-05-08,2026-12-31,4.865079365079365,0.2514930735492398,,0.989280935934308,-0.32312477408323226,,0.6666666666666666,41.12294023843876
0.1,WF1,2010-01-01,2014-12-31,4.992063492063492,0.18766972723706532,,0.8314322102027575,-0.23282211009012554,,0.8,41.12294023843876
0.1,WF2,2015-01-01,2019-12-31,4.992063492063492,0.12647636717988364,,0.6554181421190443,-0.3245604373097928,,0.8,41.12294023843876
0.1,WF3,2020-01-01,2026-12-31,6.214285714285714,0.3131482283720928,0.22068376998253947,1.0876337235607703,-0.32312477408323226,,0.7142857142857143,41.12294023843876
0.1,FULL,1974-01-02,2026-12-31,52.257936507936506,0.3069135390483084,0.010773696920539866,1.2762487363857586,-0.3387000321354231,0.14346719794026086,0.8301886792452831,41.12294023843876
0.15,IS,1974-01-02,2021-05-07,47.392857142857146,0.31417884119755524,0.04771427041667553,1.3377797129953697,-0.3136418315692536,0.16296416169224903,0.8541666666666666,27.115498519249755
0.15,OOS,2021-05-08,2026-12-31,4.865079365079365,0.25487339353196936,,0.9957627245475502,-0.2994759335622441,,0.6666666666666666,27.115498519249755
0.15,WF1,2010-01-01,2014-12-31,4.992063492063492,0.2194898965575356,,0.945576308296131,-0.21981546567025645,,0.8,27.115498519249755
0.15,WF2,2015-01-01,2019-12-31,4.992063492063492,0.1342744124361437,,0.6887345517892876,-0.26564431208526573,,0.8,27.115498519249755
0.15,WF3,2020-01-01,2026-12-31,6.214285714285714,0.30735894411273557,0.21984286713218393,1.083184783413514,-0.2994759335622441,,0.7142857142857143,27.115498519249755
0.15,FULL,1974-01-02,2026-12-31,52.257936507936506,0.3081050157020808,0.04771427041667553,1.2976803543679543,-0.3136418315692536,0.15086078347846943,0.8301886792452831,27.115498519249755
0.2,IS,1974-01-02,2021-05-07,47.392857142857146,0.3089293630818566,0.05324279070219462,1.330697169024137,-0.32552466597743557,0.15231125254940747,0.8541666666666666,18.7914040549776
0.2,OOS,2021-05-08,2026-12-31,4.865079365079365,0.25149415726466184,,0.9902186843118559,-0.29196718220310025,,0.6666666666666666,18.7914040549776
0.2,WF1,2010-01-01,2014-12-31,4.992063492063492,0.19744601834819764,,0.8811954981769643,-0.19307423886976016,,0.8,18.7914040549776
0.2,WF2,2015-01-01,2019-12-31,4.992063492063492,0.15411475689829546,,0.7666632490751586,-0.2708828945912567,,0.8,18.7914040549776
0.2,WF3,2020-01-01,2026-12-31,6.214285714285714,0.30143547477539445,0.2257519454162713,1.0850883925150157,-0.29196718220310025,,0.7142857142857143,18.7914040549776
0.2,FULL,1974-01-02,2026-12-31,52.257936507936506,0.30303821634398576,0.05324279070219462,1.2905700655552252,-0.32552466597743557,0.15231125254940747,0.8301886792452831,18.7914040549776
0.3,IS,1974-01-02,2021-05-07,47.392857142857146,0.2928269585074992,0.026677562988770775,1.2882140019345276,-0.3290091452997689,0.14424789690426953,0.8333333333333334,10.735211481509607
0.3,OOS,2021-05-08,2026-12-31,4.865079365079365,0.2245139803565439,,0.9162706418683896,-0.33571775400104065,,0.6666666666666666,10.735211481509607
0.3,WF1,2010-01-01,2014-12-31,4.992063492063492,0.1995680088758116,,0.8978380193683224,-0.20417036956034196,,0.8,10.735211481509607
0.3,WF2,2015-01-01,2019-12-31,4.992063492063492,0.10662674836564068,,0.611268440379192,-0.2970284124529017,,0.6,10.735211481509607
0.3,WF3,2020-01-01,2026-12-31,6.214285714285714,0.29042710802937766,0.20119131492665443,1.050731280838151,-0.33571775400104065,,0.7142857142857143,10.735211481509607
0.3,FULL,1974-01-02,2026-12-31,52.257936507936506,0.2858805939513436,0.026677562988770775,1.2448351329207206,-0.33571775400104065,0.13119094664958286,0.8113207547169812,10.735211481509607
0.4,IS,1974-01-02,2021-05-07,47.392857142857146,0.29697145491841437,0.0701039201623761,1.3087453702587533,-0.3417843910543015,0.15968884575879372,0.8125,6.544460475358798
0.4,OOS,2021-05-08,2026-12-31,4.865079365079365,0.19410967847234972,,0.8155200379842551,-0.3406312553779929,,0.6666666666666666,6.544460475358798
0.4,WF1,2010-01-01,2014-12-31,4.992063492063492,0.2031115861260795,,0.9283962904420088,-0.2090591317251096,,0.8,6.544460475358798
0.4,WF2,2015-01-01,2019-12-31,4.992063492063492,0.12626406607333096,,0.6840749502046976,-0.2384690665415765,,0.6,6.544460475358798
0.4,WF3,2020-01-01,2026-12-31,6.214285714285714,0.2717359415350906,0.1719484250564458,0.9777291686832207,-0.340631255377993,,0.7142857142857143,6.544460475358798
0.4,FULL,1974-01-02,2026-12-31,52.257936507936506,0.2866033360348059,0.0701039201623761,1.2514740614175626,-0.3417843910543015,0.15739339247161155,0.7924528301886793,6.544460475358798
