threshold,trades_total,trades_yr,pretax_CAGR,Sharpe,MaxDD_pct,Worst5Y_pct,WinRate_pct,aftertax_slip25,aftertax_slip50,aftertax_slip75
0.0500,3417,65.4000,22.8480,0.9860,-46.3500,2.0800,78.8000,21.5730,20.3110,19.0610
0.0800,2535,48.5000,22.8010,0.9880,-45.8600,1.6400,78.8000,21.5290,20.2700,19.0240
0.1000,2149,41.1000,22.2720,0.9730,-46.5100,0.9300,78.8000,21.0320,19.8050,18.5900
0.1200,1815,34.7000,22.2250,0.9760,-45.9800,0.6300,78.8000,20.9890,19.7650,18.5530
0.1500,1417,27.1000,22.4970,0.9930,-45.0800,0.8700,80.8000,21.2460,20.0060,18.7790
0.2000,982,18.8000,22.0650,0.9840,-43.9100,-0.4800,80.8000,20.8410,19.6290,18.4290
0.2500,729,14.0000,21.6540,0.9790,-42.8100,0.7200,78.8000,20.4570,19.2710,18.0960
0.3000,561,10.7000,20.4460,0.9350,-45.8300,-0.8300,73.1000,19.3230,18.2090,17.1040
0.4000,342,6.5000,20.5560,0.9430,-43.4500,-0.2400,76.9000,19.4320,18.3170,17.2110
0.5000,203,3.9000,19.9630,0.9240,-41.9300,-0.5200,76.9000,18.8830,17.8100,16.7450
0.6000,168,3.2000,22.2150,0.9780,-45.3900,0.0300,78.8000,21.0120,19.8170,18.6300
