year,DH_A,DH_B,DH_25plus,A2,Ens2,DD_Only,BH_3x,BH_1x,BRK
1974,10.4,0.0,10.9,0.0,-47.0,-47.0,-79.4,-35.4,-48.7
1975,-5.0,6.1,2.6,9.8,7.6,-5.2,82.1,29.8,2.5
1976,45.0,41.0,40.0,51.1,29.4,75.2,75.2,26.1,129.3
1977,0.6,0.4,1.9,-3.7,1.8,8.3,8.3,7.3,46.8
1978,49.1,46.9,55.8,51.2,34.6,1.4,16.2,12.3,14.5
1979,38.3,22.6,34.8,8.8,6.9,31.0,63.6,28.1,102.5
1980,44.3,13.5,41.4,54.4,46.1,22.6,73.9,33.9,32.8
1981,-30.6,-23.6,-18.1,-20.7,-25.1,-45.4,-35.5,-3.2,31.8
1982,87.6,64.7,59.4,73.0,69.9,79.2,26.7,18.7,38.4
1983,17.1,27.7,28.7,50.0,69.0,29.8,37.0,19.9,69.0
1984,-9.7,-4.8,-3.2,-6.6,-8.5,-6.8,-46.1,-11.3,-2.7
1985,59.2,53.3,52.5,62.3,50.0,89.5,89.5,31.5,93.7
1986,34.6,25.7,30.6,20.9,21.5,4.9,4.9,7.4,14.2
1987,19.5,6.4,20.1,9.3,-6.6,-33.7,-39.7,-5.2,4.6
1988,-15.8,-8.4,-9.2,-9.7,-8.2,-11.8,28.7,15.4,59.3
1989,25.8,21.7,28.5,27.3,26.5,39.0,39.0,19.2,84.6
1990,-14.2,-12.9,-9.4,-18.7,-23.8,-51.6,-56.4,-17.8,-23.1
1991,52.9,54.0,47.4,74.1,56.2,102.4,219.4,56.9,35.6
1992,30.8,30.0,27.8,41.8,15.4,34.6,34.6,15.5,29.8
1993,6.8,-0.2,4.0,-4.7,0.5,34.8,34.8,14.7,38.9
1994,-10.3,-8.0,-4.4,-6.4,-2.7,-21.1,-21.1,-3.2,25.0
1995,76.5,66.0,68.6,95.2,92.2,129.3,129.3,39.9,57.4
1996,19.1,18.3,21.9,33.4,27.0,53.2,53.2,22.7,6.2
1997,51.7,56.1,58.0,87.9,83.2,44.2,44.2,21.6,34.9
1998,78.2,67.8,67.5,82.4,58.1,14.2,96.7,39.6,52.2
1999,119.1,131.2,124.9,201.0,157.4,358.3,358.3,85.6,-19.9
2000,1.1,-1.4,0.7,-1.5,-5.9,-36.0,-90.5,-39.3,26.6
2001,1.5,0.0,1.3,0.0,0.0,0.0,-73.8,-21.1,6.5
2002,26.3,0.0,9.7,0.0,0.0,0.0,-78.4,-31.5,-3.8
2003,70.2,81.1,67.9,102.0,125.3,170.7,181.3,50.0,15.8
2004,11.2,3.7,8.1,1.0,0.0,-22.0,12.7,8.6,4.3
2005,0.7,0.7,-0.1,-5.7,0.9,-7.9,-7.9,1.4,0.8
2006,34.9,36.6,33.0,40.5,14.5,11.1,11.1,9.5,24.1
2007,23.2,18.4,13.7,6.2,-1.0,9.4,9.4,9.8,28.7
2008,21.5,-3.4,6.7,-8.0,-15.5,-36.7,-88.0,-40.5,-31.8
2009,24.7,43.7,36.3,53.7,49.3,58.7,130.6,43.9,2.7
2010,64.5,52.7,50.8,48.3,40.0,39.8,39.8,16.9,21.4
2011,-2.0,-15.1,-12.6,-28.4,-27.0,-41.8,-23.2,-1.8,-4.7
2012,28.3,28.3,27.9,34.0,41.5,43.5,43.5,15.9,16.8
2013,32.9,35.9,33.1,78.7,76.5,149.0,149.0,38.3,32.7
2014,13.6,9.1,4.7,5.6,6.5,35.3,35.3,13.4,27.0
2015,-19.2,-15.6,-15.0,-17.2,-2.6,6.9,6.9,5.7,-12.5
2016,6.6,-5.6,4.7,-2.7,-3.6,-19.9,12.8,7.5,23.4
2017,35.5,35.8,31.4,44.0,35.2,98.6,98.6,28.2,21.9
2018,0.8,-4.7,5.1,-1.1,-8.6,-28.6,-26.2,-3.9,2.8
2019,45.1,35.8,31.3,35.4,30.6,55.0,117.2,35.2,11.0
2020,84.2,74.5,64.7,73.7,57.0,83.8,93.6,43.6,2.4
2021,24.7,24.1,23.1,34.3,33.1,59.8,59.8,21.4,29.6
2022,-30.0,-9.6,-15.4,-13.2,-19.3,-39.0,-79.2,-33.1,4.0
2023,41.2,36.1,37.0,47.0,35.8,68.1,140.5,43.4,15.8
2024,24.4,13.1,18.2,14.9,13.7,72.2,72.2,28.6,25.5
2025,40.2,29.7,30.6,22.1,6.1,-20.5,33.8,20.4,
2026,-11.7,-7.2,-10.0,-13.1,-12.7,-24.9,-24.9,-7.9,
